tracktype,length
grade1,1.1138032276426104
grade2,120739.43699072879
grade2; grade2; grade2; grade5; grade2,0.2930220928131039
grade2; grade2; grade5,16.760343669055935
grade2; grade5,85.06620772226275
grade2; grade5; grade2,149.27996702632382
grade2; grade5; grade2; grade2,10.893879352104605
grade2; grade5; grade5,56.01039518115274
grade3,662.9596926316872
grade4,244.9652991604894
grade5,43917.270548478555
grade5; grade2,124.84124841042215
grade5; grade2; grade2,7.353544350780311
grade5; grade5; grade2,24.08215646955292
