tracktype,length
2,1.3238879899609333
3,2.953249018061815
4x4,25.32378281938983
4x4 track,47.93882306396506
Afsaal Cottage access,0.09270675791564387
Bergrivier Silos,0.7312247840109408
Bo Berg,0.6030525254625709
De Plaat,0.05268048280928813
Dwarskersbos,0.0706324476160849
Elandsbaai,3.0729165702371075
Fishing,1.5194292570749834
Goedverwacht Mission,0.3313656519351614
Gryskop,6.9883161239426315
Jeep Track,7.212053779477081
River loop 4x4,4.295016649530685
Service road,8.571951927977763
Track,1.528585229927942
Verlddrift Water Tower,0.5387152917234742
Viewpoint access,0.13626965109949077
grade1,2885.953656727894
grade2,7001.990824757006
grade3,11621.022442417921
grade4,6702.315013504925
grade5,8465.511868569161
racetrack,3.9187646714211612
s,0.7453077650617607
