,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
construction,236.158,235.214,219.208,219.738,256.328,257.751,256.351,322.025,305.389,307.985,552.962,587.99,585.805,598.827,642.758,644.927,813.878,827.51,829.444,865.946,904.576,1187.714,1274.099,1355.682,1584.426,1748.233,1871.71,1966.859,2311.913,2288.239,2240.994,2316.474,2422.619,2864.8,2844.769,2854.163,2846.257,2897.935
footway,60.522,62.903,62.968,78.324,87.172,257.795,257.795,261.254,262.037,271.703,273.07,278.353,293.996,298.323,315.83,350.894,386.317,443.253,481.754,533.526,575.807,625.411,653.791,662.865,690.82,760.386,812.309,829.591,876.326,901.508,944.912,1003.772,1066.163,1095.26,1111.743,1130.23,1136.351,1141.086
motorway,1801.329,2240.557,2912.689,2479.263,2771.743,3236.989,3263.399,3798.732,3963.702,4976.929,5326.194,5591.667,5659.37,5686.987,5697.271,5785.019,5852.722,20617.918,20685.623,20763.8,22382.744,22537.082,22688.465,22715.257,22887.291,22783.416,22962.95,22973.21,23098.281,23201.228,23225.626,23349.351,23515.052,23573.461,23791.743,23794.507,23839.69,23913.572
motorway; construction,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733
motorway_link,186.421,198.43,227.592,242.459,259.838,276.201,312.218,350.013,378.58,392.843,404.737,416.445,428.307,432.829,435.377,440.063,444.272,495.453,503.419,496.818,524.25,580.22,584.92,583.144,608.206,574.159,622.754,628.65,638.487,645.855,649.12,651.602,686.052,695.264,714.823,719.559,719.056,729.654
path,1.607,1.607,1.607,1.607,2.018,2.018,2.018,2.066,2.243,7.19,7.469,10.813,37.304,47.016,50.341,62.892,237.928,284.343,338.207,401.816,440.841,440.717,462.066,525.074,574.272,594.598,686.804,746.855,911.873,915.81,906.674,891.698,916.84,916.43,936.063,951.603,953.53,950.785
pedestrian,8.004,8.314,8.503,8.461,10.562,11.129,11.047,11.702,11.987,17.379,20.845,22.323,25.558,28.373,51.571,53.874,55.176,51.309,67.258,75.958,92.658,101.468,113.376,130.761,186.199,197.642,202.804,213.114,219.812,230.138,229.349,214.378,207.867,209.582,209.631,208.564,208.22,208.448
primary,51891.801,52461.971,52626.696,52161.33,58624.533,58618.0,59835.932,60488.03,62977.135,63071.737,65102.242,66972.068,67426.078,69334.184,69926.724,70427.811,71337.535,73507.818,74698.483,75257.434,77468.096,77813.319,78336.221,78605.907,103797.687,104715.366,104666.066,104772.166,105236.916,105228.267,105080.741,105702.736,105964.163,115191.581,114509.845,114479.352,114999.184,115238.462
primary_link,62.393,66.246,67.01,67.897,79.751,79.983,81.381,83.625,105.882,109.601,119.988,116.733,121.024,133.07,130.88,131.675,164.683,134.236,147.266,149.755,159.366,160.043,160.508,164.56,170.881,180.359,174.87,178.065,181.229,182.628,182.212,183.595,187.872,187.346,186.992,189.866,190.079,191.482
residential,2576.451,3009.533,3192.114,3451.605,4273.331,4629.167,4915.191,5107.1,5525.927,6956.456,8817.136,10981.091,14124.384,17548.926,18916.01,19904.125,22255.398,23862.448,27094.799,29519.421,34249.719,35554.067,37211.068,38602.198,42100.521,42914.927,43843.455,44867.901,46276.876,46933.58,47436.646,48256.318,49155.248,50009.275,50453.073,62142.674,62960.377,63323.137
road,988.234,1213.24,1148.992,1145.147,1468.914,1619.242,1654.953,1739.791,1743.677,1287.717,1321.629,1599.721,2127.687,2399.127,2338.386,2340.04,2174.157,2363.528,2188.34,2120.091,2209.623,2225.745,2495.989,2640.685,2337.728,2433.336,2591.916,2700.193,2701.296,2621.35,2599.695,2617.322,2602.863,2446.981,2519.134,2596.954,2591.039,2606.964
secondary,25691.185,26419.69,27917.701,30976.158,35379.954,37339.121,41454.369,43487.313,50587.01,51089.418,51855.032,52884.36,53987.579,55218.923,55658.056,56207.504,57070.784,57820.317,58640.137,59521.068,60616.464,61150.349,61833.453,62552.003,63002.937,63487.38,63280.71,63347.779,63199.584,63165.806,63176.303,63308.378,63402.737,64108.687,64386.012,64601.84,64195.589,64278.417
service,293.09,315.548,319.748,324.455,332.825,334.953,336.959,339.818,340.772,375.108,382.991,459.096,621.877,749.049,914.62,1131.179,1703.204,1835.204,2221.304,2760.73,2953.922,3457.316,3842.777,4262.505,4488.291,4959.293,5598.504,5892.071,6203.726,6619.712,6720.617,7059.754,7357.223,7881.746,7976.486,8081.312,8252.429,8440.233
steps,14.129,15.615,16.68,16.981,17.697,17.744,17.755,18.466,18.466,19.847,21.321,22.532,24.322,28.196,29.367,31.334,33.978,39.592,41.951,44.402,46.841,48.982,53.401,56.651,59.067,63.571,66.015,67.956,69.502,71.015,73.048,72.713,75.736,76.242,76.711,77.154,77.545,78.354
tertiary,1811.73,1907.791,2088.494,2447.305,2990.839,3256.239,3504.116,3767.032,3788.844,4241.979,5111.798,6345.126,7834.89,8829.226,9603.011,10339.443,11544.817,12867.719,14061.686,16410.907,18847.068,20294.566,21390.083,22466.465,22963.075,24243.241,24473.816,25800.361,26320.137,26592.963,26707.676,27152.932,27553.288,29435.237,30167.266,30474.109,31268.946,31419.018
track,1282.631,1629.416,1657.249,1638.264,1731.765,2472.667,2582.21,2470.335,2653.103,2682.447,2838.819,2493.384,3533.624,3861.939,5072.187,8653.936,10328.024,10816.162,11183.085,12406.318,13517.563,14932.324,16434.139,18616.953,20718.125,22071.836,22577.155,25455.913,26570.403,27404.276,28775.643,31656.084,32869.211,33601.137,35409.068,35846.329,36422.479,37202.816
