,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
construction,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,44.311,51.719,51.719,120.015,60.921,60.921,60.921,67.431,67.431,67.431,66.694,104.383,106.646,106.849,106.849,125.587,129.366,128.085,125.815,130.625,130.728,135.008,136.325,127.049,127.247,127.012,127.044,104.17,231.022
path,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.727,0.824,0.824,0.91,4.577,8.611,8.611,37.661,42.843,45.705,49.267,49.283,49.354,49.344,69.209,78.05,167.094,176.332,188.383,193.023,193.465,201.094,769.989,1229.34,1529.627,1775.432,2270.58,2344.686,2442.34
primary,2665.451,10086.153,11379.306,12636.381,12666.678,12838.909,12839.013,13639.996,13640.005,13499.225,14262.246,13516.153,12770.474,12833.747,13020.501,12942.79,13048.569,13004.227,13087.329,13126.595,14330.47,14737.909,14802.091,15034.297,14579.225,14906.524,15393.598,15571.714,14206.353,10849.401,11116.298,11416.66,13506.123,19836.606,19612.091,20345.282,20336.539,20282.423
primary_link,0.384,0.384,0.215,0.769,1.16,1.16,1.16,1.16,2.252,17.413,15.18,18.77,27.305,32.2,34.443,39.722,39.067,42.387,40.776,33.934,35.439,33.303,40.444,39.537,39.428,39.652,42.245,43.735,30.383,22.148,21.282,25.956,24.94,26.97,26.92,35.802,36.557,39.137
residential,110.798,261.302,537.321,636.336,651.258,684.036,708.757,835.582,944.385,1163.016,1205.969,2220.734,2681.351,2973.443,3330.505,3930.9,4225.52,4355.089,4726.798,5194.998,5770.721,5991.864,6226.511,6426.626,6561.28,7586.818,7855.396,7940.052,11999.005,13822.457,13936.924,14617.337,14664.305,16167.162,27121.98,34849.871,35392.796,35537.976
road,2204.88,1752.404,1749.336,1762.734,3307.991,3307.991,3837.513,4237.231,4110.233,4509.409,5651.517,5456.706,4974.852,5012.361,5158.081,4932.344,4898.963,5106.333,5058.044,5189.061,4890.506,4783.89,4670.04,4739.345,4669.337,4679.757,4649.69,4539.049,4407.67,4434.639,4045.541,3806.544,3212.156,3089.356,1231.762,1231.762,1220.751,1220.751
secondary,733.015,1394.576,1450.408,1703.297,1703.446,1811.832,1977.095,2055.52,2142.7,2212.356,2315.989,2449.274,2636.531,3310.631,3426.808,3441.091,3471.89,3464.598,3486.926,3776.912,4534.184,4627.784,4695.196,4659.606,4643.492,4818.055,5049.635,5158.603,6904.126,6084.611,6125.445,8126.974,8748.834,53353.593,53355.811,52944.611,56917.655,57281.595
secondary; residential,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327,1.327
service,0.185,22.048,55.342,55.658,55.658,55.749,55.821,55.793,55.742,71.199,77.266,136.055,251.567,300.44,361.116,460.464,477.622,501.794,542.261,575.821,600.896,622.877,621.287,643.463,657.438,684.737,777.128,817.406,1033.732,1162.202,1175.521,1232.88,1236.254,1476.764,1920.318,2839.806,2923.531,3121.819
tertiary,220.632,232.76,280.748,296.817,350.319,387.343,387.491,393.663,398.446,617.786,1370.581,1624.405,7013.841,9133.669,9376.031,9494.518,10165.999,10227.058,10332.611,10457.437,11490.278,11723.169,12322.807,12407.967,12637.08,12950.637,13290.344,13361.793,13613.899,19084.476,19152.066,21887.297,25320.403,27288.755,29337.258,30653.785,28441.381,28350.754
