,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,0.071,0.071,0.071,0.071,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.515,0.515,0.515,0.515,4.802,6.21,6.239,6.239,6.239,23.755,35.968,47.505,52.38,62.322,64.013,91.745,107.178,117.96,123.771,114.586,113.96,120.723,120.397,120.212,104.981,109.437,107.088
primary,3007.107,3666.975,3711.208,4355.275,4378.514,4378.521,4379.851,4379.851,4463.372,4466.076,4628.091,4734.395,4781.42,4719.375,4811.088,5177.107,5357.417,5293.271,5353.184,5336.867,5374.846,5362.224,5399.193,5698.81,5726.493,5756.074,5729.95,5732.804,5801.196,5802.592,6093.171,6103.834,6098.627,6081.607,6093.2,6173.263,6174.426,5242.052
primary_link,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,2.226,2.226,2.226,2.226,2.664,2.664,2.684,1.22,1.22,3.819,3.842,3.511,23.348,33.019,11.198,11.056,11.058,11.242,11.242,11.242,13.021,13.021,13.021,13.021,14.254,14.264,13.256
residential,15.91,15.91,20.206,48.315,78.291,76.788,85.176,88.412,98.556,98.556,105.77,220.31,223.669,457.776,633.011,1060.551,1155.22,1541.589,1562.978,1615.252,2563.892,2743.111,3566.602,4367.604,5711.75,5901.706,7880.838,8321.569,8874.413,9252.242,9443.449,9705.728,9900.372,9983.74,10086.702,19062.957,19252.031,19330.218
road,58.267,61.932,72.069,714.788,714.788,714.788,714.788,714.788,714.605,719.688,719.688,1024.442,1029.816,1109.215,1139.091,1029.359,973.995,948.647,1187.981,1191.172,1173.611,985.205,978.121,698.022,603.469,617.6,635.388,657.902,643.636,624.521,633.292,641.301,636.865,633.487,630.944,599.082,482.078,482.078
secondary,823.606,838.988,817.062,886.222,954.874,954.874,972.126,972.126,982.77,1016.352,1070.34,1081.318,1398.494,1489.331,1604.56,2629.182,2718.825,2719.424,2799.304,2818.387,3036.689,3086.744,3250.532,3463.052,3483.758,3519.722,3699.675,3730.16,3837.124,3918.666,3933.059,3939.485,3922.459,3922.751,3872.227,3818.574,3887.961,3862.076
service,0.057,0.057,0.057,0.565,0.75,0.946,2.088,2.088,2.088,2.088,2.088,17.697,17.289,26.926,29.201,31.98,32.988,39.805,39.805,39.805,44.921,48.736,61.357,73.169,104.947,108.681,163.537,183.865,187.219,192.698,193.915,200.819,205.589,206.489,208.813,263.365,267.879,268.018
tertiary,226.745,226.745,279.057,297.379,314.712,306.182,284.648,284.648,366.589,280.033,281.347,339.203,365.164,747.866,961.446,1870.939,2436.122,2531.534,2574.744,2581.979,2922.398,3184.938,3412.45,5844.33,7204.497,7342.343,7435.434,7489.772,7549.055,7733.516,7818.128,7992.541,8084.574,8105.673,8162.088,8723.908,8478.2,8509.743
track,112.004,112.004,112.004,233.628,236.849,243.061,396.734,396.734,375.899,372.537,373.016,399.547,484.862,669.766,546.69,712.884,775.535,777.333,772.912,799.448,983.491,1049.134,1328.37,1570.469,3243.466,3462.37,3913.668,4140.223,4200.713,4211.824,4289.35,4737.243,4925.081,4720.401,4737.182,5125.345,5280.752,5302.062
trunk,29.441,29.441,29.441,35.905,35.905,35.905,35.905,35.905,35.905,35.905,66.24,66.24,66.24,60.37,66.204,69.143,69.143,69.143,69.143,69.143,69.143,69.143,69.143,69.143,69.063,44.642,60.417,65.942,65.942,65.942,65.942,49.905,75.388,73.144,75.107,74.459,74.46,1013.357
unclassified,58.86,58.905,58.905,70.735,149.96,183.223,270.382,270.382,373.18,478.736,510.841,803.494,1025.831,1147.848,1859.388,2222.311,2510.187,2664.081,2871.75,2872.726,3256.012,3660.956,3801.834,8118.799,17180.224,20944.344,21335.699,21560.912,21920.137,23102.064,23859.847,24795.195,25326.31,25684.612,25787.93,26200.302,26534.062,27210.023
