,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
Offroad,8.938,8.938,8.938,8.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path,0.454,0.454,0.454,0.454,2.986,7.679,7.751,7.961,7.961,7.961,8.063,14.945,14.933,14.933,15.122,15.122,15.589,47.323,49.86,85.09,227.704,343.448,575.338,586.939,620.838,803.05,1013.922,1505.71,2594.093,2663.972,2677.94,2695.195,2979.164,3426.346,3456.389,3889.061,5247.22,5518.323
primary,1572.411,1647.61,1647.61,1268.315,1304.178,1382.336,1382.609,1654.878,1674.077,1958.223,2236.121,2381.375,2290.379,2577.49,2587.68,2665.016,2738.776,2738.87,2777.268,2778.608,2784.779,2799.642,2802.385,2590.285,3300.354,3287.535,3201.546,3195.541,4070.738,3895.163,3899.873,3712.28,3619.116,3729.584,3946.196,3947.15,3972.092,4719.143
primary_link,0.393,0.393,0.393,0.393,0.393,0.503,0.503,0.503,0.503,0.503,,,,,0.365,0.365,0.879,0.964,0.964,1.256,1.256,1.657,1.657,1.657,2.767,4.328,7.345,7.561,11.798,14.85,14.85,14.614,14.614,15.824,16.045,20.272,21.347,21.802
residential,180.7,183.757,183.757,372.991,1365.109,1468.425,1606.843,2171.268,2224.223,2254.363,2264.571,2284.196,2359.548,2865.616,3725.536,4140.798,4515.217,4871.668,4888.023,5696.642,6286.135,7710.199,8434.819,8775.383,9297.869,10254.881,10510.052,11153.26,11650.229,12124.363,12795.411,12763.085,12975.044,13051.333,13078.719,14413.587,25437.796,25308.18
road,200.941,155.161,155.161,339.707,696.157,691.012,697.075,1704.7,1704.7,1753.229,1596.832,1597.389,1487.774,1548.758,1423.195,1199.689,1192.624,1188.19,1034.845,1009.433,880.336,789.799,567.48,566.263,558.778,656.454,710.155,1572.946,1600.799,1615.462,1572.924,1571.413,1163.879,1299.259,1294.108,1278.235,497.202,528.403
secondary,3421.146,3423.44,3359.302,2854.729,2901.988,2916.519,2909.492,3466.9,3466.9,3406.253,3484.667,3486.1,3423.669,4071.022,4402.098,5537.837,5340.4,5325.603,5341.767,5591.435,5717.982,5776.559,5797.112,6249.41,6080.345,6313.936,6379.811,6364.1,6215.077,5704.435,5708.904,5687.606,5751.039,5803.173,5710.231,5804.963,6804.459,7353.302
service,48.682,61.461,61.461,61.819,156.031,173.526,190.646,205.853,206.02,207.409,207.239,208.301,219.054,251.836,309.219,339.274,362.126,382.79,391.077,436.147,2269.06,2801.933,2840.982,2842.286,2800.633,2856.193,2857.449,2902.417,3018.879,3077.554,3079.39,3110.585,4600.342,4364.767,4374.609,4405.781,3138.323,3291.497
tertiary,865.931,865.931,967.126,1634.587,1848.606,1823.038,2018.444,1922.743,2059.47,2280.248,2353.569,2387.165,2793.837,2779.434,3585.199,10388.468,11161.047,10565.584,10432.392,11013.928,11308.592,11762.503,11977.393,11989.724,12204.213,12523.063,12562.613,12769.861,12868.74,13197.263,13212.001,13282.53,12293.383,12591.169,12704.312,12866.852,12021.282,12144.972
track,3073.465,3256.272,3256.272,4414.118,4619.993,5458.483,5600.614,5550.8,5616.134,6035.061,6326.412,6334.174,7088.235,8478.427,9509.945,9681.625,12201.012,14877.533,16607.327,18251.62,23375.437,33226.547,42546.483,43745.361,47661.089,48616.289,49481.339,53619.266,57237.979,57854.382,58132.79,58768.399,60780.226,61362.472,61375.905,63142.437,74866.258,75500.476
trunk,2367.506,2480.499,2480.499,2836.399,2928.931,2929.602,2929.552,3286.662,3286.664,3288.684,4659.574,4838.288,4936.94,5173.524,4870.774,5589.859,5575.873,5578.546,5578.641,5580.278,5580.003,5720.806,5769.268,5773.473,5777.443,5819.413,5827.186,5830.132,5331.968,5335.075,5335.191,5514.878,5747.045,5746.808,5747.192,5748.024,5919.776,6359.732
unclassified,3600.739,3591.225,3553.616,4152.801,4261.336,4289.589,4262.053,4506.032,4609.716,5892.02,6342.359,6678.407,7315.764,7861.601,9089.547,6214.491,6686.436,7037.688,7417.697,7562.077,8539.315,9013.241,9684.471,9849.397,10346.927,10973.865,11360.821,12262.144,14807.765,14943.201,15086.453,15029.285,13997.246,15348.505,15237.114,16031.24,15408.201,15547.015
footway,,0.153,0.153,0.153,0.24,3.296,4.882,4.91,4.91,4.91,9.386,9.388,9.5,9.5,53.173,54.942,54.942,66.083,66.918,82.964,87.485,89.058,105.349,121.985,124.651,151.693,187.645,210.797,271.129,277.92,272.177,274.629,270.689,287.59,289.041,300.185,257.076,270.957
ford,,0.169,0.169,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
trunk_link,,,,475.171,475.175,475.175,475.175,263.046,263.046,263.146,263.046,263.046,263.315,80.26,82.47,82.841,83.244,83.244,83.244,83.81,83.812,15.348,15.575,16.202,16.202,16.447,17.91,18.813,12.22,13.59,13.718,15.332,15.31,15.375,15.376,16.693,22.607,22.152
living_street,,,,,35.205,35.205,36.385,36.385,36.733,36.733,36.733,36.733,36.664,36.664,37.346,37.346,37.824,29.349,29.349,20.735,20.735,20.811,20.811,20.811,20.811,20.811,18.965,16.971,5.828,5.925,5.123,0.895,0.724,22.437,24.424,24.611,24.862,46.718
crossing,,,,,,0.22,0.22,0.22,0.22,0.22,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216
cycleway,,,,,,,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.046,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235
motorway,,,,,,,,,,,,,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.066,4.512,4.569,4.512,4.512,4.512,4.512,4.512,4.512,4.512,4.512,586.077
residential; unclassified,,,,,,,,,,,,,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257
secondary_link,,,,,,,,,,,,,,12.051,12.051,12.051,12.246,12.251,12.251,12.336,12.336,0.376,0.376,0.376,1.512,1.649,1.872,1.218,2.64,3.059,3.061,2.977,2.942,2.942,2.947,3.713,4.608,4.608
tertiary_link,,,,,,,,,,,,,,,0.217,0.403,0.938,0.938,63.843,64.576,64.576,26.139,24.188,24.036,24.036,24.693,25.132,26.281,19.608,18.836,3.84,3.925,2.998,10.586,10.586,10.918,4.483,4.483
track;road,,,,,,,,,,,,,,,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211,64.211
pedestrian,,,,,,,,,,,,,,,,,,,,0.127,0.127,0.127,0.111,0.382,1.006,2.92,2.92,5.051,4.782,5.165,5.091,5.091,5.091,6.957,7.027,6.955,6.888,6.888
construction,,,,,,,,,,,,,,,,,,,,,7.479,7.479,7.479,74.706,74.706,74.706,74.706,77.157,79.36,82.248,80.585,80.196,80.196,72.738,71.615,71.588,73.477,75.221
bridleway,,,,,,,,,,,,,,,,,,,,,,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342
turning_circle,,,,,,,,,,,,,,,,,,,,,,,,,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101
Residental,,,,,,,,,,,,,,,,,,,,,,,,,,1.875,,,,,,,,,,,,
abandoned,,,,,,,,,,,,,,,,,,,,,,,,,,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155
bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.399,0.399,0.399,0.399
rest_area,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,0.483,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481
steps,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.433,0.463,0.463,0.478,0.478
raceway,,,,,,,,,,,,,,,,,,,,,,,,,,,1.768,1.768,1.768,1.768,1.768,1.768,1.768,2.377,2.377,2.377,2.377,2.377
trace,,,,,,,,,,,,,,,,,,,,,,,,,,,0.952,,,,,,,,,,,
motorway_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608
