,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
cycleway,266.653,266.653,266.653,266.653,266.674,266.674,266.674,266.674,266.674,266.674,266.674,271.666,271.666,271.666,271.666,270.421,270.421,270.421,269.366,262.239,41.69,34.337,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.373,32.373,32.373,32.373,32.373
footway,57.084,57.084,57.084,57.084,59.42,59.42,59.42,59.42,59.42,59.548,59.548,156.727,156.799,157.631,157.631,154.814,155.059,155.059,157.389,154.472,167.345,167.518,214.835,237.258,241.445,247.119,247.291,199.239,209.531,211.443,396.353,382.444,372.261,372.581,374.636,359.569,368.418,308.651
path,3.71,3.922,156.763,169.364,181.3,181.309,194.219,195.223,195.223,222.99,222.99,226.694,252.523,266.861,283.01,339.986,506.873,6510.823,7764.92,7786.414,7766.054,7926.711,8042.589,8236.208,8323.146,8747.795,9574.518,10716.094,13357.005,14345.419,15391.771,16350.932,16604.429,16867.109,17339.08,17580.581,17761.56,19283.852
pedestrian,0.73,0.73,0.73,0.73,0.73,0.73,0.73,2.271,2.271,2.271,2.271,2.271,2.271,2.271,2.271,3.126,3.126,3.126,3.126,3.126,6.655,7.474,9.716,11.526,12.783,13.434,13.434,12.602,12.602,13.887,13.363,14.048,14.128,13.982,14.83,15.202,16.068,15.014
primary,3351.664,3662.743,4179.533,4780.093,5666.513,5884.2,5964.671,5964.381,6181.229,6363.074,6893.977,7303.039,7332.48,7574.182,7666.849,8662.993,8998.207,9170.348,9178.918,9577.93,9838.241,10196.768,10426.655,10394.051,10632.457,10746.03,10540.034,10608.675,10610.888,10637.053,10898.055,10899.177,10980.398,10969.977,10979.955,11038.349,9642.405,9432.63
primary_link,0.924,1.368,3.552,3.552,3.718,4.439,4.532,5.236,5.236,5.36,5.36,5.422,5.422,5.422,5.488,5.579,5.579,5.989,6.006,6.006,9.587,11.31,11.479,12.336,12.336,12.336,15.689,20.502,20.502,20.539,20.497,20.497,20.497,20.86,20.573,20.573,20.033,21.235
residential,1742.554,1770.736,1812.186,1830.502,2031.319,2021.729,2036.317,2184.785,2185.317,3192.152,3212.53,3468.924,3655.304,3988.621,4560.556,4906.367,4933.485,4955.606,5276.577,6104.217,6750.384,6739.165,8385.386,8859.782,9089.743,9328.747,10930.95,11295.569,11414.79,11687.237,11911.741,12292.221,12641.687,13005.232,13075.158,13163.001,14029.886,19211.729
road,1135.334,1150.069,1135.769,17760.407,17892.942,17208.518,16916.65,16924.108,16973.941,16786.592,16949.341,18143.658,17786.329,17896.676,17758.583,18134.819,17415.089,17470.017,16926.1,16441.691,15828.523,15736.566,15543.992,15373.385,14814.956,14796.163,14634.495,14534.829,14322.928,14230.112,13975.2,13989.801,13922.081,13876.612,13825.61,13809.992,13706.684,13735.736
secondary,1550.73,1736.89,2373.808,2769.795,2725.324,3309.668,3609.565,3612.221,3612.221,3796.249,4043.2,4186.371,4308.796,4528.12,4559.252,4651.563,4710.574,4839.584,4953.696,5695.896,5763.219,5660.896,4778.032,5111.815,5348.091,5581.946,5601.571,5001.201,5184.154,5390.725,5291.314,5291.947,5306.635,5242.125,5298.049,5697.898,5897.649,5702.393
service,53.584,53.453,54.051,54.051,57.833,58.21,58.316,58.316,58.536,59.955,59.955,67.893,75.463,83.253,83.253,100.299,127.976,130.052,132.708,201.633,259.841,953.061,636.164,588.616,592.761,599.993,749.786,651.57,665.689,671.2,696.055,697.91,886.001,1123.745,1126.666,1149.463,1112.319,1112.188
