,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
construction,24.656,24.656,24.656,24.656,24.656,24.656,24.656,24.656,24.656,4.917,4.917,4.917,5.135,4.917,4.917,4.917,4.917,4.85,4.85,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145,3.145
footway,130.439,130.439,130.592,130.592,131.964,131.964,122.748,120.44,120.514,111.169,111.169,111.169,120.985,124.532,124.525,125.055,125.512,124.462,124.462,126.537,113.558,111.082,110.146,110.146,98.341,97.948,98.61,98.882,98.882,98.882,94.661,94.661,94.661,96.514,96.829,97.506,97.506,96.229
primary,1037.407,1057.324,1083.243,1110.08,1152.188,1152.188,2573.477,2773.563,2773.601,3536.715,3645.561,3645.561,3949.043,4121.952,4194.766,4075.046,4077.114,4115.656,4115.657,4452.367,4492.872,4518.398,4557.94,4560.089,4601.768,4675.684,4684.713,4643.361,4643.402,4663.422,4663.766,4694.172,4695.488,4711.707,4829.664,4834.058,4927.613,4945.545
residential,940.794,940.794,945.102,948.62,958.557,970.854,1052.878,1137.507,1150.45,1375.185,1431.252,1441.518,1527.903,1586.931,1982.784,2102.164,2114.394,2077.524,2076.568,1943.401,2008.701,2061.705,2528.506,2623.653,2691.122,2816.645,2792.963,2797.112,2797.375,2801.313,2802.078,2807.903,2988.168,3294.611,3100.564,3024.3,3031.818,3997.802
road,2666.299,2646.41,2613.624,2586.787,2704.523,2704.523,2143.148,2127.017,2127.017,2141.741,2137.266,2138.626,2119.401,2119.401,2157.191,2154.649,2155.285,2132.295,2132.497,2748.397,2287.657,2201.588,2105.206,2113.001,1984.609,1926.916,1946.924,1926.236,1926.236,1926.236,1860.728,1861.754,1847.114,1848.617,1827.367,1824.37,1821.386,1821.158
secondary,520.559,520.559,523.206,523.206,528.191,528.195,614.319,698.474,698.474,884.937,952.206,952.21,957.69,957.989,1050.14,1139.157,1147.682,1215.512,1215.512,2276.235,3158.394,3399.693,3701.348,3721.446,3807.631,4018.003,4045.779,4155.223,4153.56,4062.891,4081.842,4610.601,4600.214,4721.765,4535.413,4540.264,4536.661,4564.968
service,1.491,1.841,1.981,1.981,8.239,8.239,28.359,36.299,36.299,40.343,40.343,40.343,42.854,45.424,49.789,51.123,51.123,51.582,51.869,102.839,110.289,109.785,115.051,115.818,113.747,150.454,155.941,157.003,157.003,157.003,158.478,160.259,161.804,166.667,171.075,167.303,164.147,213.48
tertiary,227.363,227.363,274.371,274.371,274.523,274.523,494.108,560.58,560.58,763.843,884.724,906.381,932.349,929.045,1016.846,1009.27,1009.27,1078.284,1079.714,4524.405,6409.61,7160.391,7346.116,7360.894,7594.618,8235.924,8236.379,8274.748,8279.301,8381.484,8392.149,8829.048,8992.461,9160.007,9960.641,10224.976,10192.92,10184.736
trunk,12.32,12.32,12.32,12.32,12.32,12.32,12.32,44.907,44.907,12.38,12.38,12.38,12.606,12.606,12.606,44.429,44.429,44.429,44.429,44.458,44.458,44.466,45.094,46.605,53.498,53.498,53.504,53.505,53.505,33.99,33.99,34.325,34.325,34.326,34.326,34.326,34.326,39.171
unclassified,764.849,764.849,764.849,767.983,790.201,790.205,929.695,1193.196,1201.009,1542.974,1639.063,1761.962,1817.481,2009.997,2140.005,2186.701,2229.523,2271.28,2278.905,1897.26,2631.451,2857.41,4413.63,4982.297,6817.89,7168.001,6629.911,6685.207,6705.195,6726.495,6788.774,6995.427,7033.817,10545.061,11674.88,11367.194,9562.801,9902.742
path,,,0.301,0.714,0.714,0.714,0.714,18.215,18.929,181.156,182.56,183.432,227.815,236.075,236.237,239.849,239.579,243.719,243.719,246.45,342.694,344.521,396.102,436.807,508.589,527.463,1839.707,1842.892,1843.168,1846.569,1852.145,1852.855,1856.896,2063.867,2083.826,2518.895,5258.343,5303.016
residental,,,0.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,,,17.189,17.189,17.189,17.189,17.189,17.189,17.189,20.06,20.06,20.06,20.06,20.06,22.736,22.736,22.736,22.736,22.736,19.588,13.862,13.862,13.862,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53
track,,,,,62.317,62.317,150.597,316.672,316.672,377.57,379.037,388.321,504.792,528.188,530.684,540.747,582.485,584.098,589.686,484.998,408.935,386.527,487.197,570.354,551.129,551.475,535.931,611.29,611.29,614.499,617.742,627.34,695.271,949.988,966.603,977.859,831.435,825.768
minor,,,,,,,3.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primary_link,,,,,,,0.044,,,,,,,,,,,,,,,,0.631,0.631,0.631,0.631,0.868,0.237,0.237,0.237,,,,,,,,0.379
