,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,19.6,19.6,19.6,19.656,20.173,20.173,20.173,20.176,20.376,20.376,27.578,31.491,35.187,49.799,71.894,77.589,87.658,226.694,230.598,247.536,250.517,194.325,200.096,297.015,1146.874,1179.36,1300.059,1145.434,712.607,833.917,833.793,838.531,821.336,838.045,858.38,864.882,1572.597,1799.878
path,22.091,22.919,22.919,915.373,921.781,923.999,927.213,927.213,919.417,920.788,919.672,924.683,926.706,1140.786,343.688,366.006,438.82,490.604,1026.829,2350.722,3749.013,3935.439,4333.311,10068.693,15283.067,15879.24,15951.966,16271.201,16885.811,17074.939,17155.159,17630.417,17802.007,18728.767,19267.115,19306.151,19302.423,19431.351
primary,3126.009,3146.214,3144.935,3893.009,4098.622,4067.277,4066.397,4100.443,4327.969,4405.77,4207.109,4340.524,6024.151,6899.342,9286.032,9317.684,9328.323,9516.582,9642.575,13179.607,11887.249,11972.908,12216.25,12487.476,12480.263,12423.027,12777.772,13747.91,14067.728,14080.024,14132.292,14114.062,14012.778,14031.098,13574.228,12957.338,13264.149,13386.261
primary_link,1.411,1.411,1.411,1.411,1.411,1.411,10.759,10.759,11.509,11.509,11.509,1.877,3.211,7.27,11.861,8.652,29.756,28.857,28.411,28.293,27.659,27.847,28.52,29.232,29.153,28.423,28.422,26.831,27.929,28.367,28.367,28.429,36.968,37.0,35.543,31.152,31.271,32.392
residential,280.774,281.82,327.474,352.304,340.482,327.254,384.126,352.104,899.362,925.986,1071.228,1128.606,1454.355,3127.779,5673.626,5757.385,6032.414,6439.37,6917.847,7538.278,10607.569,10790.789,11484.502,12426.04,12585.395,12919.63,13240.891,13616.584,13808.876,13966.02,14178.468,14206.627,14429.728,17900.205,26785.922,28120.614,28315.109,28599.591
road,433.038,433.851,433.851,433.851,714.989,714.989,714.989,710.375,710.375,723.578,851.844,851.846,696.143,704.501,1054.512,1232.512,1204.256,1234.969,1528.308,1550.542,1426.048,1412.963,1425.903,1158.043,1102.908,1096.594,1105.816,1037.627,916.386,918.181,918.344,919.677,926.442,1230.675,1255.635,1255.635,904.875,914.347
secondary,4476.891,4478.226,4514.471,5350.558,5565.969,5686.678,5895.01,5923.012,5969.103,5974.106,5185.056,5268.133,6905.985,10771.341,14827.874,17022.733,17311.239,17535.144,18095.739,24499.834,24608.876,25773.871,25926.355,26279.176,26788.401,26166.166,26078.7,26119.584,26232.194,26204.047,26095.25,26091.264,26108.974,26121.664,26058.354,24771.87,23807.87,24010.099
service,6.403,6.403,24.525,16.959,23.369,24.763,25.835,65.912,71.502,46.326,56.403,59.645,279.146,374.53,368.624,381.02,395.285,385.544,385.291,400.539,603.021,604.102,688.329,789.703,815.23,971.544,1479.297,2182.87,2230.276,2803.524,2821.177,2832.914,2632.554,2636.815,2504.88,2516.943,2524.193,2618.321
tertiary,170.022,170.746,217.116,609.189,657.916,651.949,677.745,725.798,724.143,730.623,818.213,1011.994,2447.912,5616.409,7972.787,8258.097,8510.73,8728.538,9063.228,17490.304,23050.845,25001.783,24925.786,27106.596,28983.718,28671.377,28931.564,29315.498,29371.593,29548.349,29601.061,29690.897,29768.98,30044.049,30531.927,31693.392,29382.602,29490.313
track,92.843,101.169,103.993,161.004,184.275,210.346,261.525,261.985,262.321,301.534,294.834,401.346,829.914,1298.512,2386.161,2620.08,2763.003,2974.642,3468.114,7457.251,13024.291,17580.552,22257.228,27531.073,29044.241,30185.942,31193.985,32915.354,36079.392,36471.495,36742.697,37236.614,38185.758,38458.566,37144.692,37532.043,40500.81,40955.281
trunk,5499.058,5444.774,6614.326,7035.838,7033.586,7036.737,7045.459,7020.659,6458.133,6433.751,8414.434,8878.452,9234.019,9440.026,8704.476,9534.223,9535.771,9923.715,9930.976,9485.894,10474.594,10766.078,10770.34,10859.427,11217.773,11320.765,11195.274,10137.685,10073.14,10050.081,10143.849,10144.167,10284.057,10272.287,11010.052,13137.142,13147.906,13164.041
unclassified,17.515,23.378,35.063,65.824,679.443,682.061,690.475,690.361,702.22,702.683,712.544,869.444,1910.231,3179.064,3460.628,3426.64,4788.18,4934.167,5318.058,6039.248,13350.97,14902.399,17118.95,25646.859,34755.601,38367.52,38890.3,39827.873,40491.671,40926.839,42136.971,43289.628,44101.157,45673.566,48651.39,49465.093,52213.967,52591.147
pedestrian,,0.742,0.742,0.742,1.19,1.19,1.19,1.19,1.19,1.19,1.232,1.232,1.517,5.164,12.146,11.934,32.383,32.075,22.564,22.78,21.523,21.523,22.373,23.1,28.347,27.308,26.052,27.824,22.776,123.397,120.433,121.639,31.192,31.325,28.367,28.505,28.505,28.353
motorway,,,427.443,318.662,321.583,325.407,324.336,324.336,128.967,128.967,125.962,125.962,125.962,132.266,132.507,132.507,132.507,132.507,132.507,132.507,132.507,132.507,132.507,154.181,154.181,139.866,143.368,143.368,143.605,143.608,144.171,144.171,144.171,158.543,158.057,158.057,158.057,158.057
trunk_link,,,3.52,1.743,0.645,0.645,0.645,0.645,0.645,0.645,3.415,3.388,4.193,6.343,5.707,5.207,5.207,5.118,5.115,7.05,7.364,7.364,18.369,18.369,7.356,14.423,14.427,13.388,13.695,13.358,13.358,13.358,13.358,13.358,21.015,27.42,28.248,28.172
motorway_junction,,,,1.461,2.617,2.617,2.617,2.617,2.617,2.617,2.617,2.617,2.617,2.617,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.099
motorway_link,,,,1.777,4.355,4.36,4.36,4.36,4.36,4.36,7.187,7.103,7.103,8.402,8.402,8.402,8.402,8.402,8.402,8.402,8.402,8.376,8.339,8.339,8.339,2.202,1.643,1.643,1.643,1.643,1.643,1.643,1.708,1.708,1.643,1.643,1.643,1.643
secondary_trunk,,,,1.25,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519
construction,,,,,9.325,9.325,,,,,,,,2.568,6.975,3.009,3.268,17.947,17.947,23.408,122.631,122.631,45.972,45.972,46.278,46.278,83.566,92.155,92.074,157.944,159.469,159.205,134.695,134.695,169.946,167.866,164.657,163.875
residential; primary,,,,,2.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steps,,,,,0.156,0.156,0.156,0.156,0.156,0.156,0.214,0.436,0.473,0.612,1.097,1.195,1.195,1.195,1.195,1.195,1.255,1.255,1.396,1.478,1.478,1.506,1.763,1.92,1.966,3.014,3.124,3.155,3.168,3.235,3.236,3.235,3.247,3.247
living_street,,,,,,,,,,97.004,97.004,97.004,99.727,117.628,139.978,136.419,136.685,136.752,140.337,102.45,95.152,95.204,95.579,95.579,95.906,36.849,36.849,36.849,36.849,46.52,46.52,45.659,31.513,31.513,32.084,33.02,33.02,33.702
secondary_link,,,,,,,,,,,,,0.076,3.718,3.388,3.414,7.695,7.496,8.01,10.815,11.249,11.186,11.389,47.698,47.754,14.411,6.232,6.462,6.927,6.927,6.211,6.211,6.213,6.335,5.835,14.429,6.274,6.659
tertiary_link,,,,,,,,,,,,,0.669,2.446,2.06,1.944,21.366,21.366,22.135,27.169,28.352,26.969,27.653,34.365,36.082,17.012,13.953,14.028,14.028,13.217,13.373,13.373,13.367,13.8,13.662,16.514,7.921,7.921
rest_area,,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272
raceway,,,,,,,,,,,,,,,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883
tr,,,,,,,,,,,,,,,0.384,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
bridleway,,,,,,,,,,,,,,,,,,,3.535,3.535,,,,,,,,,,,,,,,,,,
Tertiary,,,,,,,,,,,,,,,,,,,,0.992,,,,,,,,,,,,,,,,,,
