,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,14.921,14.921,14.921,17.632,18.227,21.655,21.654,21.654,21.654,18.6,19.995,23.631,34.259,38.247,39.241,57.358,61.688,79.925,83.339,83.361,72.057,86.648,87.736,89.762,96.827,96.825,172.216,184.723,235.331,244.206,250.536,252.776,277.342,282.933,306.924,438.889,702.8,726.444
path,37.108,37.108,37.108,38.262,36.825,60.058,63.492,63.492,63.492,73.74,79.039,164.557,312.984,320.503,320.503,376.382,450.5,454.3,464.661,466.387,574.856,701.032,750.007,758.31,783.365,785.292,893.213,899.598,960.228,1022.468,1034.595,1036.139,1115.472,1130.742,1187.119,1204.331,1287.464,1293.599
primary,213.698,213.698,213.698,256.939,376.786,376.786,394.659,394.659,394.822,394.822,406.613,567.629,566.406,623.182,623.027,656.201,643.163,660.414,663.41,810.958,842.818,850.276,850.545,835.548,834.693,909.983,911.484,958.634,959.333,959.326,942.938,942.336,936.073,682.87,681.132,681.402,681.56,688.89
residential,82.486,82.486,82.486,94.623,162.72,166.179,166.903,167.637,168.034,174.628,210.214,219.11,294.367,303.909,304.741,317.159,315.939,314.318,317.888,345.617,410.375,427.374,438.526,650.767,748.538,747.341,760.612,779.755,773.358,784.805,787.536,792.713,818.716,915.987,935.701,936.993,930.603,1032.212
secondary,284.302,284.302,284.302,334.72,352.201,369.627,369.627,369.627,370.425,356.588,365.6,532.051,442.476,385.809,385.809,466.111,510.358,512.288,513.774,543.661,599.764,610.592,614.644,596.652,668.844,693.295,679.058,681.731,684.685,683.507,683.262,684.3,729.142,771.342,803.557,806.215,807.411,834.161
service,4.233,4.233,4.233,4.034,19.208,19.802,22.743,22.743,22.742,23.475,25.335,27.974,35.363,35.853,35.853,56.668,57.569,58.273,60.692,61.36,122.951,404.667,460.695,492.949,585.319,610.785,654.387,664.761,777.093,877.73,888.26,894.121,935.115,939.728,953.553,969.209,982.165,903.874
tertiary,197.649,197.649,197.649,202.426,135.918,144.332,144.332,144.332,144.332,137.139,160.7,248.063,468.843,469.666,470.201,484.702,516.66,515.643,516.912,537.84,548.932,549.037,587.928,524.346,443.322,432.339,447.177,446.639,456.946,462.278,461.582,473.661,453.934,619.195,590.348,590.446,609.889,605.056
track,69.341,69.341,69.341,159.099,156.236,221.798,237.332,237.332,317.407,320.699,403.373,396.631,466.539,489.469,489.499,594.026,604.023,622.649,633.281,634.248,719.879,810.732,858.591,848.732,874.293,874.356,918.686,939.766,973.26,1022.142,1034.388,1058.638,1147.816,1215.787,1214.373,1242.817,1250.495,1292.468
trunk,13.01,13.01,13.01,95.314,100.572,100.584,100.587,100.587,100.601,100.601,100.624,106.297,106.474,106.76,106.963,108.606,108.606,108.606,108.607,111.348,111.346,111.432,111.432,109.451,109.451,109.451,109.63,109.63,109.63,109.63,109.63,109.742,109.566,35.751,35.751,35.751,35.751,35.751
unclassified,74.118,74.118,74.118,71.808,54.201,68.292,78.898,78.898,88.231,95.52,158.178,162.479,176.514,175.585,175.585,247.348,263.527,268.776,269.769,267.066,357.728,416.398,396.614,398.149,402.385,384.951,377.474,382.768,417.832,434.398,436.26,432.486,460.682,479.623,489.251,481.761,482.325,572.297
living_street,,,,0.12,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.626,0.626,0.626,,,,,0.105,0.105
pedestrian,,,,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.918,1.307,2.409,2.409,2.599,2.689,2.689,2.689,2.689,2.668,2.668,2.839,2.839,2.839,2.93,2.97,2.977,3.051,3.058,3.197,3.197,3.197,3.197,4.218,4.272,4.272,4.616,5.096
road,,,,6.988,6.988,6.988,8.735,9.86,17.378,17.378,39.004,44.299,27.366,38.665,38.665,44.705,41.459,41.459,41.461,42.722,42.004,43.387,37.46,6.912,6.262,7.835,7.835,8.036,10.508,10.508,10.508,10.616,5.454,5.454,5.454,6.003,6.003,5.454
steps,,,,0.022,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.343,0.889,0.889,0.895,1.153,1.216,1.277,1.277,1.283,1.283,1.325,1.357,1.357,1.357,1.357,1.357,1.357,1.574,1.592,1.599,1.599,1.711,1.808,1.816,1.831,2.452,2.452
trunk_link,,,,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,0.353,0.353,0.353,0.353,0.337,0.433,0.433,0.433,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.322,,,,,
primary_link,,,,,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.48,0.48,0.48,0.647,0.784,0.784,0.784,0.797,1.503,1.503,1.503,1.077,1.077,0.371,0.371,0.515,0.661,0.661,0.661,0.661,0.614,0.878,0.878,0.878,1.059,1.213
secondary_link,,,,,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.159,0.159,0.159,0.159,0.425,0.425,0.425,0.414,0.414,0.414,0.385,0.385,0.632,0.632,0.632,0.632,2.009,2.009,2.009,2.062,0.315,0.315,0.315,0.315,0.315
construction,,,,,,,6.055,6.055,6.055,6.055,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.599,9.599,9.599,9.599,9.599,9.599,9.599,9.62,9.62,9.62,9.62,9.62
tertiary_link,,,,,,,,,,,0.433,0.433,0.433,0.433,0.408,1.443,1.444,1.445,1.462,1.098,0.582,0.636,1.779,1.586,1.668,1.494,1.494,1.494,1.494,1.494,1.494,1.469,1.629,0.229,0.229,0.229,0.447,0.343
minor,,,,,,,,,,,,,,,,,,,,,,15.382,15.382,,,,,,,,,,,,,,,
cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,30.913,31.925,34.269,34.269,34.269,34.269,34.46,34.336,2.997,2.701,2.701,2.701
raceway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519
