,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,2024.259,2213.618,2213.618,2213.618,2216.465,2323.413,2323.421,2323.421,2323.421,2323.421,2991.679,3075.445,4200.739,6857.135,7728.449,7695.399,7799.266,8082.754,8140.821,8142.841,7761.263,7920.329,7940.034,7944.102,7895.745,6611.629,6866.165,6885.239,6929.956,6920.528,6952.589,6959.708,6962.735,7058.462,7180.336,7292.603,7292.813,7301.557
road,562.189,467.324,467.324,467.324,490.494,526.226,526.226,529.242,529.242,820.182,605.866,595.816,876.544,829.838,663.74,568.561,595.605,580.562,554.622,563.724,497.574,477.129,498.554,503.101,251.625,218.133,218.133,153.436,153.436,161.074,153.436,153.436,153.436,157.723,158.963,162.358,161.824,162.371
secondary,693.106,693.106,693.106,693.106,802.275,1396.064,1396.066,1396.146,1396.146,1396.146,1429.039,1644.08,2311.616,4436.35,5085.277,5726.13,6275.644,7502.05,7560.534,7631.815,8718.843,9172.211,9197.328,9210.237,9345.264,9151.524,9217.347,9323.809,9458.067,9709.183,9634.335,9636.806,9600.456,9643.328,9645.566,9495.861,9499.051,9506.561
tertiary,8.336,8.336,8.336,8.336,44.082,181.449,250.702,250.702,250.702,250.702,255.539,475.15,717.605,1876.831,2352.909,2921.52,3341.061,4688.525,4962.059,5080.813,5339.012,5516.621,5525.394,5527.239,5359.754,5532.217,5599.791,5834.989,5938.507,6132.232,6332.955,6486.462,6474.669,6498.923,6493.497,6820.447,6813.082,6888.507
track,142.488,142.488,142.488,142.488,179.385,52.457,75.369,81.737,85.997,117.266,117.266,245.759,1127.805,2002.185,3010.328,4690.58,5704.82,6074.581,6260.713,6307.899,6962.236,14142.357,14844.238,15451.378,15636.172,15656.759,15579.188,15753.575,16043.869,16713.066,16703.254,16809.181,16931.083,16946.403,17099.906,17053.593,17335.564,17378.182
trunk,2996.947,2999.683,2999.683,3067.08,3068.349,3091.882,3090.182,3090.182,3090.182,2968.625,3562.517,3875.449,3107.091,1410.189,1136.751,1193.172,1193.172,1193.399,1218.171,1196.355,1204.559,1204.559,1204.559,1204.559,1205.113,1827.954,1546.757,1555.558,1555.558,1556.644,1556.758,1556.758,1556.758,1577.228,1578.941,1869.967,1869.972,1869.973
residential,,3.028,3.028,3.028,170.17,18413.57,18451.889,18452.623,18452.623,18453.513,18448.652,18471.324,18969.699,19043.358,19115.756,19163.934,19454.887,19721.288,19891.931,19898.493,19916.793,19890.981,19905.963,19916.075,19863.586,19884.75,19901.429,19907.117,19913.765,19926.133,19931.02,19927.241,19928.937,23211.056,23520.016,23541.319,23542.195,23551.093
service,,,,,1.292,1.292,1.292,1.292,1.292,1.292,1.292,2.076,3.891,17.72,28.853,32.083,77.485,112.977,116.848,117.155,119.387,122.878,123.317,125.368,128.271,141.955,145.055,150.356,150.447,158.162,160.15,160.366,164.271,166.694,169.504,166.622,167.508,166.383
unclassified,,,,,,29.851,30.484,41.611,41.611,41.611,41.611,98.684,330.909,445.17,1706.453,2148.229,2714.604,2909.764,3018.336,3034.058,3801.626,3847.849,3945.773,4220.228,4742.693,5589.519,5681.873,5775.249,5775.065,5919.192,6042.393,6005.88,6333.862,6335.289,12843.766,12774.376,12722.728,12922.153
path,,,,,,,,,,,,79.119,357.142,701.74,1247.7,1609.444,3549.872,4779.237,5815.829,6024.307,6865.323,7083.419,7162.05,8757.654,8871.611,9095.841,9152.025,9212.279,9162.738,9226.651,9258.235,9305.471,9418.997,9433.737,9594.879,9625.889,9568.12,9670.281
construction,,,,,,,,,,,,,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,,,,
footway,,,,,,,,,,,,,16.176,19.882,32.217,34.27,38.308,33.869,38.264,38.288,72.193,69.414,70.263,70.305,71.728,72.465,72.465,27.202,27.202,27.657,27.202,27.202,27.202,27.202,27.202,28.376,28.376,28.454
trunk_link,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,0.096,0.647,0.647,0.647
yes,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,
steps,,,,,,,,,,,,,,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.128,0.128,0.128,0.128,0.128
living_street,,,,,,,,,,,,,,,0.168,0.168,0.445,1.866,2.551,2.551,2.551,0.911,0.911,0.91,0.91,0.91,0.91,0.91,0.91,0.91,,,,,,,,
primary_link,,,,,,,,,,,,,,,0.25,0.25,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.235,0.392,0.299,0.299,0.299
pedestrian,,,,,,,,,,,,,,,,0.221,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,,,,,,,,
PA,,,,,,,,,,,,,,,,,0.028,0.028,0.028,0.028,,,,,,,,,,,,,,,,,,
bridleway,,,,,,,,,,,,,,,,,3.091,3.091,8.301,8.326,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847,3.847
secondary_link,,,,,,,,,,,,,,,,,3.209,5.76,3.676,3.676,3.676,3.676,3.676,3.676,3.676,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.812,0.946,0.829,0.829
