,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,5629.034,5629.034,5825.938,5825.393,5860.249,5860.251,6156.013,6787.535,6787.535,6994.472,7096.125,8578.48,9395.53,9461.661,11009.092,10976.02,10982.125,11771.159,11891.22,12281.216,12274.767,12275.641,12347.578,12347.522,12352.832,11375.772,11393.375,11404.862,11492.575,10431.745,10431.856,10443.203,10474.861,10432.905,10497.843,11213.613,11020.01,11107.57
residental,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
residential,9.205,9.205,9.205,9.205,9.205,9.205,439.88,487.6,516.752,98.03,174.042,172.167,848.326,985.417,1940.67,1972.288,2163.494,2334.047,2433.816,2583.925,2749.518,2796.751,2867.572,3111.88,3652.148,3743.312,4022.218,4095.816,4134.474,4258.494,4368.419,4536.311,4915.264,8267.981,11863.763,12028.322,13143.519,13587.505
road,1201.641,1201.641,1201.641,1201.641,1201.641,1201.641,1201.641,1201.641,1201.641,2285.112,1664.527,2523.047,3807.229,4010.6,3774.98,3966.621,3819.109,3810.033,3589.17,3575.222,3533.203,3582.996,3535.783,3663.201,3420.833,3192.554,3255.224,1966.294,1836.514,1832.849,1365.501,1366.163,1287.798,1335.191,1139.842,1187.473,1161.41,1175.236
secondary,1375.331,1375.331,1375.331,1483.329,1563.45,1589.67,1827.768,1873.246,1964.52,1845.614,2102.902,2234.263,3283.171,3662.847,4069.544,4336.688,4468.79,4509.45,4529.975,4613.873,4888.139,5023.497,5068.922,5114.456,5219.136,4631.926,5045.062,6371.068,6710.221,6575.302,6636.817,6608.486,6496.966,6497.337,6684.888,6349.979,6286.7,6289.508
tertiary,210.825,210.825,219.365,219.365,219.365,219.365,498.936,565.834,564.366,588.589,652.109,1029.956,2415.595,2501.33,3356.409,3417.0,3987.319,4271.902,4529.376,4840.398,5428.624,5815.529,5821.362,5828.628,5712.714,5575.137,7267.66,9263.002,9968.095,10271.83,10467.086,10626.113,10790.883,10798.916,10851.194,12141.511,10631.268,10056.646
track,305.731,305.731,305.731,305.658,305.796,305.839,285.411,293.34,298.445,558.713,1878.596,2002.142,3330.039,3933.994,5400.596,6281.741,5795.036,5855.658,6924.178,7284.598,7971.685,8075.978,8140.807,8220.983,8898.371,11291.58,14832.212,16452.193,18775.504,20287.553,20525.107,21082.362,22059.063,23014.952,23342.498,25446.184,30775.928,30365.598
trunk,1958.32,1958.32,1761.635,1742.674,1905.037,1905.037,1899.056,1753.415,2135.048,1541.497,2464.557,2423.872,1795.391,1774.735,1672.791,1634.162,1634.162,1634.162,1634.162,1634.162,1638.965,1638.965,1638.965,1638.965,1644.049,2132.756,2165.195,2126.465,2135.806,3537.583,3537.584,3544.299,3542.991,3586.513,3595.165,3351.808,3544.817,3545.939
unclassified,35.044,35.044,35.387,32.997,131.65,131.65,210.495,256.7,256.7,254.773,258.553,349.061,3726.338,4000.084,4310.577,4300.714,4596.025,4690.556,9224.394,9235.368,9772.544,10170.286,10269.885,11406.906,12903.105,14588.88,16076.364,18237.975,18798.968,18992.81,20468.665,22318.075,23712.555,24515.225,35788.15,37313.026,39297.375,42366.096
service,,,,,,,7.735,34.982,34.982,20.446,20.78,44.275,260.943,261.897,262.151,263.981,222.906,223.856,227.026,243.029,244.631,244.631,245.024,251.49,106.526,133.233,183.709,183.566,200.478,202.348,185.945,208.375,230.196,243.068,395.321,399.785,458.122,515.561
