,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
road,252.143,252.143,252.143,252.143,243.619,244.407,244.407,252.899,245.478,245.478,245.478,245.478,245.478,225.68,122.872,122.872,45.397,45.838,38.876,38.876,43.802,42.359,42.359,37.238,37.238,36.966,37.014,38.833,38.833,38.833,36.845,36.845,36.845,36.845,36.845,36.845,36.845,36.845
secondary,156.995,156.995,156.995,156.995,227.187,227.187,227.187,227.187,218.296,218.296,218.296,218.296,218.46,218.46,419.246,419.246,511.504,514.016,518.331,519.465,520.773,520.826,521.747,528.99,548.698,363.178,285.117,291.31,292.044,296.313,286.883,286.883,286.883,294.58,294.948,295.719,299.126,300.629
service,1.724,1.724,1.724,1.724,3.058,3.058,3.058,3.058,17.652,17.652,17.007,17.007,17.019,17.019,17.32,17.32,17.32,17.32,17.436,17.948,17.948,18.214,15.619,16.696,26.473,28.547,28.743,29.456,29.579,27.773,25.461,25.461,25.461,25.128,25.128,25.356,26.489,27.748
tertiary,48.152,48.152,48.152,48.152,97.427,97.427,97.427,97.427,103.391,103.391,103.391,103.391,103.375,131.067,194.66,194.66,273.964,275.894,275.977,276.071,276.155,276.155,277.316,279.951,278.543,401.556,491.239,488.88,488.669,504.808,542.635,542.635,543.294,553.142,553.142,554.12,573.382,574.253
unclassified,64.267,64.267,64.267,64.267,86.471,86.471,86.471,86.471,86.471,86.471,86.959,86.959,87.935,116.464,153.988,153.988,174.599,196.439,208.933,210.812,216.383,216.383,215.874,214.297,262.464,281.74,282.308,280.818,280.848,279.173,266.393,266.474,266.474,289.987,289.987,291.246,298.388,302.092
primary,,,,,12.205,12.205,12.205,12.206,22.184,22.184,28.886,28.886,28.908,28.908,28.94,28.94,28.94,28.94,28.94,28.94,28.971,29.0,29.094,29.443,30.497,206.074,206.847,218.252,218.307,255.693,262.856,262.86,262.86,248.213,248.389,248.509,253.071,253.435
residential,,,,,6.947,6.947,6.947,6.947,11.015,11.015,11.015,11.015,14.632,28.215,46.317,46.317,53.885,55.555,65.857,71.007,89.784,99.369,113.441,199.174,443.961,449.023,449.399,450.731,454.506,468.323,603.659,603.67,604.582,615.246,615.246,617.863,619.292,628.529
track,,,,,18.635,18.635,18.635,18.635,18.635,18.635,37.542,37.542,39.86,43.164,67.552,67.552,75.663,75.662,76.122,76.989,79.615,80.542,80.813,79.275,102.032,102.651,102.651,104.723,112.92,107.149,121.871,121.871,121.871,107.152,107.152,108.845,113.3,116.056
footway,,,,,,,,,,1.351,1.351,1.351,1.351,1.351,1.351,1.351,1.351,1.351,1.351,1.663,1.663,1.663,1.663,1.663,1.663,2.417,2.417,2.417,2.417,3.757,3.991,3.991,4.223,4.223,4.223,4.641,7.035,7.041
living_street,,,,,,,,,,,1.591,1.591,1.589,1.589,1.589,1.589,1.589,1.589,1.589,1.589,1.589,1.589,1.589,1.589,1.589,6.242,5.967,5.967,5.967,0.541,,,,,,,0.17,0.17
path,,,,,,,,,,,,,,,2.713,2.713,2.713,2.713,3.675,3.675,3.675,3.675,3.782,3.782,3.782,4.647,4.647,4.647,4.647,19.376,20.895,20.895,20.895,20.769,20.769,22.222,27.622,27.622
tertiary_link,,,,,,,,,,,,,,,,,,,,,,,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,,,,0.044,0.044,0.044,0.044,0.044
unclassified;service,,,,,,,,,,,,,,,,,,,,,,,0.964,,,,,,,,,,,,,,,
pedestrian,,,,,,,,,,,,,,,,,,,,,,,,0.069,0.069,2.446,2.555,2.556,2.556,1.806,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287
cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,0.147,0.147,0.147,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072
steps,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.041,0.041,0.041,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
secondary_link,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,0.089,0.089,0.085,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067
primary_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.147
trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.14,,,,,
