,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,53.138,55.786,73.515,73.715,77.192,81.862,81.862,81.89,85.294,80.155,81.106,81.405,591.82,602.934,617.448,627.544,628.453,1001.209,1021.494,1027.241,1120.047,1196.277,1222.169,1256.316,1324.811,1284.645,1328.64,1331.722,1357.379,1366.768,649.379,645.267,602.081,612.784,564.081,567.888,665.013,739.655
motorway,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,3.253,3.253,3.253,3.346,3.346,14500.967,14500.967,14500.967,14509.374,14509.374,14509.374,14509.374,14509.374,14510.813,14510.813,14510.813,14510.813,14510.813,14510.813,14510.813,14512.754,14512.754,14521.542,14521.542,14521.725,14569.337
path,1.767,48.247,48.247,48.247,960.196,3157.068,3253.778,3254.027,3261.968,3166.868,3173.724,3193.775,5083.672,5421.309,5525.8,5579.041,5948.184,6962.301,7114.205,7337.527,7882.191,7994.836,8076.221,9516.455,10504.847,11129.081,11595.177,12141.756,12632.178,13465.243,16261.483,16761.178,16921.258,17705.611,19190.491,21708.419,24701.634,28317.758
pedestrian,2.54,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,3.362,3.362,5.197,5.284,5.73,5.73,5.892,6.356,6.356,6.781,6.781,6.781,6.781,6.781,7.002,8.108,7.83,7.566,9.147,23.59,21.749,13.087,12.962,15.734,13.248,20.126,13.818,14.249,14.283
primary,20442.551,35400.799,35453.82,35530.103,37415.724,37708.98,38087.333,38111.584,38141.611,40703.914,40816.634,41209.446,41636.472,42566.229,42703.382,42684.387,42855.341,43114.471,43270.442,43383.839,43848.088,44512.386,44753.407,44912.319,45531.271,45934.079,45503.86,45846.621,34862.484,32485.431,32920.858,33270.698,33580.175,35627.918,37788.025,39827.623,39863.666,40008.008
primary_link,6.723,6.811,6.811,6.811,6.878,6.878,6.878,6.878,6.878,6.878,7.365,7.365,7.982,7.982,7.982,7.691,9.831,10.081,10.081,10.081,11.816,11.816,13.691,14.134,12.864,12.029,6.542,7.07,7.061,7.051,7.124,7.124,7.138,7.307,8.854,11.232,9.4,9.4
residential,3848.599,4650.411,4718.235,4783.524,4830.219,5161.939,5201.257,5206.484,5247.986,5767.703,5775.841,6172.348,7424.245,8425.995,8500.582,8745.765,8705.067,11170.153,11865.588,12619.807,13408.199,14546.103,15252.89,16121.035,17807.734,20543.727,22797.647,23840.483,25051.37,28137.828,30677.997,31718.341,31947.996,37878.627,49590.807,51231.488,53309.625,56002.203
road,142192.955,129032.621,129139.714,129161.771,129019.814,129347.498,127598.194,127606.51,127628.393,126357.452,125238.953,124923.183,124717.091,125511.123,123181.99,123135.798,123287.118,124550.62,124811.511,123658.97,122479.183,116610.997,116180.372,115972.775,113235.899,111690.425,110410.387,109132.256,106776.511,104491.584,67632.168,67135.68,61991.884,62781.271,42879.218,41870.584,39094.814,40118.183
secondary,13138.699,12907.677,12870.519,13022.104,13796.299,14266.734,14634.507,14682.113,14725.892,14557.18,14597.601,14767.213,14982.678,15301.814,15324.407,15353.839,15399.8,15547.718,15680.677,15752.091,16250.74,16448.053,16764.649,17113.532,17656.102,18453.069,19789.267,20071.58,21306.033,23227.833,23689.887,24534.274,26957.368,70920.256,71228.826,76195.933,76173.615,76623.655
secondary_link,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.918,1.096,1.096,1.096,1.204,10.15,10.15,10.15,10.459,10.465,26.505,25.705,16.836,16.836,14.22,14.705,1.583,1.632,1.632,1.632,1.831,1.85,7.998,4.018,4.081,4.534
service,49.884,75.204,76.492,79.111,80.471,80.634,81.061,81.175,81.347,84.877,129.698,132.827,237.419,283.787,283.06,287.549,609.836,663.913,606.832,634.202,663.304,621.199,645.293,669.103,908.158,1349.206,1666.665,1763.551,1887.755,1820.152,1243.925,1305.022,1310.541,1311.001,1485.427,1652.506,1807.918,1877.551
tertiary,1960.298,2052.624,2062.902,2063.746,3719.702,3720.717,3865.678,3900.214,3909.746,4326.34,4361.278,4743.621,5496.474,5957.87,5999.052,6100.418,6233.578,6775.478,6888.032,8150.92,8534.46,9437.067,9769.472,10428.506,12307.265,13626.479,15176.904,15637.863,26392.626,29313.426,31313.439,33523.126,33087.877,33453.695,37217.109,41954.959,44840.123,47016.228
track,3.643,5.087,56.113,57.63,2355.164,5409.484,6750.591,6758.062,6772.342,6833.97,6869.567,7197.507,11050.619,11577.797,11668.507,11787.796,12087.197,12752.311,13447.084,13586.806,14272.31,22925.757,24827.987,26546.03,30754.747,33548.689,35747.978,38355.989,41946.707,44373.449,48657.22,49917.094,50374.515,51907.091,57267.43,60107.155,62045.555,65164.132
trunk,5377.024,6450.284,6455.388,6546.153,6611.882,6675.344,6675.624,6686.233,6686.319,6597.387,6625.135,6638.342,6498.224,6363.852,6331.226,6353.112,6359.962,6369.162,6419.151,6431.048,6396.192,6225.835,6231.61,6235.258,6229.092,6163.221,6356.548,6360.823,6360.269,5447.064,5449.302,5449.368,5451.348,5456.735,5400.583,7550.904,7559.09,7563.907
trunk_link,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.835,0.835,0.835,0.835,0.835,5.789,5.789,5.933,3.906,3.906,3.906,3.906,4.488,8.438,8.629,9.286,9.285
