,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,576.377,829.689,963.167,946.995,922.946,935.692,935.764,933.584,928.767,925.322,963.137,964.931,930.123,1004.44,1005.506,994.379,1003.261,1003.248,1003.722,763.337,763.758,765.412,767.297,767.577,697.233,698.399,788.269,788.269,834.707,862.146,862.189,870.849,887.67,936.897,982.004,966.877,966.01,966.011
primary_link,0.397,12.828,12.828,12.828,13.121,13.121,13.121,13.121,8.051,7.569,7.534,7.534,7.534,8.392,8.392,8.392,8.457,8.457,8.57,8.127,8.127,8.127,8.127,8.127,7.299,7.299,7.446,7.446,7.446,7.903,7.903,7.903,7.859,12.524,12.452,7.991,7.991,7.991
residential,68.061,80.56,86.499,86.106,86.514,88.364,88.293,94.627,94.464,91.277,90.231,128.852,130.514,171.169,176.253,176.406,186.132,191.767,195.2,195.207,198.403,198.793,196.732,214.113,241.967,242.266,249.766,249.766,250.755,256.89,256.89,256.89,268.535,269.46,291.579,820.678,828.553,834.878
road,153.922,153.996,153.996,153.996,153.996,160.679,166.587,258.211,258.211,270.03,270.436,270.564,254.658,225.01,225.714,225.714,205.161,205.365,205.365,205.365,205.365,205.365,205.642,205.642,143.322,143.322,143.603,143.603,151.277,151.277,151.277,151.615,151.333,151.466,151.466,151.453,143.819,143.819
secondary,207.381,194.839,194.839,211.809,211.909,248.645,248.645,248.696,259.481,258.518,264.59,264.691,252.325,338.837,340.161,340.161,340.161,340.361,340.361,353.197,353.258,353.419,353.745,354.436,375.266,376.226,509.461,509.454,509.47,488.825,488.827,528.68,546.142,517.269,475.717,550.026,534.872,534.915
service,0.226,2.01,2.01,2.01,5.124,5.124,5.124,3.767,3.767,14.955,14.955,14.744,25.435,38.584,39.288,49.299,50.554,88.442,90.536,90.536,90.536,90.773,234.956,361.489,381.139,381.47,382.251,382.251,382.383,385.53,385.566,385.557,382.17,382.794,385.463,200.212,214.733,214.733
tertiary,62.15,65.076,237.049,259.701,259.829,213.826,213.84,213.868,215.471,228.81,231.116,226.53,190.533,344.218,344.224,344.368,357.692,357.839,358.033,353.861,353.864,353.864,356.294,356.485,357.499,357.492,185.877,185.877,186.189,185.177,185.177,185.261,197.597,200.618,207.931,240.042,245.89,246.784
track,6.546,6.546,6.546,7.652,7.652,9.194,9.194,10.803,14.117,16.887,18.238,17.928,33.328,286.891,284.656,437.6,1106.988,1162.492,1216.297,1236.211,1254.974,1276.185,1289.176,1405.051,1465.786,1491.273,1491.109,1491.123,1502.302,1528.74,1529.425,1529.428,1562.302,1559.772,1556.011,1449.772,1462.005,1501.15
unclassified,9.607,9.607,10.961,10.961,11.165,16.563,17.127,19.446,19.446,13.757,13.986,13.986,142.689,242.85,242.852,214.948,402.164,404.692,404.791,394.353,392.882,392.882,394.748,406.01,517.423,553.363,540.11,540.11,544.294,582.136,582.136,549.899,551.288,566.18,569.233,597.325,770.89,770.849
path,,,,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.335,1.463,1.463,6.748,6.748,6.169,6.169,6.327,6.327,6.407,7.883,28.368,28.814,28.814,28.814,31.398,33.061,34.004,34.895,34.895,37.485,38.111,37.648,30.566,29.745,29.745
living_street,,,,,,,,,0.658,23.012,40.842,21.144,21.161,0.726,0.726,0.726,0.726,0.73,0.73,0.73,0.73,0.73,0.678,0.678,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.767,0.767,0.767
secondary_link,,,,,,,,,0.127,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,1.55,1.55,0.148,0.148,0.225,0.225,0.225,0.345,0.345,0.345,0.345,0.345,0.345,0.593,0.593,0.593
trunk,,,,,,,,,,19.264,19.264,18.965,18.965,,,114.415,114.349,28.712,28.712,271.41,271.354,271.354,271.301,271.374,271.688,271.728,271.728,271.728,271.852,271.983,271.983,271.983,271.983,272.095,268.278,276.247,278.31,278.338
tertiary_link,,,,,,,,,,,1.291,,,0.113,0.113,0.113,0.113,0.113,,,,,,,0.104,0.104,0.104,0.104,0.104,0.205,0.205,0.121,0.121,0.121,0.121,0.137,0.137,0.137
footway,,,,,,,,,,,,,0.291,0.291,0.291,0.291,9.543,9.543,9.543,9.543,9.543,9.543,17.424,17.596,11.095,11.095,11.095,8.511,8.511,8.511,8.511,8.511,8.512,8.512,8.835,10.965,12.288,17.257
pah,,,,,,,,,,,,,,,,0.158,0.158,0.158,0.158,,,,,,,,,,,,,,,,,,,
steps,,,,,,,,,,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.034,0.034
proposed,,,,,,,,,,,,,,,,,,,,,,,,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,,,
motorway,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.314,2.314,2.314,2.314,2.314,2.314,2.314,2.314,2.314
trunk_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.092
