,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
Elevated Highway,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113
airport,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491,1.491
alley,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridleway,13.238,13.238,13.238,13.238,13.238,13.238,13.238,13.238,13.238,13.938,13.959,13.959,13.959,18.719,18.993,18.993,18.996,18.996,18.996,19.007,13.811,13.811,13.811,13.811,13.811,25.971,25.971,25.971,25.971,26.31,31.192,31.192,31.192,31.192,30.55,30.55,30.55,30.55
construction,0.305,3.479,3.479,3.479,8.411,8.411,8.411,8.411,8.411,15.502,59.945,60.381,82.716,83.249,117.627,78.338,84.813,114.83,195.094,144.353,146.706,148.63,178.806,179.034,302.58,293.239,293.327,293.948,294.49,550.541,550.222,519.76,549.616,379.322,573.953,764.642,1038.01,2794.117
crossing,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,
emergency_access_point,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059
footway,67.358,73.992,77.275,84.838,106.832,135.69,155.563,161.169,162.941,181.992,196.561,208.98,216.792,232.39,240.245,252.001,415.854,533.185,549.656,549.451,591.03,602.611,617.861,664.035,669.363,710.547,771.842,780.466,802.183,808.346,817.435,857.109,887.861,932.933,969.061,988.308,1083.308,1939.404
mini_roundabout,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
minor,344.343,344.202,344.202,330.931,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,310.693,318.281
