,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
road,1626.697,1837.991,1837.991,1837.991,1837.991,1837.991,1837.991,1837.991,1837.991,1655.034,1655.034,1655.034,1647.223,1645.025,866.315,918.685,919.589,922.764,902.384,902.274,874.83,874.83,874.83,819.91,788.626,788.626,788.626,788.146,788.146,788.146,788.146,788.146,788.146,788.146,788.146,788.146,788.146,788.146
secondary,781.069,838.25,838.25,838.25,855.327,855.327,855.327,855.327,855.327,780.263,783.806,783.806,892.039,950.826,951.473,951.473,989.107,999.3,998.486,1001.433,999.461,999.592,1005.182,1188.516,1184.91,1112.725,1130.015,1411.309,1411.344,1412.311,1565.191,1572.993,1582.284,1582.284,1727.837,2192.186,2262.689,2262.681
tertiary,683.653,659.923,659.923,659.923,661.7,661.7,661.7,661.7,661.7,611.132,621.452,621.452,1157.571,1161.546,1163.395,1164.203,1169.839,1200.804,1254.655,1273.386,1275.726,1275.823,1275.973,1590.435,1641.83,1652.518,1719.576,1719.604,1715.202,1721.327,1885.287,1895.789,1897.662,1897.662,1970.292,2016.692,2290.319,2337.11
primary,,,,,,,,,,538.592,345.1,345.1,476.736,454.338,454.338,456.099,466.706,459.69,489.517,560.728,568.386,569.964,570.624,563.418,767.559,844.007,922.735,642.163,642.165,645.096,734.465,734.802,731.814,731.814,771.171,809.464,876.0,906.844
primary_link,,,,,,,,,,5.981,5.981,5.981,8.135,8.305,8.305,8.305,8.21,6.4,6.459,6.559,6.701,6.701,6.701,7.023,6.561,6.561,6.561,6.854,6.854,6.854,7.039,7.112,7.056,7.056,7.056,7.601,8.886,9.574
residential,,,,,,,,,,38.899,39.197,39.197,127.715,140.88,140.88,143.584,145.554,169.886,182.397,201.498,203.978,209.439,212.989,214.844,430.808,431.836,456.285,456.366,461.848,462.331,500.299,500.685,502.205,502.708,516.419,1150.525,1137.717,1153.546
secondary_link,,,,,,,,,,0.637,0.546,0.546,0.546,0.608,0.608,0.608,0.608,0.929,0.923,0.944,0.826,0.826,0.826,0.826,0.425,0.425,1.276,0.556,0.556,0.556,15.714,15.714,15.714,15.714,15.714,1.663,1.872,1.872
service,,,,,,,,,,3.215,3.215,3.215,7.306,23.188,27.213,35.405,33.682,40.202,57.629,62.765,65.067,70.712,113.83,116.045,138.859,139.532,139.532,139.838,140.545,141.546,145.13,149.771,153.265,153.265,152.835,212.438,273.211,279.913
tertiary_link,,,,,,,,,,0.021,0.021,0.021,0.862,0.862,2.092,2.092,2.092,2.391,2.663,1.496,1.254,1.254,1.254,4.849,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.736,0.736,0.736,0.736,0.498,0.289,0.289
track,,,,,,,,,,0.531,0.531,0.531,6.836,17.899,25.51,25.167,25.018,38.713,59.681,63.896,63.725,85.061,62.893,4075.692,4116.459,4129.924,4091.22,4081.948,4066.608,4067.092,4067.252,4070.697,4073.39,4075.238,4169.562,4324.736,4511.903,4429.615
trunk,,,,,,,,,,3.649,205.561,205.561,205.776,209.319,209.075,209.075,209.075,224.888,231.199,230.907,230.907,230.907,230.907,276.581,72.102,253.125,300.914,300.914,300.914,300.914,212.545,212.545,151.908,151.908,151.266,220.907,244.151,229.431
unclassified,,,,,,,,,,4.961,4.961,4.961,6.752,45.734,910.941,910.941,941.493,1002.304,1075.99,1082.86,1170.162,1175.535,1183.54,1606.617,1758.751,1755.789,1765.648,1781.827,1814.725,1809.128,1741.874,1765.66,1777.894,1777.957,1815.631,2036.944,1962.596,2060.93
