,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,1086.768,1086.604,1086.604,1088.462,1281.577,1394.128,1400.263,1319.508,1372.383,1474.036,1477.598,1777.237,2003.406,2228.286,2263.129,2254.36,2223.4,2223.4,2226.096,686.464,640.382,640.382,641.24,641.24,626.298,626.165,1160.816,1247.344,1252.786,1248.836,1242.25,1243.432,1243.432,1244.849,1244.849,1132.075,1132.027,1132.027
residential,63.812,92.314,105.232,105.232,115.302,151.798,180.238,181.617,165.723,165.723,165.723,187.871,226.355,256.846,266.409,276.507,285.836,285.836,393.372,451.876,523.978,557.511,577.317,596.55,932.735,996.442,1790.043,1978.619,2293.745,2308.745,2313.934,2495.075,2510.111,2581.017,2603.608,3437.697,3457.961,3474.751
road,720.871,729.628,729.628,729.628,729.596,729.594,728.83,1209.624,1206.523,1206.523,1206.523,1110.89,1192.556,1200.4,1178.822,1150.113,1150.996,1151.01,1136.184,1110.219,1116.119,1106.412,1088.775,1194.151,550.221,550.221,550.221,553.143,553.0,553.0,553.0,551.829,550.078,550.078,550.078,550.078,550.078,550.078
secondary,238.141,238.141,238.141,238.141,243.309,243.309,247.199,247.199,291.211,294.444,294.444,311.083,346.43,349.563,311.487,340.447,346.379,346.807,346.976,718.642,728.969,728.969,793.67,871.406,890.979,909.293,1054.226,1382.813,1626.784,1631.893,1632.059,1649.033,1650.098,1533.271,1568.433,1337.3,1337.716,1337.716
tertiary,395.575,400.191,400.191,400.191,411.833,411.833,411.833,411.833,443.884,444.631,444.631,487.609,541.226,650.846,1053.125,1126.199,1233.627,1233.649,1237.49,1030.581,1109.964,1110.727,1152.799,1167.763,1262.845,1000.557,1146.29,1011.809,1042.584,1038.195,1040.656,1057.227,1207.981,1315.771,1314.663,1972.94,2104.369,2070.383
trunk,27.541,27.541,27.541,27.541,28.271,28.271,31.04,31.04,18.12,18.12,18.12,18.12,18.188,18.188,18.188,16.442,16.442,16.442,16.442,1554.574,1561.138,1561.318,1570.013,1571.183,1575.839,1563.271,1578.486,1579.398,1672.202,1672.32,1673.72,1673.847,1679.605,1681.146,1681.288,1723.798,1724.12,1724.156
unclassified,142.023,148.819,148.819,150.754,98.59,100.845,102.219,102.475,60.687,62.159,62.293,97.869,264.375,336.985,437.058,518.563,512.743,512.756,664.653,665.327,750.092,774.255,783.879,800.277,1225.625,1622.245,1316.41,1346.321,1727.465,1761.473,1769.338,1826.808,1931.172,2440.639,2438.855,3001.02,3409.693,3332.737
primary_link,,,,,0.072,0.072,0.072,0.072,,,,0.042,0.042,0.042,0.042,0.042,0.23,0.23,0.23,0.188,0.188,0.188,0.188,0.188,0.056,0.298,0.609,0.697,0.937,0.937,0.937,0.937,0.937,0.937,0.937,1.154,1.064,1.064
service,,,,,0.812,0.812,1.624,1.624,17.024,17.312,17.459,17.459,20.091,27.87,27.87,37.916,38.23,38.23,39.442,42.629,59.596,63.177,62.915,63.503,102.502,107.348,120.953,125.729,124.527,124.655,124.672,133.119,127.033,129.129,131.078,198.755,199.779,200.527
trunk_link,,,,,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.242,1.507,1.611,1.611
footway,,,,,,,1.178,1.178,1.178,1.178,1.178,1.217,1.217,1.217,1.217,1.217,1.217,1.217,6.262,7.286,10.125,12.428,12.428,12.428,12.473,12.473,16.828,17.413,19.37,19.37,19.37,20.089,17.415,20.603,20.603,29.916,29.917,30.406
living_street,,,,,,,15.321,15.321,281.454,281.454,327.43,364.971,370.059,371.028,371.028,363.858,364.701,364.701,335.553,329.627,327.714,328.47,328.453,326.983,305.405,304.989,220.442,168.663,133.016,132.435,132.059,16.472,16.472,16.569,16.569,16.569,16.569,16.569
track,,,,,,,4.523,7.485,11.271,11.271,11.271,122.316,190.26,200.865,340.922,390.54,369.164,369.164,527.192,533.317,575.451,575.451,596.199,604.644,948.466,951.183,1046.98,986.373,1123.211,1136.355,1143.398,1194.937,1258.927,2687.901,2791.053,2839.526,2833.176,2966.556
pedestrian,,,,,,,,,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.203,1.436,1.436,1.777,1.777,1.777,1.777,1.777,1.777,1.777,2.253,2.437,2.437,2.437,3.536,3.542,3.542,3.542,3.29,3.29,3.29
secondary_link,,,,,,,,,0.891,1.735,1.735,1.735,1.735,3.017,3.017,3.579,3.634,3.634,3.543,3.543,3.543,3.543,2.699,2.699,2.789,2.789,1.833,1.15,0.955,0.955,0.955,0.955,0.955,0.958,0.958,2.28,2.176,2.176
path,,,,,,,,,,,,0.108,0.108,0.108,0.108,2.777,2.86,2.86,2.853,12.257,15.326,15.653,15.985,15.985,18.109,18.638,28.652,79.133,160.976,162.822,162.822,171.787,172.701,422.84,427.517,433.583,435.092,435.092
tertiary_link,,,,,,,,,,,,5.364,5.364,5.621,5.621,5.621,5.621,5.621,1.594,1.594,1.594,1.594,1.594,1.594,1.62,1.62,1.651,1.651,1.651,1.625,1.625,1.625,1.625,1.625,1.625,0.229,0.229,0.229
construction,,,,,,,,,,,,,,,,,,,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,7.591,7.591,20.51,20.51,20.51,17.024,45.676,45.676,45.676,47.167,47.167,47.167
primary;trunk,,,,,,,,,,,,,,,,,,,,,0.858,0.858,,,,,,,,,,,,,,,,
residential;living_street,,,,,,,,,,,,,,,,,,,,,0.731,,,,,,,,,,,,,,,,,
residential;service,,,,,,,,,,,,,,,,,,,,,0.263,0.263,0.263,,,,,,,,,,,,,,,
residential;tertiary,,,,,,,,,,,,,,,,,,,,,0.894,0.894,0.894,,,,,,,,,,,,,,,
tertiary;residential,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,
yes,,,,,,,,,,,,,,,,,,,,,19.086,12.697,13.429,13.429,3.704,3.704,3.704,3.707,3.707,3.707,3.707,1.661,1.661,1.661,1.661,1.612,1.612,1.612
steps,,,,,,,,,,,,,,,,,,,,,,,0.123,0.123,0.123,0.123,0.201,0.201,0.201,0.201,0.201,0.361,0.361,0.361,0.361,0.385,0.385,0.385
raceway,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434
rest_area,,,,,,,,,,,,,,,,,,,,,,,,,,,1.382,1.382,1.434,1.434,1.434,1.434,1.434,1.434,1.434,1.434,1.434,1.434
