,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772
bridge,0.062,0.062,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construction,13.0,15.156,15.614,13.429,13.01,9.209,9.209,9.209,9.209,12.34,11.737,80.141,146.608,148.331,89.175,89.158,158.235,169.122,189.05,200.031,186.233,183.713,186.479,203.575,160.613,136.061,136.064,134.438,134.438,136.348,131.173,127.802,130.978,146.062,245.985,255.878,253.099,300.007
footway,16227.883,16228.234,16228.278,16228.319,16233.575,16341.178,16325.599,16332.431,16343.364,16358.498,16434.071,16497.276,16502.236,16511.163,16509.405,16633.396,16622.695,16632.213,16634.532,16644.727,16737.042,16750.269,16741.458,16749.697,16842.499,17036.052,16993.516,16233.724,16250.612,16274.309,16293.263,16305.308,16361.321,16345.123,16362.243,16403.645,16756.305,16819.34
motorway,31.179,31.179,31.179,31.179,31.179,31.179,31.179,31.179,31.179,31.179,31.677,31.677,31.677,31.677,31.677,31.786,31.786,31.786,31.786,207.953,207.953,207.953,207.953,208.146,218.628,256.901,271.481,271.66,271.678,271.688,263.696,263.698,291.85,314.103,320.535,320.101,320.216,320.216
path,8.736,15.789,15.789,15.789,15.789,15.784,16.218,16.218,16.218,20.637,509.402,2336.082,2636.836,2683.918,2690.831,2779.969,2863.595,2930.589,2951.634,3166.853,3314.367,3359.344,3780.363,3812.348,3794.038,3831.406,3740.403,4504.232,4660.906,4781.826,4743.904,4879.092,5115.24,5235.179,5376.689,6382.392,6960.047,7257.137
pedestrian,2.219,2.223,2.223,2.223,2.223,2.541,2.541,2.541,2.541,17.343,6.602,6.602,6.684,11.272,11.272,11.272,11.272,12.614,12.614,12.614,12.608,12.608,12.608,13.969,18.862,16.477,16.843,3.603,3.603,3.603,3.603,3.674,3.674,3.798,3.798,3.809,3.809,4.09
primary,31048.335,31093.542,31575.352,32237.475,32599.793,34404.1,35459.764,37876.382,37654.25,37101.126,38290.0,38141.697,38229.513,38471.575,39555.274,38962.992,39095.337,39684.89,39709.223,36550.917,36578.673,36692.062,36688.592,36751.631,36736.918,37442.915,39679.877,39956.672,40737.338,40920.769,41118.09,40733.522,40760.279,41105.575,41626.016,41727.17,42225.698,42811.88
primary_link,43.645,43.628,45.396,46.323,46.634,45.471,44.784,44.735,44.794,45.327,40.721,60.471,61.774,62.556,62.57,53.841,53.624,51.204,54.768,53.474,53.687,53.707,53.707,53.721,52.79,51.94,52.092,52.988,54.093,54.107,57.384,126.519,127.686,65.621,68.421,70.476,68.836,70.758
residential,98572.536,98593.88,98641.546,98672.667,98688.246,114260.866,114320.33,114317.917,114327.408,114780.608,115188.348,117153.741,118259.216,119443.776,121714.873,122822.386,123169.56,125292.933,125545.828,125655.951,126250.59,126637.26,127193.971,127594.166,129192.452,129759.841,130429.452,131222.103,131736.407,132272.172,132778.244,133892.759,134898.066,144608.924,147014.529,148285.477,148603.855,149072.968
