,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
cycleway,4.907,4.907,4.907,4.907,4.907,4.907,4.907,4.907,4.907,4.907,4.907,4.907,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944,4.944
path,8.625,8.625,8.625,8.625,2.389,2.389,2.389,2.389,2.389,2.389,2.389,2.389,0.007,0.533,0.758,0.758,4.552,4.725,4.769,4.769,22.288,22.288,22.288,22.347,22.347,22.347,22.347,22.347,22.391,22.391,25.307,25.307,26.002,26.002,42.17,42.17,43.957,43.957
primary,777.353,777.353,777.913,1907.464,1926.742,1928.629,1940.95,1939.826,1939.826,2239.794,913.896,913.896,965.9,972.735,1076.096,1237.849,1236.968,1236.997,1236.997,1236.997,1246.473,1251.552,1655.391,1657.503,4171.853,4296.543,4494.43,2563.389,2696.754,2646.045,2693.194,2694.443,2695.692,2711.212,3091.289,3229.597,3244.043,3244.044
primary_link,1.221,1.221,1.221,1.834,1.834,1.834,1.834,1.834,1.834,1.834,1.834,1.834,1.834,3.161,3.161,3.254,3.432,3.631,3.631,3.631,3.631,3.631,3.533,3.533,3.533,3.533,3.533,3.6,3.6,3.763,3.757,3.757,3.576,3.576,6.222,6.222,6.312,6.312
residential,1.758,1.758,1.758,2.629,167.892,181.961,185.726,292.88,292.88,295.815,298.716,298.94,341.93,362.707,370.581,386.029,530.84,531.438,534.094,538.699,544.849,925.794,953.664,999.158,1000.754,1040.645,1077.093,1101.954,1138.942,1239.166,1493.409,1599.57,1661.406,4983.702,6664.847,6669.17,6683.248,6679.918
road,134.124,134.124,134.124,134.124,187.154,187.155,187.155,148.617,148.617,114.462,114.462,114.462,114.462,114.462,76.27,92.443,89.481,92.077,133.963,148.124,185.355,407.388,820.866,754.758,901.348,897.615,912.164,909.029,909.355,909.269,911.411,72.142,71.519,71.519,71.519,71.519,71.519,71.519
secondary,426.384,507.453,507.453,648.133,763.914,763.914,764.5,765.936,765.936,507.957,452.707,452.855,455.364,457.377,457.608,713.331,843.038,850.818,979.356,1039.697,1034.407,1534.331,1617.98,1634.732,1282.344,1216.529,1245.603,1744.529,1708.711,1403.46,1275.019,1299.503,1320.296,1320.311,1245.331,1146.86,1168.842,1168.842
service,0.272,0.272,0.272,0.272,12.273,12.791,12.791,12.791,12.791,15.606,15.92,15.92,15.92,22.378,24.779,27.847,58.418,62.045,62.755,62.755,64.638,92.224,99.211,98.683,154.34,157.338,157.371,172.687,172.687,178.003,235.273,236.724,239.015,240.78,313.879,317.58,321.758,321.866
tertiary,68.549,68.549,68.549,119.741,160.45,160.45,160.721,172.458,172.458,174.118,179.069,180.904,200.107,216.213,223.356,268.557,461.302,466.032,486.718,469.423,915.222,925.798,1309.111,1386.475,1272.162,1310.976,1313.829,954.836,890.663,1227.236,1452.19,1593.313,1600.177,1602.735,2157.861,2405.918,2640.128,2643.56
track,29.096,29.096,29.096,29.096,42.607,42.607,42.607,44.259,44.259,46.098,46.211,46.211,71.655,82.336,87.215,155.494,308.588,308.601,350.16,371.263,376.769,968.42,4884.713,31485.812,40609.007,40614.311,40820.65,40865.624,40863.604,40919.943,42634.995,42895.755,43107.122,43106.072,43028.931,43468.067,43463.515,43536.903
trunk,40.251,40.251,40.251,99.653,114.947,115.04,115.04,115.11,115.11,115.11,1497.393,1497.448,1486.403,1486.423,1495.456,1544.824,1544.676,1544.677,1911.089,1911.089,1911.049,2224.986,2225.079,2228.078,515.651,515.651,504.97,1123.593,1123.596,1123.664,1181.388,1201.758,1201.764,1202.643,1232.166,1242.674,1265.809,1265.9
unclassified,16.426,16.426,16.426,72.542,81.244,81.244,81.244,82.662,82.662,100.688,97.503,97.503,96.709,95.211,152.013,198.309,440.399,456.266,708.33,953.369,1022.418,1260.985,3285.265,3344.273,3902.48,3946.613,3971.025,5494.449,5401.355,5309.562,5370.28,6234.164,6352.759,6369.289,7419.092,7278.488,7272.085,7263.64
trunk_link,,,,1.77,4.614,4.614,4.614,4.626,4.626,4.626,6.594,6.594,6.594,6.594,6.594,6.594,8.02,8.02,8.02,8.02,8.02,8.02,8.02,9.298,9.519,9.526,9.526,11.004,11.036,11.172,11.215,11.657,11.715,12.358,14.907,14.979,15.158,15.158
motorway_link,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,
living_street,,,,,,1.054,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.3,0.3,1.181,1.181,1.241,1.241
footway,,,,,,,,0.628,0.628,0.628,0.628,0.628,7.182,7.535,7.535,7.535,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,9.879,9.879,9.879,11.038,11.038,11.059,11.868,11.905,11.977,11.977,12.92,12.938,13.21,13.634
tertiary_link,,,,,,,,0.204,0.204,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.238,0.514,0.514,0.436,1.68,1.68,1.68,1.786,3.121,3.514,3.514,3.514
steps,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147
ro,,,,,,,,,,,,,,,,1.285,1.285,1.285,1.285,1.285,,,,,,,,,,,,,,,,,,
construction,,,,,,,,,,,,,,,,,4.991,4.991,4.991,4.991,4.991,4.991,8.131,8.131,8.131,8.131,8.131,103.843,103.843,103.843,103.843,103.843,103.843,103.843,113.428,113.428,115.12,115.12
secondary_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277,0.277,0.356,0.356,0.307,0.285,0.285,0.666,1.397,1.192,1.192
pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354,0.55,0.55,0.55,3.12,3.12,3.12,3.12
raceway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.556,1.556,1.556,1.556,1.556,1.556
