,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,3.179,3.179,3.179,3.179,3.179,3.179,3.179,3.179,3.179,3.353,3.353,3.353,7.087,7.087,7.087,10.732,14.788,18.337,15.971,16.258,16.536,18.952,19.423,72.729,67.849,68.091,86.457,83.604,81.339,80.629,80.629,80.629,80.629,91.981,93.789,95.658,113.627,117.539
pedestrian,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.821,0.821,0.821,0.927,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,2.175,2.226,2.226,2.226,2.226,2.103,2.103,2.103,2.103,2.464,2.464,2.464,2.464,2.103
primary,996.216,996.216,996.216,996.216,1001.563,1158.425,1329.748,1330.078,1339.396,1305.503,1214.998,1228.366,1345.939,1346.271,1346.3,1349.512,1430.911,1431.097,1432.469,1432.845,1431.173,1478.829,1476.748,1184.349,1181.64,1088.167,1130.181,1131.168,1133.019,1135.968,1134.333,1136.758,1145.283,1047.596,1059.305,1059.407,963.31,551.438
residential,0.932,0.932,0.932,0.932,71.158,687.784,783.702,791.173,800.213,797.396,851.878,851.911,925.07,929.029,948.502,982.017,1215.298,1238.516,1241.533,1243.452,1256.254,1253.999,1267.366,1508.797,2097.128,2175.602,2233.025,2248.997,2396.538,2640.57,2640.254,2645.593,2674.434,2801.792,2954.898,3023.669,3332.702,3930.548
road,13.13,13.13,13.13,13.13,13.13,5.045,5.045,84.684,90.652,89.792,89.792,89.895,165.5,165.5,138.292,138.719,109.086,103.015,37.846,120.421,123.472,123.472,123.472,156.564,54.52,54.52,54.52,54.52,54.52,57.325,57.325,50.37,50.37,50.37,50.37,50.37,50.37,50.37
secondary,138.46,138.46,138.46,138.46,137.19,209.125,209.176,209.18,208.659,211.25,210.187,211.781,188.829,189.321,184.842,184.842,148.749,157.179,157.133,178.591,175.905,117.546,119.635,360.247,430.166,349.359,347.386,348.343,348.344,350.415,328.898,350.446,350.451,407.011,401.958,402.045,509.047,240.951
tertiary,12.284,12.284,12.284,12.284,41.862,41.998,42.126,42.126,41.058,43.924,176.503,176.503,356.107,360.541,370.976,457.948,477.766,501.943,581.832,600.656,633.815,734.376,700.226,413.961,453.133,467.336,458.122,458.476,496.008,514.755,509.843,496.983,497.145,573.517,550.249,544.463,522.806,592.998
track,1.047,1.047,1.047,1.047,1.047,7.437,39.815,39.815,39.815,39.815,128.144,145.16,174.208,175.358,234.662,287.361,936.75,942.948,1268.534,1079.304,1079.294,1172.486,1186.971,2015.138,2257.042,2270.931,4395.236,5103.235,5294.495,5327.222,5335.003,5334.299,5390.238,4929.816,4908.179,4931.251,4852.394,4660.213
unclassified,99.897,99.897,99.822,99.822,101.735,154.332,155.311,155.649,158.512,174.407,174.349,182.842,270.755,267.937,284.236,309.322,464.105,496.593,493.708,858.275,923.361,918.509,949.662,964.048,1279.186,1333.203,1395.881,1672.825,3866.121,3833.808,3862.012,3872.44,3869.587,4296.192,4675.373,4796.341,4836.424,5147.15
service,,,0.498,0.498,0.498,1.992,1.992,1.992,1.992,2.202,2.202,2.202,4.732,4.732,8.663,13.748,36.29,50.385,51.039,51.102,54.272,54.272,54.299,55.069,54.293,55.816,54.035,54.035,58.271,56.838,58.587,58.411,58.614,59.469,59.749,66.767,67.196,71.793
path,,,,,0.941,1.551,1.551,1.551,1.551,8.157,57.529,57.529,57.529,57.972,57.972,58.876,146.777,144.775,140.319,177.039,177.364,178.393,186.482,226.029,315.042,316.858,345.833,355.157,417.745,413.916,413.916,418.766,484.068,487.201,501.904,508.842,520.159,582.616
living_street,,,,,,7.021,,,,,,,3.196,3.196,3.196,3.196,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.43,2.43,2.43,2.43,2.43,2.43,2.216,2.217,,,,,,,
primary;secondary,,,,,,254.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resre,,,,,,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trunk,,,,,,,85.221,85.221,178.351,193.821,286.737,289.792,133.678,136.345,136.345,135.29,74.027,73.93,72.685,72.685,72.735,72.752,72.737,72.641,73.234,244.237,244.632,244.632,245.634,245.818,246.126,246.268,246.268,271.085,277.342,277.857,307.714,919.654
