,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
path,6.471,6.471,6.471,13.308,21.098,22.825,22.975,23.529,29.5,34.235,42.344,83.482,93.72,93.695,90.189,108.35,160.88,166.415,170.915,177.274,195.224,195.857,209.439,223.106,254.931,301.932,312.05,417.838,961.942,969.773,1009.624,1195.926,1235.209,1276.17,1286.839,1713.897,1790.394,1919.659
primary,4479.335,4514.782,5231.573,5896.456,5933.713,6067.665,6249.67,6393.317,6432.677,6490.469,9324.545,9549.439,9954.033,10203.835,10257.602,10271.74,10324.884,10425.178,10603.417,10598.395,10915.26,9208.352,9305.871,9343.39,9754.683,9731.729,10290.481,7423.537,7518.813,6974.202,8288.311,6909.845,6933.292,6924.529,6934.611,7089.806,7333.773,7335.557
primary_link,2.322,2.322,2.322,2.322,2.322,2.669,4.8,4.8,4.735,4.735,5.595,5.618,5.777,7.007,10.55,10.55,10.55,10.55,10.55,12.783,13.904,12.235,12.005,12.113,12.051,13.613,20.351,14.141,14.441,14.119,14.652,16.609,15.526,15.212,15.212,20.104,20.4,20.868
residential,828.457,828.457,896.05,925.043,983.216,1034.819,1084.3,1117.127,1176.796,1322.648,2041.789,2220.442,3413.32,4552.232,4696.246,5423.364,6278.358,6469.418,6588.155,7384.7,9918.138,10401.05,10897.542,11218.075,11523.81,11629.946,12124.128,12736.533,13188.332,15148.608,16124.862,16175.463,16730.833,19097.956,22173.48,50000.627,50150.386,50348.477
road,790.505,791.747,911.709,3443.663,3444.446,3523.182,3544.508,3557.359,3602.446,3614.475,2673.384,2691.037,2426.903,2385.223,2320.516,2361.049,2419.524,2567.261,2509.548,2504.193,3002.366,3030.513,2966.208,2906.751,2799.617,2791.072,2739.471,2734.352,2699.146,2655.032,2002.658,2006.966,2017.829,2017.867,2017.347,2066.135,2007.613,2010.26
secondary,1078.209,1096.914,1105.075,1481.93,1489.074,1537.89,1620.682,1692.478,1712.687,1773.301,7618.491,7780.627,8028.314,8665.703,8598.414,8614.47,8780.817,8832.627,8840.285,8920.207,8935.55,8321.077,8183.041,8474.983,8476.926,8499.966,8446.68,8125.926,8140.74,8914.674,7294.686,8851.944,8857.4,8866.851,8889.457,9711.389,9554.568,9555.285
service,2.917,2.917,2.917,3.764,3.764,6.061,11.439,12.967,19.091,50.642,171.083,259.305,273.833,258.508,266.116,280.417,291.568,295.075,294.763,300.125,311.933,405.921,408.894,423.782,425.032,452.926,451.887,473.975,440.073,512.455,583.443,547.635,645.281,688.832,807.303,1468.346,1495.666,1605.014
tertiary,449.121,448.786,520.762,866.597,962.348,970.945,1043.959,1059.179,1143.899,1151.593,11713.385,12269.902,14452.47,17907.546,18513.135,18710.296,18877.712,19567.811,19631.559,19721.214,20163.591,20410.454,20345.354,20770.845,20936.925,20986.843,21215.821,23543.829,23785.646,13218.777,14137.807,15792.952,15800.773,15884.987,15932.663,16285.343,16318.212,16380.724
trunk,136.931,136.931,136.74,136.74,136.74,156.203,159.042,159.052,131.05,138.759,154.35,154.35,154.35,154.357,154.357,154.357,159.226,159.226,159.226,159.226,159.226,2510.515,2330.119,2276.575,2264.471,2389.874,1823.811,3813.939,3964.573,4260.086,5165.142,4977.805,5018.674,5022.841,5034.793,5167.869,5301.085,5303.193
trunk_link,1.648,1.648,1.648,3.083,3.083,3.601,3.775,3.775,4.81,4.939,4.716,4.716,4.823,4.823,4.823,4.823,5.093,5.093,5.356,5.355,4.868,2.161,1.869,1.869,1.931,2.084,1.746,18.233,19.774,16.576,19.208,29.943,29.937,29.897,31.043,28.133,49.256,49.552
unclassified,1048.824,1054.505,1216.888,1191.361,1263.019,1463.283,1549.608,1602.945,1752.782,1786.181,1779.982,2413.51,2881.772,6003.171,6698.886,6891.853,7031.505,7042.771,7465.087,7864.37,8424.661,8435.081,9040.064,9416.085,10056.058,10431.458,10350.637,10716.252,12550.715,24134.719,31020.129,42825.841,43121.771,43287.82,43610.74,47757.64,48711.434,49042.152
track,,0.335,2.875,2.875,9.653,23.396,48.601,60.673,68.53,79.907,905.367,997.369,1204.379,1460.392,1490.028,1600.263,1696.669,1763.208,1830.136,1905.626,1987.787,2010.931,2065.513,2156.276,2768.313,2875.603,2891.157,2948.175,3095.157,4396.947,4543.249,4288.578,4372.864,4402.421,4543.702,4935.325,5513.706,6322.239
secondary_link,,,,,0.394,0.394,0.467,0.467,0.467,0.467,1.204,4.082,4.082,4.082,4.082,4.082,4.082,4.082,4.082,6.387,6.387,6.387,6.387,6.387,6.387,6.433,6.595,9.227,6.544,4.805,4.589,5.029,5.118,5.951,5.951,10.226,10.41,10.448
steps,,,,,,0.187,0.187,0.187,0.294,0.294,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.464,0.464,0.476,0.504,0.504,0.504,0.57,0.813,1.021,1.021,1.03,1.03,1.128,1.171,1.036,1.869,1.917,2.58,2.633
footway,,,,,,,0.528,0.562,2.922,8.206,8.011,31.759,31.817,31.833,31.926,36.185,47.951,55.257,55.747,56.295,56.828,58.452,151.738,152.346,152.745,154.623,164.782,193.344,200.992,210.951,188.77,105.93,118.149,122.823,198.242,209.328,223.705,254.578
motorway_link,,,,,,,2.342,2.342,2.629,6.323,6.941,6.941,6.941,8.942,8.942,8.942,8.95,8.95,8.683,8.871,9.348,14.242,15.156,15.502,18.08,18.077,18.996,23.484,23.681,21.62,21.691,23.6,23.629,25.66,24.662,27.575,1.163,1.163
tertiary_link,,,,,,,1.684,1.684,1.684,1.684,19.153,104.714,80.05,67.916,68.186,68.186,68.186,68.186,55.215,51.185,50.658,50.536,50.757,50.368,50.5,50.579,50.446,36.183,33.423,28.892,11.774,12.316,12.204,12.694,13.149,15.418,13.654,13.654
pedestrian,,,,,,,,0.081,0.081,0.081,0.345,0.345,0.345,0.579,0.579,0.579,0.579,0.579,2.118,3.131,1.797,1.797,1.859,2.095,3.191,3.191,3.348,3.671,4.108,4.234,4.112,4.161,3.677,3.677,3.245,2.481,2.815,3.084
motorway,,,,,,,,,38.526,38.526,38.396,38.396,38.396,38.396,38.396,38.396,38.396,38.396,38.396,38.396,38.376,63.789,66.083,65.252,65.252,65.252,65.252,66.589,67.794,69.853,69.854,95.875,69.977,70.051,70.732,96.805,37.663,37.663
bridleway,,,,,,,,,,,0.089,0.089,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,4.159,4.159,4.159,8.208,8.208,8.208,8.208,8.255,8.255,8.255
living_street,,,,,,,,,,,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,1.058,1.058,1.058,1.403,1.403,1.403,1.922,1.922,1.922,3.091,5.204,5.46,6.532,1.705,1.705,1.705,1.88,2.236,2.236
unknown,,,,,,,,,,,,3.128,,,,,,,,,,,,,,,,,,,,,,,,,,
uroad,,,,,,,,,,,,,,4.465,4.465,,,,,,,,,,,,,,,,,,,,,,,
cycleway,,,,,,,,,,,,,,,,0.458,0.458,0.458,0.458,0.458,,,,,,,,,,,,0.907,0.907,19.132,19.131,32.495,32.486,32.493
construction,,,,,,,,,,,,,,,,,3.222,3.222,3.222,3.222,3.862,3.862,7.966,7.966,11.538,11.538,11.132,11.293,3.276,13.232,19.53,19.53,19.53,19.528,18.93,16.232,21.035,21.035
services,,,,,,,,,,,,,,,,,,,,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.415,0.415,0.415,0.415,0.415,0.415,0.415
mini_roundabout,,,,,,,,,,,,,,,,,,,,,0.087,0.087,0.087,,,,,,,,,,,,,,,
Tolon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049
escape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623
bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.075,0.075,0.127,0.127,0.127,0.127,0.127
yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,,,,0.38,0.38
minor path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.061,0.061,0.061,0.061,0.061
rest_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.673,11.783,11.801
passing_place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248,0.248
corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092
