,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,1.342,1.342,1.342,1.342,1.342,1.342,1.342,1.342,1.342,4.329,4.329,10.784,11.012,11.33,11.33,11.33,11.33,134.057,125.473,134.346,638.677,869.852,834.348,694.787,721.751,798.106,921.13,933.703,920.209,861.721,871.184,871.177,867.929,872.004,852.114,876.365,879.289,894.241
motorway,148.68,148.68,128.539,128.539,128.539,128.539,128.539,128.539,128.539,128.539,128.539,147.832,147.832,147.832,147.832,147.832,147.832,147.831,155.804,155.879,155.879,155.883,170.199,169.851,169.851,149.011,150.401,152.268,152.191,152.191,154.246,154.246,154.246,154.294,154.294,154.294,154.294,154.294
motorway; primary; motorway,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104
path,8.143,8.143,8.143,8.143,8.143,8.143,8.143,8.143,8.143,12.289,12.289,20.292,28.096,73.847,74.104,74.3,97.875,3773.339,5080.065,11736.032,23291.951,26449.894,27009.884,27155.843,27213.817,28777.884,31906.956,32119.226,32162.362,32260.873,32370.92,32492.982,32451.403,32435.037,32487.189,38707.093,42397.983,43820.432
primary,2044.382,2318.27,2397.43,2397.476,2408.684,2423.483,2447.769,2492.985,2615.842,3020.094,3225.912,2397.764,2616.724,2599.685,2632.754,2812.419,3070.253,3638.626,3548.818,3717.675,5983.241,3465.597,3566.937,3622.457,3939.313,3485.294,3608.873,3899.846,3918.712,3889.929,4073.485,3974.128,3946.538,3353.845,3379.506,3664.185,3706.349,3328.157
primary; motorway,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
residential,250.827,254.232,253.703,260.455,588.427,588.422,665.893,666.898,683.003,683.003,685.704,830.874,990.887,1216.922,1343.236,1390.424,1456.242,4280.815,4340.867,4533.57,4860.388,5608.894,5647.574,5657.667,6096.64,6348.343,6419.95,6437.171,6493.562,6538.77,6980.818,7021.56,7767.95,7836.838,7844.014,8222.695,8641.773,9680.503
road,321.948,321.948,321.948,321.948,321.956,324.733,345.026,345.288,345.288,345.288,347.746,360.432,475.326,519.934,478.383,528.189,1007.232,1318.634,1275.861,3693.862,3356.522,3430.898,3333.923,3333.414,742.262,1166.47,1411.504,1401.816,1344.647,1351.827,1352.358,1344.351,1340.498,1340.576,1340.576,1365.916,1325.164,1320.482
secondary,630.117,630.117,630.117,630.117,630.117,720.33,724.256,788.308,833.577,872.603,952.568,1003.825,1342.797,1341.752,1538.978,1700.282,2566.684,3678.696,3872.814,4164.583,4534.178,4415.935,4430.985,4432.19,4483.476,4783.578,4826.462,4864.745,4921.562,5204.069,5934.171,5934.248,5932.694,4253.396,4254.017,4497.015,4329.791,4406.301
service,4.207,4.207,4.207,4.207,8.379,8.379,8.917,8.917,23.307,23.307,22.889,26.741,69.569,178.681,178.681,178.768,179.448,399.738,417.956,508.946,523.075,615.306,583.938,584.834,613.419,657.838,658.937,659.015,653.796,653.156,828.968,913.986,1038.909,1038.385,1047.009,1077.45,1059.333,1163.155
tertiary,82.486,82.486,82.486,82.486,84.685,97.039,132.556,132.557,167.812,167.812,171.18,320.697,359.994,505.522,612.832,1320.866,2248.477,4335.262,5141.063,7981.527,8925.432,10478.318,10495.434,10412.715,10631.114,11090.516,10942.913,10955.891,11001.872,11741.014,14343.863,14394.278,14443.958,16300.672,16327.06,17265.173,16835.092,16193.425
track,9.775,9.775,9.775,11.412,11.412,16.11,19.7,19.7,27.84,33.071,33.071,151.289,286.749,292.839,305.166,344.599,936.872,4798.045,5096.12,5789.715,13787.85,22938.255,23463.031,23937.424,25188.998,26063.005,26723.769,26842.697,26884.709,26998.489,27089.214,27107.318,28472.343,28473.192,28362.455,30145.602,31832.11,33888.665
trunk,13.505,13.505,33.59,33.59,33.656,33.656,33.656,40.554,20.346,20.346,20.346,4320.011,4668.796,4695.28,4696.22,4899.427,4769.166,4945.213,4923.047,4951.22,3189.528,6289.301,6127.037,6014.818,5806.402,6104.85,6108.035,5904.737,5891.391,5912.676,5963.19,5964.861,5969.848,5984.091,5984.886,5752.408,5844.639,6346.06
unclassified,60.967,60.967,60.967,60.967,52.156,138.623,256.472,256.472,256.446,256.898,265.316,918.186,1009.13,1149.935,1244.342,1249.98,1275.93,8641.429,9586.921,12139.484,16368.291,24612.828,25097.347,25222.453,27119.364,28782.283,30107.979,30856.281,31385.711,31772.723,31082.091,31329.778,31701.715,32235.871,32552.053,36900.663,42223.906,45660.644
