,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,494.656,494.656,494.656,494.656,499.282,502.304,502.369,918.165,938.29,1090.61,1090.61,266.366,179.392,187.202,185.823,185.823,185.823,187.169,187.437,187.444,187.444,935.397,906.088,679.341,665.825,665.825,665.825,665.826,665.826,665.844,665.844,665.844,826.775,838.541,965.182,966.336,839.269,931.459
secondary,689.116,689.116,689.116,689.116,696.431,697.016,697.016,1161.764,1159.299,1144.667,1144.667,875.014,903.8,915.621,1113.904,1113.904,1150.804,1168.14,1122.536,1124.967,1124.97,895.406,887.959,640.536,600.067,569.412,569.478,569.478,569.478,574.302,574.302,574.315,532.066,513.456,544.804,544.804,505.204,568.024
residential,,,,,2.75,70.076,101.699,175.895,175.895,175.895,175.895,176.05,294.759,357.855,411.718,411.718,417.527,417.719,428.108,441.247,440.999,417.459,419.974,401.764,738.758,738.758,737.766,737.772,740.097,757.433,758.71,781.364,782.224,788.216,796.911,848.25,1119.656,1364.366
tertiary,,,,,5.221,6.225,6.968,80.17,122.559,123.039,123.039,381.369,416.969,492.64,584.315,584.437,654.393,653.685,708.153,937.201,1094.149,769.095,836.702,865.87,1137.513,1152.959,1157.249,1157.249,1176.904,1178.542,1376.693,1399.767,1288.031,1296.986,1280.121,1302.831,1467.258,1312.577
primary_link,,,,,,0.613,0.613,0.613,0.859,0.859,0.859,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.532,0.532,0.529,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,1.712,1.712,1.712,1.872,1.738
unclassified,,,,,,78.319,78.319,175.185,175.428,175.428,175.428,1125.291,1126.394,1180.541,1281.289,1283.31,1221.339,1236.373,1251.401,1263.848,1189.525,750.25,827.857,1233.166,1205.523,1207.4,1209.865,1209.865,1216.743,1329.936,1359.261,2029.083,2130.501,3418.145,3439.589,3718.696,3902.181,3990.712
track,,,,,,,5.141,155.818,155.818,155.818,155.818,155.818,156.191,194.167,240.099,240.099,291.424,291.427,291.424,291.424,293.743,492.174,571.518,1572.491,3027.931,3018.321,3018.293,3018.498,2990.312,3044.497,2884.663,2533.272,2508.691,1482.804,1915.724,2044.1,2055.142,2027.983
footway,,,,,,,,2.333,2.333,2.333,2.333,2.333,2.839,13.347,14.859,14.859,16.425,16.425,16.425,32.454,32.68,32.68,32.68,32.707,43.656,43.656,43.672,43.672,43.672,45.832,103.36,92.104,89.528,87.363,84.954,84.954,84.759,83.246
path,,,,,,,,27.507,27.507,27.507,27.507,27.507,77.061,77.061,77.061,77.061,82.755,82.764,85.252,85.252,110.678,111.33,125.887,227.469,455.829,506.275,505.827,505.954,506.152,529.927,759.902,825.75,987.069,993.884,1001.9,1103.16,1123.975,1123.913
pedestrian,,,,,,,,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.14,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697
road,,,,,,,,12.535,12.535,12.535,12.535,12.535,12.535,12.535,12.535,20.837,62.756,62.759,54.457,195.493,135.301,126.826,117.683,53.158,16.147,16.147,16.147,16.591,16.784,16.784,16.784,16.34,8.871,8.871,8.871,8.871,8.871,8.871
service,,,,,,,,106.495,106.495,106.495,106.495,106.495,112.143,112.143,118.915,118.915,118.915,119.313,119.381,119.381,119.381,119.381,119.677,159.363,63.338,63.338,63.338,63.448,63.448,63.449,63.449,63.887,63.887,67.25,66.702,66.702,61.677,53.881
trunk,,,,,,,,16.873,,,,15.565,14.906,14.042,14.042,14.042,,,,,,368.255,368.255,20.982,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,21.23,2.291,2.291,22.163,22.375
secondary_link,,,,,,,,,,,,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.128,0.128,0.114,0.211,0.211,0.211,0.211,0.211,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.248,0.485
tertiary_link,,,,,,,,,,,,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.638,0.638,0.769,0.627,0.627,0.627,0.627,0.627,0.647,0.647,0.647,0.647,0.478,0.478,0.478,0.478,0.496
yes,,,,,,,,,,,,,19.746,,,,,,,,,,,,,,,,,,,,,,,,,
living_street,,,,,,,,,,,,,,,0.567,0.567,0.947,0.947,0.947,0.947,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.308,0.308,0.308,0.308,0.308,0.308,0.308
construction,,,,,,,,,,,,,,,,,,,,,,,,8.031,8.356,8.356,8.356,8.356,8.356,8.356,8.356,8.356,8.356,8.356,8.356,8.356,8.031,7.861
trunk_link,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,,,,,,,,,,,,0.249
bridleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504,0.504,0.5,0.5,0.5,0.5,0.5
