,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
motorway,352.619,352.619,286.554,441.524,517.671,519.124,519.327,519.53,519.53,613.964,651.017,651.017,651.017,651.017,651.017,651.81,251.141,830.8,835.922,843.508,856.565,941.524,943.26,967.289,1242.608,1008.155,1040.632,1040.632,1040.634,1013.721,1018.114,1018.176,1027.144,987.952,987.952,989.958,992.415,992.811
motorway_link,25.618,25.618,25.618,25.618,29.399,32.544,34.083,35.54,35.54,36.135,36.149,36.149,36.149,36.149,36.149,33.686,34.373,47.998,42.717,41.322,44.024,46.112,48.991,50.173,58.113,59.485,61.527,62.348,62.625,47.186,51.078,51.164,56.943,55.093,55.183,56.399,57.062,57.063
path,0.378,0.378,0.378,0.378,9.921,9.921,9.921,9.921,9.921,9.921,13.177,13.177,13.256,13.256,13.256,180.397,185.396,198.511,259.102,557.043,1181.392,1241.219,1221.238,1251.686,1256.655,2039.899,2300.874,2821.929,2863.115,2909.807,2942.745,3009.803,3153.473,3421.203,3440.792,3528.264,3553.518,3656.821
primary,2634.817,3604.693,4472.799,5683.366,7510.425,9099.532,9725.075,9724.547,10122.334,10195.237,10505.512,10080.711,10081.336,10072.69,10041.578,10102.46,10630.659,11308.065,11535.774,11703.04,12396.635,12431.926,12616.802,12608.958,12552.31,12897.072,12877.485,12886.823,12942.186,12906.298,13031.845,13572.352,13676.618,21924.007,21856.82,21830.118,21267.855,20827.243
primary_link,3.368,3.368,3.768,3.796,5.346,5.375,5.386,4.77,4.793,4.793,4.793,4.793,5.465,5.465,5.465,5.894,5.894,7.913,7.179,7.136,9.308,8.881,9.018,9.095,10.634,11.203,10.534,11.166,11.374,10.808,10.807,10.633,10.72,9.745,7.672,10.877,32.741,33.328
residential,527.959,527.959,691.069,750.137,1164.392,1371.349,1629.972,1647.069,1659.565,1665.304,1719.613,1717.048,1774.172,1808.476,1925.655,2162.588,2342.314,2655.871,4074.607,4300.46,4863.169,5707.305,5997.169,6944.481,7221.534,7493.935,7680.855,8457.494,9059.011,9679.426,10303.134,10705.606,11027.912,11389.79,11577.63,14241.848,18061.534,18479.214
road,4432.022,4367.737,4489.806,5677.158,7236.089,5879.373,6193.636,6471.136,6578.005,6563.036,6586.893,6586.913,6591.979,6749.956,6753.543,6840.376,6889.929,7712.933,2321.037,2791.012,2598.666,2592.874,2593.864,2610.826,2607.875,2546.152,2551.084,2551.084,2526.503,2546.394,2783.76,2790.708,2541.577,2543.046,2542.903,2544.463,2542.515,2555.334
secondary,268.155,244.617,359.559,1043.477,1290.923,2811.533,3068.591,3117.22,3216.208,3263.815,3357.262,3305.018,3305.505,3370.887,3419.916,3736.393,3925.135,4969.259,5492.878,5471.72,5990.931,6133.52,6059.329,6100.648,6228.818,6172.762,6197.106,6177.714,6198.427,6459.608,6560.619,6679.079,6996.544,6844.038,6895.759,6942.238,7232.197,7349.05
service,0.666,0.666,4.515,4.515,50.737,52.432,101.415,105.298,105.796,109.723,110.811,116.353,118.227,119.241,119.434,155.089,164.576,172.374,183.231,350.096,390.727,499.07,546.293,570.313,648.028,703.094,718.403,688.735,763.424,934.311,953.876,964.47,966.883,1007.166,975.645,1000.333,1111.536,1123.998
tertiary,468.655,340.639,586.241,822.914,701.467,1378.084,2478.132,2572.305,2650.289,2698.429,2899.29,2870.182,2974.818,3014.021,3024.961,3199.215,3442.162,4548.1,6344.512,8159.43,8840.485,9060.186,9297.987,9379.069,9706.512,9820.663,9861.022,10371.865,10457.048,10631.709,10902.228,11299.142,11620.107,11669.205,11907.858,12120.424,12551.984,13323.183
track,5.672,5.672,14.62,18.628,1012.942,1675.796,1779.697,1837.576,1853.523,1853.523,1865.803,1869.627,1876.713,1877.101,1878.559,2044.119,2117.657,2276.993,2314.262,3725.634,4494.284,5159.432,5286.341,5424.971,6218.424,7409.689,7616.842,7754.202,7936.025,8096.193,8357.435,8416.957,7865.524,8187.279,8123.859,8326.648,8467.947,8859.329
trunk,1.914,1.914,1.914,1.914,,,,,,,142.576,666.413,688.779,688.779,688.779,691.796,1074.966,129.214,129.214,129.214,129.214,374.357,280.009,280.009,262.368,262.368,262.368,262.368,262.368,290.044,290.044,291.505,280.446,341.845,376.94,420.326,1018.043,1629.275
trunk_link,1.33,1.33,1.578,1.578,0.249,0.249,,,,,,,,,,,8.748,,,,,3.572,3.572,3.572,3.572,3.572,3.625,3.625,3.625,19.098,19.211,19.083,14.225,15.197,14.152,14.465,17.342,18.077
