,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
,18.536,18.536,18.536,18.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construction,4.44,4.44,4.44,4.502,4.502,4.502,4.502,4.502,4.502,4.502,3.937,3.937,3.937,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,6.51,6.51,6.176,4.489,4.489,4.489,4.489,4.489,4.489,4.489,7.859,7.858,7.858,12.989,12.989,14.541,16.075
footway,69.753,80.007,81.521,84.877,103.062,106.3,109.681,128.718,140.574,140.829,253.192,465.319,470.875,486.388,500.756,513.072,544.888,556.377,577.408,578.009,586.292,894.34,914.927,926.469,937.168,1134.307,1144.804,1273.661,1128.915,1235.135,1262.804,1146.464,1056.836,1078.771,986.115,1010.384,1078.17,1082.199
path,25.997,116.064,166.108,174.078,224.7,257.906,264.526,280.135,300.746,385.026,852.073,1465.485,1483.318,1509.311,1555.331,2134.411,2233.87,2249.227,2729.764,2728.851,2939.199,2981.977,3028.438,3262.693,3332.224,3353.392,3460.569,3993.702,5407.682,7337.434,7974.642,8674.354,9262.79,10552.022,11371.46,12304.571,13619.597,14845.789
pedestrian,1.344,2.176,2.176,2.176,2.868,9.888,11.157,13.213,14.212,14.212,20.01,22.742,23.074,23.074,23.113,24.637,24.69,24.689,24.445,24.408,24.408,24.931,24.931,27.335,31.055,32.202,30.671,34.109,34.588,37.961,37.126,34.401,34.232,33.794,32.942,32.692,34.607,27.018
primary,4291.254,4298.062,4426.116,4426.189,4397.46,4451.805,4477.461,4499.207,4515.287,4515.685,4554.382,4560.354,4630.021,4649.025,4581.876,4574.635,4685.743,4661.348,4593.334,4599.787,4755.147,4765.482,4833.826,4830.141,4833.26,4843.794,7105.669,7490.84,7426.181,7676.898,7648.61,7520.873,7545.041,7586.453,7725.556,7719.499,7634.385,7556.605
residential,128.074,155.549,185.672,257.413,532.238,1183.932,1255.996,1484.791,1495.743,1514.613,2136.811,2559.892,3037.399,3362.766,3493.189,4190.444,4689.079,5741.22,5971.056,6040.859,6500.499,6808.977,7099.211,7586.793,7974.663,8224.105,8513.839,9432.992,10065.363,11271.772,11970.679,12780.063,13378.154,13659.596,13772.05,14076.19,16814.793,51170.913
residential;unsurfaced,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
road,24183.987,24206.227,24088.998,24006.167,23589.961,23835.065,23860.083,24289.505,24152.975,24145.418,24119.007,24328.261,25440.892,25606.877,25603.278,25390.597,25049.318,24887.748,26378.82,26419.681,25597.699,25282.581,25242.218,25290.11,25163.612,25212.425,25341.097,26130.057,26674.426,26579.557,26663.089,25616.723,23095.391,23256.395,20075.332,20107.145,21133.412,20923.064
secondary,4396.607,4504.107,4639.684,4658.484,5979.039,7182.671,7208.316,7592.862,8071.93,8081.072,8710.864,9018.941,9482.351,10261.402,10892.171,11161.939,11470.468,11662.175,11893.146,11985.855,13004.443,13861.211,14004.614,14384.369,14445.497,14542.602,14579.209,14707.042,15305.747,15351.094,15424.814,15376.212,15574.402,15814.449,15965.88,15769.503,16170.175,16955.101
service,181.545,221.482,232.983,253.333,278.272,284.36,291.728,409.049,362.354,420.398,789.525,897.988,967.686,1044.405,1070.333,1247.688,1475.977,1560.98,1613.043,1642.008,1730.886,1778.409,1837.786,1866.495,1881.109,1899.392,1907.267,1948.003,2015.649,2125.779,2215.211,2121.273,2244.485,2189.429,2176.941,2210.435,2351.506,2296.736
steps,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.321,0.401,0.401,0.426,1.677,1.677,2.254,2.254,2.342,2.342,4.605,4.851,4.872
tertiary,1240.238,1309.818,1489.669,1478.868,1467.006,1732.314,1734.887,2012.209,2230.126,2226.813,2927.328,3167.601,3898.371,4376.566,4528.26,5240.644,5919.353,7063.068,7147.749,7418.64,10000.159,10776.022,11033.735,15789.123,16184.274,16334.216,16375.34,17354.793,18318.15,18998.819,19665.826,20207.882,21213.204,22324.413,23331.079,23988.243,24658.596,26005.894
track,1461.345,1723.238,1750.709,2049.284,3632.462,4258.189,4455.391,4852.333,5420.345,5943.504,6877.399,6975.833,8405.51,8861.509,8998.527,10093.272,10662.769,10804.152,11056.886,11408.147,11915.394,13485.808,14623.277,15549.459,16464.671,16639.423,16967.827,19476.775,22122.921,26492.417,31984.961,32869.303,33558.656,35839.916,32306.025,35255.014,38754.034,39583.465
trunk,4815.727,4990.363,5024.042,5033.09,5249.813,5298.34,5361.101,5577.862,5594.854,5595.386,5789.015,5885.04,5891.814,5873.209,5855.001,5859.454,6028.883,6015.03,6359.111,6347.181,6207.43,6338.237,6341.823,6409.918,6400.186,6400.374,6336.349,6145.24,6266.714,6259.857,6194.229,7087.657,7101.403,7119.488,7174.834,7185.824,7378.009,8024.391
trunk_link,2.173,3.026,4.946,4.946,5.8,7.936,7.936,8.728,8.838,9.485,10.034,14.028,15.689,15.689,161.918,169.273,117.762,117.117,120.984,121.085,121.411,122.481,121.721,121.947,125.053,125.328,126.699,126.173,126.173,126.173,126.343,126.585,129.078,131.033,131.094,131.094,135.887,147.364
unclassified,10594.49,10755.163,11475.814,11345.107,11307.821,11600.695,11802.844,12149.303,12401.765,12566.288,13939.2,15737.557,16176.425,16995.638,17157.175,18747.924,21468.673,23923.115,24717.459,26333.498,30252.68,34259.566,35289.179,39139.243,41049.967,41598.573,42990.737,46285.743,50127.682,57898.702,61414.095,64535.924,69893.916,73351.009,83015.102,84917.893,95214.448,95070.868
unclassified;residential,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unsurfaced,33.867,34.227,34.227,34.227,8.274,5.172,4.759,4.759,4.759,4.759,4.759,4.759,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297
Mt. Suswa Road,,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477
cycleway,,,,53.964,55.445,55.445,55.445,55.445,55.444,55.444,49.485,49.506,49.506,49.506,49.506,52.568,55.159,55.159,56.909,56.909,56.909,60.308,61.829,61.833,59.12,59.12,31.31,31.31,29.198,47.395,47.395,46.245,46.245,46.261,46.261,46.147,46.147,44.356
s,,,,0.029,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary_link,,,,,1.187,1.187,1.187,1.187,1.187,1.187,1.187,14.917,15.443,15.443,15.033,14.838,24.274,19.798,19.798,24.987,25.244,26.521,11.487,11.506,11.597,11.597,11.835,12.914,20.523,20.286,19.554,15.792,17.026,17.334,17.538,17.538,21.914,22.6
