,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,403.792,437.429,437.429,437.429,617.262,705.346,831.047,1148.527,1177.301,1236.293,1307.777,1331.637,1350.437,1346.821,1346.821,1346.832,1352.676,1369.346,1681.21,1688.893,1696.54,1723.461,1746.925,1828.471,1871.344,2002.394,2019.104,1837.265,1837.789,1841.163,1848.116,1848.288,1944.886,1997.797,1997.804,2000.582,1993.213,1993.235
primary_link,0.078,0.078,0.078,0.078,0.078,0.078,0.755,0.755,0.755,0.844,0.857,0.857,0.857,0.82,0.82,0.82,0.82,0.82,1.02,1.169,1.352,1.352,7.705,1.387,1.289,1.347,1.347,2.011,2.044,2.044,2.02,2.02,2.02,2.02,2.02,2.02,2.107,2.107
residential,9.49,9.49,9.49,9.49,31.169,31.169,411.296,948.008,1138.857,1156.044,1158.859,1160.05,1169.43,1087.239,1087.239,1095.274,1096.283,1219.995,1641.146,1988.401,2225.049,2622.079,3075.596,4269.553,5863.683,7468.326,9411.116,10278.508,10826.018,11564.211,12605.027,12881.018,12827.452,12830.554,12827.295,12804.736,12878.419,12868.969
road,22.253,22.253,22.253,22.253,54.1,54.1,22.888,54.202,60.069,59.878,59.858,60.921,60.907,63.9,63.897,118.073,118.073,123.907,157.833,165.995,181.594,169.017,174.19,155.944,133.485,116.946,77.361,77.513,77.2,73.487,73.488,70.708,70.708,70.708,70.708,70.708,70.708,71.909
secondary,159.456,159.544,210.765,210.765,217.559,751.192,1041.782,998.144,980.516,1012.167,992.773,992.849,994.9,1024.385,1024.747,1009.574,1010.015,1040.312,1208.136,1259.106,1293.956,1328.182,1353.596,1315.837,1435.054,1561.559,1574.951,1528.163,1544.211,1610.67,1637.442,1637.546,1550.985,1498.646,1498.691,1498.717,1577.304,1588.04
tertiary,65.016,72.347,148.868,148.868,148.874,150.221,190.653,256.963,256.963,316.435,352.706,352.707,352.707,356.166,291.922,419.598,436.14,720.598,1545.965,1951.36,2203.798,2312.481,2417.101,2682.014,2981.806,3198.396,3489.744,2958.272,3047.958,3090.404,3100.992,3115.674,3156.704,3149.084,3148.807,3162.509,3468.249,3436.9
trunk,11.681,11.705,11.705,11.705,11.718,11.721,11.721,11.807,11.807,11.943,12.268,12.268,12.302,12.133,12.133,12.133,12.133,12.168,12.168,12.168,12.168,12.168,12.168,16.197,12.413,12.413,13.156,27.175,27.603,27.606,27.606,27.606,27.356,30.1,30.1,27.356,27.411,27.411
unclassified,392.576,523.642,520.943,520.943,1895.014,1399.196,1400.958,1338.802,1330.386,1266.793,1363.401,1351.328,1434.516,1524.576,1661.448,1727.583,1729.535,2318.157,2827.625,3455.591,3817.443,4147.323,4283.683,4581.655,4570.561,4691.117,4749.674,5503.273,5426.732,5352.795,5349.447,5360.604,5344.619,5365.834,5366.481,5377.849,5112.667,5196.271
footway,,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.316,68.966,71.336,86.454,126.944,315.448,675.736,712.01,676.661,616.693,1059.972,1340.708,1405.777,1337.175,1373.053,1409.964,1417.609,1417.609,1424.889,1426.502,1425.586
path,,0.135,2.43,2.43,2.43,2.43,17.927,21.383,23.717,23.717,23.717,23.717,134.9,208.644,217.092,210.25,211.615,254.704,1105.63,2259.774,2813.468,4310.956,4816.601,6145.516,7903.144,9601.368,12280.87,13437.907,14268.795,16060.81,17469.878,18285.25,18389.253,18430.011,18430.658,18583.821,18634.676,18791.723
service,,1.119,1.119,1.119,1.119,5.999,17.732,17.432,17.432,21.81,24.035,24.035,29.959,30.428,30.268,30.268,30.674,35.275,57.052,95.695,117.467,138.632,170.445,174.358,193.814,244.265,263.9,265.754,297.121,322.192,356.54,357.874,388.729,385.676,385.769,387.452,383.871,384.161
track,,9.603,16.827,16.827,16.827,12.738,97.947,96.378,113.59,147.557,155.743,164.571,198.876,188.472,199.303,211.37,211.9,677.127,2197.644,4112.726,5578.268,7391.633,11177.619,14804.202,15456.8,15529.86,15535.447,15809.666,16097.893,15782.424,15645.792,15529.576,15703.025,15713.26,15720.746,15780.276,15761.313,15738.205
living_street,,,,,,,1.453,1.731,4.441,4.441,4.441,4.441,4.44,4.436,4.436,4.436,4.436,3.843,3.707,3.708,2.855,2.855,2.627,2.585,2.587,2.15,1.94,1.94,1.94,2.148,2.148,2.689,9.187,12.125,9.713,9.713,3.664,3.664
pedestrian,,,,,,,0.172,0.172,0.172,0.175,0.175,7.881,7.881,7.881,7.881,7.881,7.881,7.881,8.135,8.135,8.135,8.135,8.598,8.191,10.386,11.138,12.853,13.38,19.357,17.951,18.46,18.054,18.054,18.054,18.1,18.1,18.1,20.255
secondary_link,,,,,,,6.021,6.021,11.279,11.317,11.329,11.329,11.329,0.483,0.483,0.483,0.483,0.483,2.039,2.095,0.545,0.545,0.605,0.622,0.678,0.679,0.939,1.145,1.121,1.121,1.21,1.21,1.21,1.21,1.21,1.21,0.859,0.859
tertiary_link,,,,,,,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.497,0.497,0.497,0.497,0.497,3.245,1.273,0.84,0.84,9.945,7.821,9.059,8.943,6.907,0.592,0.503,0.503,6.814,6.814,6.814,6.814,6.814,6.814,6.784,1.259
bridleway,,,,,,,,,,,,,,,,,,,0.044,0.044,2.721,4.762,12.458,67.919,69.488,61.842,60.237,62.602,57.713,53.456,50.596,50.582,50.582,50.582,50.582,50.582,62.651,62.651
construction,,,,,,,,,,,,,,,,,,,1.935,1.935,4.169,4.169,4.191,5.145,5.341,2.904,3.338,7.122,7.122,7.122,5.064,5.064,5.064,5.064,5.064,5.064,4.442,4.442
yes,,,,,,,,,,,,,,,,,,,,0.037,2.314,2.356,0.593,0.042,0.042,3.966,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042
cycleway,,,,,,,,,,,,,,,,,,,,,0.867,4.063,3.594,3.594,3.593,3.593,3.593,2.902,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156
passing_place,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,,,,,,,,,,,
steps,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.038,0.038,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048
hut,,,,,,,,,,,,,,,,,,,,,,,0.244,,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
motorway,,,,,,,,,,,,,,,,,,,,,,,15.832,4.134,4.048,4.048,4.108,3.549,3.549,3.549,3.549,3.549,3.549,3.549,3.549,3.549,3.549,3.549
motorway_link,,,,,,,,,,,,,,,,,,,,,,,0.051,0.051,0.253,0.266,0.352,,,,,,,,,,,
residential;unclassified,,,,,,,,,,,,,,,,,,,,,,,5.275,,,,,,,,,,,,,,,
track;unclassified,,,,,,,,,,,,,,,,,,,,,,,1.993,,,,,,,,,,,,,,,
unclassified;residential,,,,,,,,,,,,,,,,,,,,,,,1.374,,,,,,,,,,,,,,,
rondavel,,,,,,,,,,,,,,,,,,,,,,,,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172
residential;track,,,,,,,,,,,,,,,,,,,,,,,,,,,2.707,2.707,2.265,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516
ruin,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042
services,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589,0.589,0.589,0.589,,,,,,,
trunk_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717
farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496,0.717,0.277,0.221,0.221,0.221,0.221,0.221,0.221,0.221
Foot path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.707,3.707,,,,,,,
crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.041,0.041,0.041,0.048,0.048,0.048,0.048,0.048
footpath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.832,1.832,,,,,,,
mini_roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051
track 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,,,,,,,,
turning_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,0.064,,,,,,,
unmclassifief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.894,,,,,,,,
unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.561,5.561,,,,,,,
gravel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,
hedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484
rest_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.18,0.18,0.18,0.18,0.18,0.18
bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,0.376,0.376,0.376,0.376,0.376
