,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,266.593,266.593,315.655,358.049,512.673,631.427,662.219,662.223,693.532,716.634,1379.768,673.244,678.482,679.599,679.599,684.784,1563.237,1949.183,1980.543,2150.322,2367.42,1798.273,1798.276,1798.27,1942.719,2183.726,2183.856,2185.068,2185.188,2186.702,2179.775,2188.872,2189.968,1876.761,1876.761,2120.749,1963.167,1976.1
road,200.487,200.487,199.756,199.756,220.054,301.735,362.501,371.941,361.496,485.865,678.513,770.615,936.341,936.341,936.341,1118.398,1353.633,1244.387,935.381,338.141,377.497,527.896,527.628,529.578,251.937,253.873,253.541,253.382,252.601,243.715,243.715,244.726,243.715,266.989,269.811,339.28,340.639,340.639
secondary,3.074,3.074,11.257,11.257,12.512,157.586,161.701,161.702,158.453,178.587,269.892,300.265,347.796,369.853,369.853,702.49,787.709,964.375,989.764,1658.891,1777.473,2041.388,1997.41,1995.264,1928.96,1792.188,1792.681,1777.143,1777.163,1779.039,1748.453,1750.294,1750.552,1132.149,1139.31,1293.308,1161.531,1165.746
residential,,,,1.073,3.295,25.716,88.831,92.119,104.041,126.876,122.251,122.785,146.866,152.524,152.524,168.317,243.023,367.63,386.896,1923.507,1960.225,1978.765,1981.661,1983.236,2016.787,2062.167,2062.298,2064.691,2108.244,2240.907,2265.842,2288.715,2291.069,2333.184,2337.153,2339.855,2360.681,2368.428
tertiary,,,,,2.1,52.355,273.0,273.0,291.09,303.369,357.699,185.543,194.298,194.298,194.298,237.785,679.864,991.588,1377.833,3460.327,3396.584,3387.993,3387.71,3389.088,3516.861,3341.293,3342.919,3345.514,3365.417,3415.482,3489.326,3496.006,3495.783,4467.027,4467.037,4186.031,4103.24,4098.675
service,,,,,,6.069,13.077,13.182,26.002,26.361,27.902,28.012,29.729,29.729,29.729,29.695,29.844,59.125,65.393,284.807,294.238,299.566,299.121,298.793,280.775,286.228,285.593,285.971,283.096,279.926,280.035,280.925,280.769,279.949,279.969,281.08,281.918,282.077
track,,,,,,3.89,14.471,16.823,17.772,18.041,21.813,20.766,26.295,26.295,43.211,48.974,42.026,357.65,663.63,4641.53,4828.243,5099.761,5096.994,5102.813,5488.925,5548.872,5380.682,5381.98,5359.287,5305.25,5310.746,5308.249,5313.647,5352.062,5352.001,5362.217,5721.879,5731.251
unclassified,,,,,,140.587,254.782,260.169,261.329,274.268,318.475,440.466,461.499,533.21,533.21,535.438,690.117,2835.743,3734.551,11101.632,11234.335,11301.852,11379.475,11386.849,11394.123,11556.526,12056.43,12056.639,12179.523,12321.038,12362.001,12360.45,12386.756,12477.016,12487.052,12471.655,13084.859,13088.11
ford,,,,,,,0.109,0.109,0.109,0.109,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,
living_street,,,,,,,,,,0.344,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.66,2.667,2.516,2.516,2.516,2.52,2.642,2.649,2.649,2.649,2.662,2.662,2.662,0.231,0.203,0.203,0.203,0.203,0.27,0.27
primary_link,,,,,,,,,,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.955,0.955,0.955,0.841,0.841,0.841,0.841,0.841
tertiary_link,,,,,,,,,,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,,12.568,7.95,7.95,7.95,7.95,8.107,5.261,5.261,5.261,5.261,5.261,5.261,5.261,5.261,5.153,5.153,5.153,5.153,34.33
