,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
cycleway,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,56.524,64.685,59.376,51.586,51.586,51.47,51.47,50.86,48.203,48.477,48.477,7.917,7.917,7.917,7.917,7.917,8.379,8.379,8.379,8.379,7.072
footway,20.921,71.517,111.806,231.238,243.009,283.193,412.717,411.926,441.796,441.796,467.241,454.427,462.406,529.006,530.707,540.424,561.185,610.768,611.67,607.055,602.657,604.155,608.435,622.224,697.25,774.666,775.603,785.805,614.471,618.193,643.546,650.556,667.902,689.661,700.907,730.251,743.662,707.803
path,14.604,55.87,397.762,433.91,433.961,434.046,550.439,550.988,557.495,557.387,678.51,807.392,1004.643,1368.735,1580.092,1626.209,1644.576,1662.623,1662.236,1705.629,1752.438,1832.827,1863.474,1895.812,3030.602,3094.828,3181.925,3240.198,3597.786,3863.023,3974.803,4142.066,4445.34,8838.034,14614.189,24645.389,38877.12,40270.058
pedestrian,2.807,3.015,3.015,3.015,3.015,3.015,4.08,4.292,5.476,5.476,5.973,7.177,7.068,7.068,7.663,7.63,7.69,11.121,10.597,10.597,10.597,10.597,10.597,11.122,12.663,15.333,15.882,16.075,11.231,11.424,11.557,13.075,13.156,13.279,14.487,14.799,15.101,16.931
primary,4282.24,4313.35,4413.882,4628.457,4628.524,4606.381,4584.675,4618.134,4625.336,4626.068,4746.157,4776.343,4793.346,4798.453,4797.426,4803.875,4803.901,4804.487,4806.78,4804.322,4806.466,4900.342,4810.293,5670.988,6172.05,6314.348,4668.663,4668.474,5608.964,5051.651,4978.202,5012.481,6035.864,5311.205,5314.466,5414.187,5322.412,5334.017
primary_link,0.619,0.619,0.909,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.543,0.63,0.63,0.63,0.63,1.125,1.564,1.8,1.8,1.791,2.153,2.107,2.105,2.645,2.047,1.927,2.127,2.017,2.401
residential,349.975,749.934,1049.966,1184.818,1265.738,1248.08,1427.106,1427.752,1488.663,1489.865,1651.621,1939.087,2281.494,2518.953,2618.529,2704.049,2773.563,2844.774,2966.264,3067.879,3125.666,3164.849,3231.426,3437.19,4099.159,4280.239,4399.854,4437.961,5084.642,5643.5,5751.038,5862.384,6005.939,6128.291,6410.191,6471.162,6545.845,7324.562
road,60.373,99.009,72.465,71.762,120.523,140.869,98.707,98.707,98.707,98.707,1161.043,3382.177,3173.567,3579.265,3977.509,4112.62,4142.679,4124.107,4219.659,4189.47,4149.688,4131.749,4211.079,4608.448,1524.438,1534.036,1682.538,1671.946,439.992,584.323,585.959,592.277,615.168,628.4,653.386,655.22,664.154,651.072
secondary,1964.666,2045.524,2092.595,2832.52,3412.949,3579.403,3577.956,3719.913,3723.16,3722.969,5314.52,4996.725,5061.422,5025.852,5059.917,5121.509,5121.705,5162.053,23894.811,23909.052,5449.725,5409.476,5516.928,5042.832,4583.6,4382.993,5645.291,5666.166,5661.205,5562.634,5654.313,5667.521,5082.342,5914.905,5904.839,5900.736,5934.386,5984.309
secondary_link,0.402,0.479,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.455,0.679,0.679,0.679,0.679,0.679,0.683,1.201,1.551,1.667,1.667,1.667,1.667,1.04,0.701,0.78,0.924,1.013,0.874,0.922,0.778,1.195,1.392,1.557,1.557,1.491,1.285
