,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,117.051,124.125,117.544,113.789,116.798,119.14,127.544,127.544,127.938,131.796,133.428,133.428,133.428,133.428,133.227,133.441,133.441,137.786,148.389,163.384,215.823,119.141,116.132,117.48,122.771,151.025,149.481,24.61,229.992,244.493,104.578,154.127,91.595,142.151,238.801,261.444,263.679,200.01
primary,248.02,248.02,281.786,309.65,288.323,296.305,296.305,296.305,296.305,296.305,296.305,347.39,347.39,367.317,367.317,367.317,365.671,414.147,414.612,449.272,449.273,449.549,426.4,426.323,485.859,396.222,404.787,1563.66,1569.391,1828.251,1830.732,1833.146,1841.67,1942.758,1954.408,1859.885,1931.828,1807.434
residential,671.713,671.714,674.396,739.825,806.353,813.482,821.479,823.718,824.994,854.009,854.218,924.617,925.744,974.04,989.652,1040.306,1103.695,1240.129,1389.313,2181.438,2273.768,2571.266,2708.319,2847.947,3226.627,3404.004,3622.464,4819.515,6366.311,7802.058,8595.442,8781.544,9179.112,9499.912,9555.858,10094.564,20145.357,51096.885
secondary,3519.28,3555.48,3644.617,3728.607,3961.852,4004.626,4004.856,4004.856,3989.442,3989.444,3989.445,4079.823,4080.114,4117.336,4119.85,4204.945,4228.067,4475.978,4482.999,4589.515,4600.954,4674.793,4666.959,4772.789,4881.679,5062.923,5171.781,5307.728,5366.49,5104.836,5249.759,5297.098,5328.737,5408.034,5465.922,5438.112,5557.344,5920.104
service,56.447,56.447,57.384,60.67,61.461,61.461,67.325,67.325,67.454,68.459,68.459,70.884,70.884,71.433,73.083,94.698,95.357,100.393,108.503,284.906,284.005,235.145,240.391,246.194,465.315,512.773,533.598,579.714,612.256,682.097,713.187,719.799,719.983,908.246,888.532,877.038,883.392,797.349
tertiary,2484.153,2484.591,2518.364,2614.325,2756.982,2757.077,2757.077,2757.029,2761.6,2819.71,2820.595,2929.371,2930.056,2855.639,2868.514,2972.212,3083.964,3248.985,3325.59,3829.132,3850.117,4382.805,4452.636,4575.906,5080.49,5707.784,5949.252,7228.18,7817.97,8328.599,8981.27,9134.191,9546.457,10810.665,11071.065,10920.027,11509.952,12378.178
track,1929.296,1929.296,1973.771,2268.628,2325.946,2328.911,2341.188,2342.862,2357.327,2386.634,2405.377,2402.118,2402.118,2402.118,2408.163,2472.337,2710.497,2711.822,2711.249,3083.0,3279.712,4065.681,4211.456,4435.1,6895.276,7403.542,7478.451,9565.22,11034.953,11921.585,12664.948,13178.643,13419.096,15222.197,15191.42,15941.939,17402.714,19537.873
trunk,5018.896,5048.9,5048.948,5059.688,5130.295,5130.319,5131.602,5131.602,5133.626,5157.145,5157.242,5148.674,5148.533,5149.169,5154.175,5183.537,5280.69,5309.82,5323.076,5522.547,5531.407,5563.276,5562.127,5584.379,5610.171,5685.922,5656.127,4770.574,4791.364,4498.969,4517.779,4521.821,4532.107,4628.136,4619.651,4762.347,4928.124,5123.372
unclassified,8196.947,8253.545,8286.975,8357.617,8659.452,8694.798,8718.617,8732.199,8728.202,8723.085,8796.706,8867.163,8888.747,8900.213,8927.121,9090.406,9463.103,9442.461,9493.745,11763.598,12869.118,14434.714,14718.675,15427.315,19033.921,24029.292,25639.306,31295.49,34396.206,38041.992,44536.288,45884.461,47664.758,49759.244,52108.685,53455.026,55431.624,56651.683
path,,,6.438,17.913,22.759,43.232,70.308,70.475,71.323,74.395,74.457,78.241,78.241,81.413,94.427,94.678,103.436,103.436,118.397,625.297,768.288,1939.685,2042.203,2123.671,2244.187,3829.534,5387.519,7517.756,9673.109,11118.694,11753.408,12009.944,12296.568,14569.867,16449.299,17024.161,18526.09,21608.75
