,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,0.239,0.236,0.189,0.189,8.718,8.718,10.847,10.847,10.847,20.089,22.182,22.182,24.468,69.774,69.401,84.764,116.617,117.425,117.772,118.804,901.446,875.029,874.997,842.276,845.241,898.098,846.01,847.177,601.964,217.956,217.113,219.097,222.701,255.905,307.539,307.304,308.205,364.761
motorway,228.315,228.315,228.315,228.315,228.315,228.315,228.315,239.826,239.826,239.826,239.826,239.826,239.826,239.826,240.128,240.128,241.074,241.074,241.074,241.074,241.293,241.293,241.293,263.066,263.066,246.051,241.679,241.679,241.679,241.679,242.747,242.747,243.168,248.098,247.842,247.842,247.842,247.842
path,29.585,29.585,29.585,32.867,32.867,32.867,256.439,256.439,256.439,258.229,275.66,282.178,523.979,2069.15,2235.179,2329.428,3084.778,3416.319,5206.206,9746.561,14635.363,15319.728,15362.625,15499.82,15260.347,15272.077,15250.989,15268.957,15769.607,16164.483,16324.012,16330.353,16368.041,16625.269,17191.16,17226.891,17225.524,17628.494
pedestrian,0.104,0.104,0.104,0.104,5.23,5.23,5.23,5.23,5.23,7.836,8.722,8.722,9.098,9.929,9.929,9.929,10.117,10.37,10.37,20.695,20.574,20.481,20.481,22.113,22.113,20.927,20.927,23.026,22.971,28.567,28.567,28.567,29.276,30.28,31.78,31.78,31.928,32.436
primary,2935.773,3039.887,3054.096,3393.683,3446.597,3514.117,3577.235,3653.636,3652.668,4337.16,4809.726,6320.675,6708.435,7985.796,8549.586,9695.742,9675.717,9919.425,9926.657,9709.417,10142.459,10169.186,9970.351,9960.947,10032.867,11105.314,11342.144,9943.914,11550.146,11365.333,11400.29,11477.628,11610.836,19889.373,19905.879,19988.59,19107.866,19094.623
residential,209.29,226.438,241.136,248.486,2580.81,2582.914,2590.563,2583.012,2584.326,2274.913,3094.234,3289.706,5070.308,6090.047,6283.153,6555.559,6609.313,6967.502,6997.761,7373.023,10570.424,11129.104,11717.262,12229.671,12406.741,12742.361,13562.38,13647.052,13823.458,13675.753,13943.974,14141.306,14223.717,14563.892,16998.225,17330.522,18726.876,20658.198
road,40411.55,41495.504,41613.746,43452.941,43443.498,43411.928,43377.132,43377.132,43377.132,43147.386,42718.919,42615.886,46899.832,50578.692,50717.389,54024.491,55458.534,56025.257,55600.773,53644.81,52069.362,51185.412,50963.454,50181.769,49515.902,49107.283,47070.469,46873.994,42070.849,34515.754,34505.751,34478.474,34268.311,32464.792,31026.93,30172.866,30140.049,30245.678
secondary,4949.832,4955.29,4977.347,5087.434,5537.715,5672.78,5958.321,5941.713,5940.855,7239.305,7603.269,6680.988,7814.076,9122.25,9220.822,10397.139,10589.781,10659.24,10655.554,10860.37,11726.038,11794.268,11778.147,11860.121,11873.215,11965.183,11939.106,12763.067,11393.113,11348.134,11317.392,11260.247,11922.474,11975.804,12134.177,12142.389,12039.298,12098.324
service,20.219,20.334,20.334,20.334,274.571,275.266,275.945,276.616,276.616,214.323,227.426,230.237,286.248,370.457,372.439,385.165,385.965,387.138,388.792,399.075,497.079,496.578,512.928,540.999,540.197,540.95,465.054,468.181,1320.07,1298.318,1298.748,1315.563,1323.382,1344.952,1362.603,1366.308,528.233,537.942
tertiary,3245.644,3404.775,3404.775,3533.187,3429.836,3355.326,3404.563,3420.696,3420.696,3234.3,3417.719,3247.245,5241.271,8805.953,9235.973,12569.395,13946.414,14465.054,14504.981,16542.002,17747.245,17793.97,17813.089,18045.383,19637.018,20097.582,17046.385,17896.438,17761.139,18312.731,18401.999,18370.025,19718.09,19804.143,20402.526,21507.357,22484.523,22693.917
