,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,2708.428,2708.428,2709.012,2709.012,2829.503,2956.042,2965.67,2900.202,3062.583,3367.806,3654.417,2154.414,4165.817,4347.153,5230.057,4653.452,4721.863,4945.55,4956.145,4940.628,5253.589,4730.347,5125.791,5265.134,5307.647,5561.713,5224.859,5076.393,7243.82,6595.598,6597.447,6597.444,6851.219,15038.446,15028.395,15116.94,15147.825,15513.811
primary_link,1.661,1.661,1.661,1.661,2.983,2.983,2.983,0.876,0.876,0.876,0.876,0.984,1.484,2.703,3.744,3.754,3.05,3.05,3.05,3.05,3.05,2.642,2.537,2.537,2.537,1.928,1.978,2.257,2.606,2.226,2.226,2.226,2.191,1.929,1.929,1.929,1.929,2.86
residential,2.463,2.463,2.463,2.463,853.166,856.353,880.715,883.947,917.225,939.534,941.157,1221.959,1370.757,1530.452,1893.268,3092.596,3425.414,3340.711,3345.881,3271.825,3163.929,3541.458,3527.648,3586.768,3571.521,3628.572,5253.282,5608.737,6391.361,6378.769,6380.736,6427.645,6568.589,6591.012,6607.527,17834.225,18671.765,20002.124
road,947.949,1248.363,1248.363,1248.363,1266.598,1266.598,1276.083,1276.083,1276.083,1251.573,1248.33,764.618,902.823,909.493,1030.644,1030.644,1095.71,1025.937,1013.655,894.737,848.66,829.137,829.137,845.853,836.41,835.612,695.621,661.922,615.925,609.364,609.364,609.643,561.417,561.417,561.417,561.417,561.417,561.417
secondary,961.689,961.689,961.689,1149.149,1185.547,1185.692,1272.732,1277.251,1296.309,1274.249,1284.651,1434.172,2105.03,2300.886,2347.699,3033.903,2961.798,3131.611,3130.886,3131.048,3654.625,3435.416,3088.004,3424.578,3296.329,3144.026,3099.85,2676.474,2979.364,2720.334,2720.305,2785.129,2881.051,2321.844,2407.824,2407.904,2435.518,2438.177
tertiary,154.286,154.286,154.286,154.286,282.269,283.222,283.77,279.201,279.631,308.996,309.524,815.605,1195.169,1505.239,1401.371,1400.723,1626.652,1834.33,1869.734,1942.694,1852.731,1854.06,2062.146,2448.114,2735.459,2549.243,2865.888,2926.148,2723.131,3172.316,3172.319,2864.064,2807.359,3323.214,3364.533,3365.532,3568.99,3586.763
track,432.32,432.32,432.32,432.32,472.835,472.835,472.835,577.128,1406.587,1424.892,1441.435,1599.077,2568.733,2613.159,2852.14,2820.269,4332.454,4353.425,4382.106,4539.757,4615.56,5667.302,6124.303,5969.356,5877.638,6164.204,6014.259,6438.969,9752.58,9710.962,9740.571,10680.776,10933.949,11278.126,10897.91,11409.314,13583.747,13333.758
unclassified,136.034,136.034,136.034,136.661,141.696,141.696,141.696,141.396,253.34,273.104,339.429,631.08,652.551,712.145,893.877,867.606,1060.19,1458.205,1544.442,2150.709,2221.054,2236.755,2447.256,3934.438,5472.204,5699.236,7927.148,8310.589,7766.404,7971.86,7974.617,7859.224,7880.219,8220.717,8902.999,9423.112,12821.811,18621.143
footway,,,,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,1.602,0.156,5.461,5.567,5.567,5.567,5.567,6.18,15.778,15.778,15.778,21.747,21.747,24.424,33.056,33.056,33.056,33.056,33.057,33.494,33.494,32.653,27.97,27.778
path,,,,,0.074,0.074,0.074,0.074,0.074,6.733,6.733,6.733,6.748,3.468,18.917,19.446,125.932,187.922,210.596,261.47,286.287,286.281,288.681,619.737,609.844,617.939,618.806,636.006,926.025,923.111,923.109,924.575,928.149,928.149,936.671,993.284,946.567,980.138
service,,,,,4.625,4.625,4.625,4.625,4.625,4.625,4.625,7.38,101.858,120.086,35.402,46.453,125.764,125.764,125.764,126.579,141.049,145.939,210.015,210.015,210.167,198.402,200.779,237.044,751.929,763.581,763.581,764.643,753.365,751.836,758.201,813.571,672.498,523.339
motorway,,,,,,,2.308,2.308,2.308,2.308,2.308,2.308,140.875,140.875,140.98,140.875,140.875,140.875,140.875,140.875,140.875,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432,141.432
trunk,,,,,,,,67.753,67.988,10.394,10.394,2915.292,3352.193,3163.132,3323.84,3171.545,2480.146,2480.146,2486.073,2631.94,2394.928,3172.851,2886.992,2733.665,2683.233,2629.367,2839.1,3179.327,1484.85,2078.968,2077.319,2077.327,2077.345,2076.881,2076.881,2076.881,2114.075,2101.426
tertiary_link,,,,,,,,,,1.389,1.389,1.389,1.389,2.418,,,0.376,0.376,0.376,0.376,0.376,0.376,0.433,0.433,0.433,0.474,0.411,0.522,0.628,0.425,0.425,0.425,0.5,0.226,0.226,0.226,0.33,0.289
living_street,,,,,,,,,,,,0.668,,0.105,0.105,0.105,13.948,13.948,13.948,13.948,13.948,13.948,13.844,13.844,13.844,13.844,13.844,13.844,13.844,13.844,13.844,13.844,20.493,13.844,13.844,13.844,13.844,13.844
construction,,,,,,,,,,,,,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,11.703,11.703,11.703,11.091,11.102,11.699,111.517,74.14,74.14,74.14,80.998,75.589,75.589,75.589,88.091,59.537
motorway_link,,,,,,,,,,,,,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082,6.082
pedestrian,,,,,,,,,,,,,0.458,0.458,10.61,0.458,0.458,0.458,0.458,0.458,3.628,3.628,3.964,3.964,3.964,3.964,4.036,4.105,1.816,1.816,1.816,1.816,1.816,1.816,1.816,1.816,1.816,1.816
trunk_link,,,,,,,,,,,,,0.117,0.232,0.232,0.326,0.306,0.306,0.306,0.306,0.306,1.412,1.412,1.412,1.412,1.459,1.459,3.577,2.349,4.001,4.001,4.438,4.439,4.753,4.753,4.753,4.727,4.362
bridleway,,,,,,,,,,,,,,,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298
secondary_link,,,,,,,,,,,,,,,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.828,0.402,0.853,0.853,0.911,0.911,2.035,1.06,1.06,1.306,0.781
