,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
Footpath,0.93,0.93,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construction,0.114,0.114,0.114,0.114,1.061,1.061,1.061,1.061,0.947,0.919,167.677,249.439,253.51,508.261,285.133,311.446,578.06,590.918,1135.192,1501.306,1342.4,1322.097,1198.359,1214.025,1279.523,1728.071,1643.538,1195.688,1196.912,1215.318,1134.61,1132.75,1123.617,1076.104,1522.325,1487.59,1497.453,1502.691
footpath,0.212,3.527,3.527,3.527,3.524,3.524,3.524,3.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footway,117.781,125.054,112.586,113.043,123.763,132.547,153.36,179.945,187.195,212.316,220.512,223.052,1066.545,1791.901,2540.785,3340.998,4133.374,5110.375,5088.901,4173.37,3169.793,3186.885,3198.472,3189.203,3000.265,2960.402,2992.61,3003.735,3108.069,3044.46,2999.288,3045.698,3131.914,3265.453,3410.07,3423.854,3259.071,3253.886
ford,0.054,0.054,0.054,,,,,,,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291,26.291
motorway,177.182,279.696,639.647,641.74,849.27,880.871,905.437,930.463,3107.895,3144.149,3211.41,3251.03,3252.344,3272.889,3619.381,3636.943,3699.032,3695.846,3705.611,4070.038,4084.643,4085.387,4257.148,4259.16,4259.267,4377.107,4480.922,4885.023,4877.403,4833.572,4834.149,4868.39,4873.009,4893.745,4949.602,4969.847,5020.205,4988.308
motorway_link,26.871,27.635,29.887,29.887,89.067,105.576,112.901,119.343,167.417,186.501,218.148,277.494,281.457,286.98,287.02,290.458,325.179,329.659,340.288,342.709,348.188,347.117,364.292,366.65,362.849,387.408,389.447,411.116,420.325,414.366,417.949,421.329,423.524,428.049,452.225,452.843,468.77,457.504
path,32.23,34.251,73.877,84.884,502.644,536.821,536.94,532.432,607.118,668.704,805.169,794.594,1273.242,2178.734,3098.034,3656.379,3990.87,4884.976,7343.815,12370.052,17142.543,17456.648,17545.164,17699.955,18506.24,20595.52,36824.188,37067.732,37171.53,37491.808,38308.772,38826.189,38946.292,39349.805,39563.246,40315.06,45824.09,47452.135
pedestrian,41.261,42.997,40.293,40.669,46.948,50.85,56.015,85.418,90.279,98.52,107.347,137.28,159.276,176.401,181.984,186.925,215.912,232.031,251.366,268.389,284.16,288.539,315.865,315.822,348.199,362.24,366.209,372.534,387.584,400.29,403.009,413.59,418.437,446.995,531.003,543.718,549.952,554.169
primary,3853.678,4098.681,4229.225,4228.998,5765.237,6182.422,6393.199,6267.759,10481.041,10906.474,12248.925,10636.181,11319.604,10989.933,11005.49,10291.852,10652.579,10489.504,10612.773,11425.124,11681.687,11342.57,11345.658,14474.655,14524.743,14849.293,14958.789,14970.247,14938.497,15058.351,15078.226,15153.819,15198.377,15360.078,15465.856,18604.738,19024.433,19061.549
primary_link,7.991,7.992,7.992,7.992,13.843,18.847,41.594,45.055,102.561,44.011,43.989,30.573,31.627,29.916,31.596,29.229,28.528,22.244,23.013,27.173,25.762,25.786,24.466,25.321,24.25,19.183,19.444,19.787,20.161,20.199,20.209,20.378,24.194,29.655,40.251,39.918,39.13,39.169
railway,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607,4.607
residential,1630.719,1661.601,1766.254,2262.465,3180.496,3786.169,4259.528,4831.569,6594.655,7179.465,8770.591,10914.161,11714.513,13404.35,13813.515,14518.905,16179.173,16762.059,18199.388,19543.177,20396.541,20727.755,21641.675,21895.351,22333.222,23177.955,24025.061,24399.603,25421.582,25729.205,26171.883,26429.953,26896.315,28430.255,30811.501,31228.056,31557.777,32011.958
road,1509.834,1464.968,1909.558,1935.566,2452.292,3735.636,4274.148,10993.813,8047.371,953.689,1011.906,1179.054,1168.599,1167.731,1173.186,1259.126,1593.479,1562.3,1530.843,1525.26,1515.311,1502.426,1502.407,1482.009,1454.379,947.905,950.218,955.351,955.351,963.113,963.113,963.113,971.674,966.585,1007.683,1003.347,1013.583,1027.049
secondary,4181.952,4382.615,4371.101,4484.155,5235.661,6785.348,6839.716,8319.953,11756.032,12717.447,13862.284,15717.112,15816.66,16863.207,16944.593,16965.097,16888.162,15499.025,14724.629,14831.759,14625.405,14954.262,14908.366,14915.542,15180.951,15846.586,15775.103,15791.025,15906.88,15929.107,15954.22,15992.315,16007.623,16020.792,16113.261,14165.978,13988.115,14105.047
service,63.973,81.761,88.698,111.52,180.789,229.794,244.152,404.272,496.25,542.733,722.693,925.54,1127.218,1245.493,1447.456,1611.399,1863.69,2005.061,2103.161,2799.218,3144.19,3182.104,3272.821,3604.839,3765.978,3884.724,4135.133,4177.832,4272.526,4832.985,4856.689,4934.898,4952.66,5004.308,5294.385,5329.933,5392.299,5600.273
steps,4.367,3.902,3.902,3.963,4.157,4.32,4.32,4.327,4.848,5.066,5.305,5.316,5.397,5.649,6.456,6.513,7.106,7.416,7.645,9.507,12.125,12.96,13.376,16.554,17.304,17.584,4034.22,4035.632,4036.078,4037.14,4037.243,4037.313,4038.031,4046.683,4052.457,4053.293,4053.402,4053.477
tertiary,3584.83,4880.909,5006.786,5478.921,7337.034,8454.775,8620.871,9992.288,14890.294,17081.688,18432.544,21089.47,24010.141,25252.947,25291.333,25554.898,27536.151,29487.877,31024.677,31935.585,32733.728,32910.511,33096.833,33185.157,33555.112,37527.863,38819.169,44775.585,44833.717,45233.927,45406.66,45962.048,46178.244,46433.849,46841.855,46251.777,46494.744,46491.238
track,861.827,1153.458,1154.221,1321.146,2514.85,3324.565,3718.634,5879.343,12191.241,15789.394,21521.498,24651.206,26886.517,29672.375,32423.499,35791.816,39269.763,42425.277,46943.232,50620.286,56907.521,58380.966,59385.046,61174.435,63051.335,65482.566,66688.233,68116.757,69934.359,72999.607,73519.24,76279.441,83337.645,84587.79,87924.711,89454.604,97064.152,98580.978
trunk,55.228,55.228,81.255,81.706,387.568,440.059,548.672,550.525,1324.29,1648.718,1995.95,4561.247,4191.072,4944.318,4980.617,5907.559,5728.991,5914.999,5995.84,5717.189,5758.227,6148.142,6144.483,3237.131,3079.029,3208.55,3173.73,3308.449,3257.645,3222.976,3301.841,3410.16,3493.465,3412.491,3507.61,3504.116,3478.85,3536.097
