,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,4855.072,5066.843,6382.351,5189.44,5119.772,5297.483,5297.483,5301.236,5301.379,5359.708,5676.096,5841.785,6022.97,6688.48,6411.281,6460.879,6561.311,8350.762,8312.609,8349.811,8350.218,8637.491,8728.595,8644.202,8732.623,8570.256,8628.126,8604.401,8726.975,8190.223,8262.496,8207.458,8453.73,8455.132,8669.86,8760.324,8688.272,8792.705
residential,410.797,426.505,1015.048,1036.563,1049.816,1189.432,1189.468,1480.468,1483.261,1661.732,1755.744,2053.061,2387.195,2515.806,2645.391,2993.777,3511.458,3681.759,3717.503,3915.635,3973.868,4686.692,4979.239,5802.505,7262.015,9040.136,9636.902,10088.366,10552.182,11773.829,14415.047,14515.986,14622.402,15138.454,31293.795,31336.226,32180.856,34692.836
road,107.062,148.781,179.702,160.786,153.668,153.787,153.787,225.445,225.445,350.115,440.474,645.802,595.924,548.249,567.176,823.24,3238.1,3853.282,4077.988,4064.878,4007.725,3649.928,3236.983,3204.769,3179.236,3552.524,3480.919,3528.056,1955.002,1789.111,1481.281,1434.652,1431.567,834.125,851.184,771.604,604.949,942.982
secondary,3639.982,3639.982,4249.113,4606.521,4664.554,5156.431,5157.283,5242.803,5407.015,5929.307,6293.872,6339.103,6393.509,8228.479,8437.686,8981.606,9046.586,9485.068,9535.992,9579.332,9621.44,9661.578,9708.191,9962.79,10414.577,11401.648,11561.048,11642.566,11466.267,10981.008,11167.443,11296.961,11151.198,11201.658,11120.956,12417.521,12394.843,12549.242
service,1.121,45.725,49.59,7.14,7.21,7.992,9.36,9.36,9.36,16.12,31.32,45.965,47.993,60.797,74.548,87.777,179.318,195.832,197.948,205.726,218.616,346.731,351.298,371.434,432.994,521.001,617.577,693.492,703.704,762.178,790.187,807.594,848.567,867.428,1005.336,1009.854,1011.901,1372.261
tertiary,543.209,544.647,766.63,1204.56,1205.545,1377.809,1378.858,1384.044,1384.044,1547.507,1726.07,1871.568,2035.158,3865.791,7943.787,8453.757,9423.95,11143.8,11502.845,11748.509,11786.227,12219.718,14059.073,14750.953,16920.294,19618.496,20057.372,20584.901,24263.153,21979.53,22586.334,22775.92,22853.39,23195.192,23825.07,22987.853,23354.474,23808.747
track,5.98,5.98,7.087,311.294,384.546,386.862,387.078,394.165,396.682,465.88,626.454,619.63,1101.014,1289.297,1686.218,2140.141,2568.985,2669.52,2822.117,2888.166,2973.58,3382.069,3920.765,4256.692,5455.095,7904.786,9981.719,10290.259,10360.321,11026.174,11160.106,11671.384,11768.303,11880.731,11882.483,11989.209,12696.857,21954.458
trunk,1699.443,1709.952,1729.15,3263.17,3345.569,3345.892,3345.892,3345.91,3345.91,3347.106,3866.382,3866.654,3868.075,3867.429,3835.486,3835.767,3805.199,3808.986,3809.939,3825.118,3825.119,3825.753,3827.61,3924.5,3904.778,4247.312,4243.959,4250.682,4344.878,4658.534,4660.493,4748.676,4648.902,4648.974,4708.251,4714.724,5064.004,5045.246
unclassified,731.934,732.499,1026.72,1099.464,1101.281,972.945,1102.117,1111.408,1111.408,1264.437,1378.434,1647.837,1975.323,2983.516,4016.091,4330.114,4760.769,11658.892,11858.636,12391.291,12535.606,13779.663,20372.228,25228.936,40709.987,54430.832,67502.722,68652.168,80307.215,84829.257,85009.72,85222.547,85413.325,87013.923,90897.548,91065.782,91186.003,102085.207
living_street,,,0.902,0.902,0.902,0.902,1.325,1.325,1.325,1.325,1.585,1.585,17.151,17.151,18.588,19.158,302.52,302.235,302.354,299.519,299.519,251.191,248.331,248.317,246.099,251.346,252.262,252.262,252.298,251.873,250.398,253.857,235.34,206.796,210.538,204.14,206.442,222.912
