,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,216.262,226.987,229.618,232.241,236.654,224.515,233.239,237.666,245.01,245.863,253.314,249.896,247.285,246.999,267.591,273.556,276.299,274.863,277.095,286.622,289.575,372.465,386.33,393.779,398.241,388.382,397.957,416.78,417.724,422.846,388.609,347.009,329.543,311.152,319.72,328.521,339.03,324.503
living_street,0.647,0.647,0.647,0.647,1.507,1.846,3.271,3.599,3.607,3.607,4.384,11.083,11.37,12.166,15.344,15.179,15.179,15.207,15.249,17.527,17.527,17.883,18.08,19.9,20.966,20.966,24.339,25.606,24.79,24.409,24.409,24.409,38.412,3.931,3.931,3.931,3.931,3.931
motorway,49.551,49.672,49.671,56.614,54.841,54.841,54.842,54.842,54.843,54.843,57.081,60.314,60.314,60.314,60.314,59.665,59.215,59.215,59.215,59.215,59.516,59.516,59.516,59.517,63.03,62.92,63.275,63.275,62.957,63.924,63.924,63.086,63.086,102.719,102.719,107.792,111.424,106.284
motorway_link,4.195,9.589,9.589,9.791,7.937,7.894,6.919,6.919,6.93,6.93,7.953,11.482,11.482,11.482,11.482,11.482,11.493,11.493,11.493,11.493,13.16,13.16,13.16,13.406,14.596,14.747,14.934,14.934,15.373,15.494,15.494,15.494,15.494,17.826,17.826,17.826,16.616,16.642
path,22.782,22.782,26.171,26.703,27.598,44.911,47.343,51.368,57.838,82.106,82.833,139.051,158.909,155.91,182.061,207.562,220.588,242.265,252.364,310.81,436.762,524.228,626.64,636.657,715.036,759.934,805.413,847.725,1042.509,1045.554,1134.424,1289.511,1373.954,1601.774,1561.318,1591.583,1705.342,1741.354
pedestrian,0.528,0.528,0.528,0.528,0.911,0.809,1.841,1.841,1.841,1.841,1.841,1.841,2.008,1.933,1.933,1.932,1.932,1.932,1.932,1.932,1.932,2.01,2.952,6.519,6.519,6.588,7.078,7.078,7.078,7.344,7.344,7.344,7.344,7.445,7.592,7.956,7.956,8.017
primary,7386.12,7876.016,8297.606,8508.136,9172.81,9405.747,11432.53,12117.351,12124.401,12124.606,13118.866,12978.657,13088.054,15084.777,15809.268,15898.824,16293.812,16294.609,16145.236,16301.511,16772.322,15482.533,15822.357,15618.647,16232.298,16122.491,16711.443,16714.384,16571.78,16582.601,16412.503,16653.163,16798.453,19586.636,19585.236,19585.999,20073.776,20364.033
primary_link,2.036,2.036,0.595,0.613,2.797,4.417,6.671,6.671,6.745,6.745,6.762,4.856,82.562,5.391,5.448,5.689,5.834,5.834,5.834,5.832,8.707,8.707,10.259,11.995,12.569,12.794,10.914,10.988,12.66,15.151,15.151,15.151,15.151,15.248,15.621,15.621,18.045,19.527
residential,453.393,528.848,629.652,873.655,1769.299,2042.156,2285.775,2316.797,2340.662,2359.964,2474.861,2581.996,2749.747,2687.3,2869.782,2960.123,3021.072,3062.059,3074.1,3204.309,3347.335,3422.634,3565.783,3679.213,3802.927,3843.039,3951.078,4039.673,3972.736,4520.201,4522.929,4530.634,4698.242,4771.776,4885.175,4898.915,6414.379,8730.732
residential;service,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
