,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
ford,0.322,0.322,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,3.298,3.298,3.298,3.298,3.298,5.672,81.838,156.053,351.456,522.716,489.046,537.549,545.624,3775.527,3776.831,3952.203,4345.491,4385.416,4442.764,4376.328,4664.452,4692.051,4804.479,5118.146,5179.337,5288.696,5632.863
primary,3025.598,3033.259,3033.259,3600.896,3605.185,3619.313,4493.872,4493.872,4510.725,4634.96,4654.058,3481.866,5222.687,5638.372,5869.451,6099.966,6182.442,6233.971,6128.409,6165.745,6319.205,6667.147,6618.252,6681.897,6816.215,6851.817,6654.43,6449.974,6449.961,6452.107,6454.455,6457.338,6740.929,6796.271,6797.989,6818.283,5974.337,6131.473
residential,801.356,827.757,827.757,827.759,942.883,945.863,992.744,992.744,1009.897,1343.451,1396.842,1489.513,2100.28,2341.508,3313.706,3862.055,4608.48,4716.52,4850.852,4958.192,5135.614,4817.446,5031.36,5185.797,5284.822,5313.215,5557.416,6166.317,6186.522,6211.042,6474.547,6626.642,7063.407,7283.413,7503.912,8226.611,8598.662,9732.527
road,148.704,4284.79,4284.79,5558.346,5558.346,5557.308,5557.308,5557.308,5582.072,5507.633,5513.439,5423.299,4787.301,4615.329,4651.436,4660.105,4632.733,4550.846,4551.236,4507.52,4449.709,4404.023,4404.023,4305.828,4305.828,4312.016,4302.625,4061.788,4093.085,4093.085,4101.76,4121.284,4070.291,4062.576,4062.576,4070.234,4272.853,4300.564
s,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356
secondary,10918.119,9374.651,9374.651,9227.367,9227.367,9241.376,10029.884,10029.895,10098.126,9964.599,9973.077,9041.418,11035.562,10725.774,10871.578,11198.797,11415.307,11517.68,11503.85,11275.862,11391.539,11991.969,12155.905,12352.116,12076.912,11984.721,11160.836,11485.199,11484.711,11484.713,11536.163,11628.901,11471.53,11396.993,11468.658,11460.307,11398.536,11576.445
service,4.553,4.553,4.553,4.848,4.848,4.848,4.848,4.848,24.053,33.79,33.877,35.775,50.913,94.888,96.062,96.208,98.107,143.057,144.643,205.086,233.184,248.549,240.9,248.035,269.311,266.361,267.42,273.31,275.169,275.169,280.096,300.397,328.459,420.217,475.585,491.82,597.559,582.953
taxiway,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
tertiary,9177.698,7183.764,7183.764,7349.202,7350.217,7350.217,7319.507,7319.507,7342.203,7033.543,7051.621,7076.926,8215.752,8341.252,8411.038,8685.821,8750.376,9031.852,9084.595,9709.223,9831.266,10282.772,10338.426,10671.573,10575.085,10666.379,10143.634,10131.941,10151.984,10165.755,10224.664,10239.735,10314.67,10471.722,10568.979,10890.158,11808.19,11604.212
track,39510.553,39098.224,39098.224,39098.711,39099.641,39086.325,38300.381,38300.381,38311.005,38667.845,38770.09,38595.744,39569.514,40426.293,43164.162,43604.713,44750.903,44816.27,44941.026,50417.318,55084.398,56976.855,57217.713,57988.469,69191.364,70285.631,72972.749,72570.581,73175.128,73863.416,74838.642,75277.515,74847.357,66973.507,67712.35,67958.525,75139.589,79900.385
trunk,1439.611,1439.611,1439.611,1446.98,1446.98,1446.98,1446.98,1446.98,1453.271,1364.728,1692.924,4500.06,1647.582,1389.199,1386.445,1378.244,1347.456,1437.611,1437.611,1437.666,1438.076,1445.491,1466.887,1468.616,1471.992,1471.992,888.148,873.31,873.31,873.31,873.31,873.31,873.569,873.569,873.544,868.079,1812.105,1916.304
unclassified,25.739,74.414,74.414,96.674,96.674,104.006,103.734,103.734,95.723,285.258,305.271,558.144,572.235,593.824,629.239,672.49,826.984,1190.342,1212.58,1933.144,2557.212,3171.439,3405.357,3836.11,6011.522,6997.844,9595.912,11063.49,12029.73,12574.875,13618.424,14715.823,17163.757,30164.591,31214.977,31772.416,32211.764,32662.72
