,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
Ladipo Bateye Street,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179
Primary,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894,2.894
Secondary,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405
construction,7.104,7.104,7.104,7.104,7.104,7.104,7.104,7.104,7.104,9.405,54.732,76.548,296.958,450.159,450.165,490.498,505.126,495.542,522.313,528.625,528.715,504.325,578.39,549.243,519.525,564.934,567.113,567.113,568.196,592.247,614.646,602.604,581.061,576.369,582.171,585.352,589.319,589.716
footway,7.931,16.108,16.108,16.108,56.554,59.211,63.212,63.654,63.654,63.658,66.061,203.551,204.488,208.404,210.807,211.53,211.877,211.902,213.402,265.165,268.415,266.143,264.929,266.613,278.302,333.232,356.85,96.313,55.729,62.129,60.133,69.062,82.941,114.913,146.448,308.697,330.759,368.353
incline,1.007,1.007,1.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minor,21.392,21.392,21.392,21.392,21.396,21.396,21.396,17.543,17.329,17.329,17.329,17.329,17.329,16.235,16.655,16.655,16.655,16.655,16.655,16.655,16.655,16.227,16.227,12.516,8.048,8.048,8.048,8.048,8.048,8.048,8.048,8.048,8.048,8.048,8.048,8.048,8.048,8.048
motorway,1858.378,1858.425,1858.425,1891.866,1855.552,1852.652,1852.65,1991.824,1740.994,1740.994,1632.93,1804.905,1817.165,1842.768,1707.354,1358.935,1361.754,15913.594,15948.161,15948.172,15922.12,15922.792,15922.89,16062.941,16205.108,16207.451,16183.054,16178.985,16188.145,16205.238,16199.323,16204.503,16238.939,16296.329,16118.075,16121.272,16120.264,16121.115
motorway_link,11.045,11.045,11.045,12.052,26.958,27.606,26.551,70.772,70.772,70.319,97.796,82.163,82.163,89.478,95.075,86.655,86.284,88.194,96.15,96.15,96.306,96.524,96.596,96.598,119.13,129.641,132.948,132.954,131.187,130.133,131.778,134.034,133.17,140.79,122.872,125.556,126.103,126.287
path,12.838,12.838,12.838,12.838,12.838,12.099,12.099,12.099,12.099,12.099,12.099,12.099,12.565,16.142,15.933,177.34,177.533,304.708,1106.197,1131.642,1315.351,1327.299,1359.966,1350.139,1593.435,1881.997,2453.707,4303.489,5306.021,6281.067,7894.788,10089.66,10156.336,10178.532,10375.216,11881.364,12528.999,13207.474
pedestrian,1.259,1.259,1.259,1.259,1.259,1.259,1.259,1.259,1.259,1.21,1.273,2.183,2.763,5.585,5.585,5.585,5.585,5.841,7.132,7.132,7.471,7.655,7.592,8.54,8.97,8.97,17.959,47.551,38.443,63.425,58.573,58.933,61.018,57.695,57.695,60.738,66.563,71.686
primary,8280.977,9186.535,9186.661,11065.59,11488.323,11991.279,12003.12,12258.803,12262.429,11778.017,13718.006,16029.042,45161.899,33750.353,33879.557,33985.812,35094.142,36298.035,39355.527,39562.424,40416.874,42850.383,43847.326,45277.209,46943.855,47673.138,47848.098,47923.665,48232.452,48451.624,49013.409,49334.362,49974.807,50879.688,50719.6,51022.405,50977.646,50767.934
primary_link,18.472,18.472,18.366,20.9,21.075,26.687,27.353,115.523,120.176,115.518,226.382,286.633,302.264,324.748,326.334,384.14,406.702,399.939,385.555,384.553,383.874,385.579,389.511,399.496,346.985,346.625,348.267,348.823,347.063,338.595,346.756,323.656,322.292,221.608,200.921,211.576,213.627,218.373
residential,2573.451,2679.306,2679.574,2686.99,4508.119,4427.903,4965.475,5383.673,5999.247,6062.481,6954.116,7523.234,7931.968,8588.396,10262.893,11200.741,12087.761,14605.131,19946.282,21129.87,22423.884,23164.089,24084.186,30067.235,37304.159,40134.682,41105.372,44479.242,47379.443,50763.963,53001.09,58315.546,96077.959,149171.145,167846.173,178311.947,179584.664,180194.706
road,1470.598,1480.702,1480.702,1567.0,2347.144,2347.652,2355.454,2353.876,2372.844,2368.404,2335.317,2201.458,3519.101,4436.307,5381.397,5342.947,5357.303,5433.034,6728.184,6865.984,6902.836,6112.855,5825.609,4585.572,4362.904,4262.802,5170.284,3638.83,3147.496,2967.537,3353.132,3537.085,3439.354,3205.84,3292.615,4025.052,3029.363,3026.201
secondary,4055.966,4145.701,4149.76,4474.567,5848.352,5812.524,5841.621,5884.838,5980.223,6075.123,6339.749,7653.542,9164.323,10395.861,11739.306,12076.936,12712.605,14872.186,15505.718,15733.626,17042.563,19720.284,21643.692,25664.241,30730.193,31839.971,32550.096,32375.595,32502.732,32469.596,32356.052,32631.81,34341.054,35076.116,34934.395,34631.051,34742.833,34833.032
service,220.204,221.244,221.244,223.478,270.272,564.255,610.982,635.999,636.538,635.946,643.514,609.282,619.994,706.125,725.699,733.136,761.144,759.01,872.073,936.41,1104.816,1816.998,1814.61,2162.085,2506.089,2585.034,2613.198,2630.634,2665.563,2774.134,2833.393,2987.724,3381.924,4655.253,5158.272,5251.375,5314.462,5403.29
tertiary,1319.968,1312.014,1312.014,1329.062,1796.069,1860.535,1861.056,1946.059,2004.257,2017.685,2338.71,2716.427,3733.884,5159.635,5479.377,5796.422,6700.621,12520.968,16351.862,17981.949,20067.429,25090.194,29443.123,41631.012,54967.025,59895.741,60970.287,62859.825,63589.836,65032.953,64913.973,65845.763,68724.701,69559.67,73676.533,74524.477,71935.966,72090.189
track,778.964,778.964,778.964,778.964,811.502,811.502,811.502,813.005,813.005,825.104,835.231,1051.825,1551.199,1644.656,2557.196,2621.1,2683.366,4234.402,7456.144,8920.609,10312.101,10772.025,12304.394,13904.657,16747.769,18949.193,19936.703,21452.38,24537.423,29912.978,35228.037,36855.696,32300.411,32163.868,32647.073,37035.654,41141.906,44095.419
trunk,4970.805,4970.805,4975.754,4800.939,5197.218,5224.126,5227.843,5374.721,6019.714,7354.455,11117.128,11418.111,11153.501,15522.234,16364.988,19808.079,20872.956,21852.515,22663.955,22740.602,23262.677,23380.958,23619.097,23939.735,24996.743,24782.56,24742.4,24749.9,24878.614,24950.719,25091.06,26369.261,26776.042,27233.224,27631.477,27513.645,27650.643,27846.131
trunk_link,7.077,7.077,7.077,8.491,11.326,11.326,11.292,15.549,15.717,15.717,40.449,48.999,64.039,53.311,54.04,81.619,82.651,83.014,90.221,94.443,90.222,90.686,98.495,104.782,119.058,107.949,108.802,108.823,109.575,132.526,137.479,149.096,201.003,232.02,287.911,282.255,278.571,294.735
unclassified,1296.021,1305.688,1425.064,1580.228,2212.988,2283.037,2318.309,2329.707,2441.266,2583.545,2975.536,4035.35,4967.765,6184.488,7109.351,7510.12,9166.393,12847.89,25971.936,33971.07,38778.099,52627.269,63236.712,94196.097,131336.632,155438.598,165960.726,180556.192,192841.43,223670.722,260513.439,285640.321,334679.763,351746.834,358487.296,366444.459,371833.283,372288.688
unsurfaced,42.704,42.704,42.704,42.704,42.702,42.702,37.582,32.946,32.946,32.946,25.594,25.594,4.272,4.272,4.272,4.272,4.272,4.272,4.272,4.272,4.272,4.272,4.272,4.272,4.272,4.272,4.272,2.441,2.441,2.441,2.441,2.441,2.441,2.246,2.246,2.246,2.246,2.246
foot,,,,,0.288,0.288,0.288,0.288,0.288,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary_link,,,,,0.51,0.6,1.068,5.158,6.19,5.721,11.71,18.182,24.954,53.292,70.219,82.819,87.471,115.416,110.801,106.143,147.48,146.558,145.524,147.35,154.158,152.269,153.842,152.993,141.659,136.754,138.372,142.787,134.947,114.958,115.005,116.715,118.288,145.367
raceway,,,,,,,,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233,2.233
tertiary_link,,,,,,,,0.936,1.31,1.31,3.832,26.223,87.048,90.693,105.496,111.411,116.413,193.817,122.609,118.692,118.322,100.133,100.04,104.941,96.244,88.995,95.265,122.258,130.443,134.974,138.378,147.971,136.192,129.053,109.27,86.232,81.852,98.061
steps,,,,,,,,,,0.103,0.103,0.103,0.103,0.189,0.189,0.228,0.228,0.49,0.617,0.617,0.617,0.617,0.682,0.682,0.691,0.835,1.458,1.546,1.6,1.6,1.644,2.157,2.651,3.053,3.219,3.219,3.383,4.137
living_street,,,,,,,,,,,6.747,17.383,21.12,25.335,25.335,1463.482,1568.836,1705.893,1719.925,1719.925,1720.102,1721.688,1723.538,1716.973,1716.621,1739.03,1738.647,1740.092,1740.092,1844.732,1843.231,963.76,909.19,909.108,910.764,917.393,922.805,925.735
Evbiemwen Street,,,,,,,,,,,,,,,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047,1.047
ZBA Way,,,,,,,,,,,,,,,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043
motorway;residential,,,,,,,,,,,,,,,0.935,0.935,0.935,,,,,,,,,,,,,,,,,,,,,
bridleway,,,,,,,,,,,,,,,,1.787,1.787,1.787,1.787,1.787,1.787,1.787,1.787,1.787,1.876,1.876,11.807,12.073,11.702,10.389,28.17,28.17,28.612,28.612,35.583,35.583,35.993,35.993
roundabout,,,,,,,,,,,,,,,,7.664,4.171,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956
living_street;residential,,,,,,,,,,,,,,,,,10.336,7.726,3.772,3.772,3.772,3.772,3.772,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692,1.692
living_street;road,,,,,,,,,,,,,,,,,2.543,1.296,,,,,,,,,,,,,,,,,,,,
residential;living_street,,,,,,,,,,,,,,,,,25.198,20.262,11.646,11.646,11.646,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851,7.851
residential;unclassified,,,,,,,,,,,,,,,,,0.346,0.206,0.206,0.206,0.206,,,,,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488
Tertiary,,,,,,,,,,,,,,,,,,3.297,,,,,,,,,,,,,,,,,,,,
cycleway,,,,,,,,,,,,,,,,,,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.572,0.572,1.027,1.027,1.027,1.027,1.027,1.027,1.027,1.027,1.027,1.027
