,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,292.693,294.619,294.619,725.739,830.783,833.288,833.288,833.308,840.849,857.571,1086.962,1141.783,2032.649,2074.994,2074.994,2520.523,2567.956,2596.759,2698.823,2790.21,3615.741,4140.046,4142.114,4135.212,4357.871,4473.784,3501.158,3111.343,2450.867,2274.78,2276.264,2371.438,2429.719,2560.497,2473.993,2781.453,3224.002,3217.111
residential,237.749,311.848,311.848,322.379,331.16,331.16,331.431,772.496,774.59,774.47,837.197,877.184,878.619,899.124,1012.204,1225.594,1246.287,1396.871,1622.068,1780.983,2383.094,3725.718,4489.121,6143.217,7094.358,7227.952,9781.066,9827.247,9953.531,10039.772,10182.35,10507.953,10594.167,13591.87,14122.083,15500.419,15497.987,15622.861
road,264.571,325.102,325.102,325.102,514.559,514.559,514.559,519.715,519.715,519.715,538.881,519.715,519.715,522.782,522.782,553.426,571.705,584.099,722.5,770.079,740.458,637.419,632.141,583.079,604.479,604.686,596.894,461.644,441.918,447.366,386.302,465.079,451.019,451.039,452.477,452.477,378.631,372.101
secondary,324.431,324.431,324.431,667.46,671.61,671.61,671.61,673.949,671.69,678.963,693.552,650.431,581.447,590.829,635.931,944.968,945.758,946.366,1022.326,1175.999,2268.994,2417.324,2417.668,2436.866,2417.903,2346.292,3000.657,3071.237,2915.002,2817.743,2819.273,2724.512,2757.709,2761.641,2989.524,3940.722,3659.001,3696.795
service,1.076,1.076,1.076,1.076,1.076,1.076,1.076,1.076,1.076,1.255,1.255,1.41,1.581,1.581,2.131,15.535,15.535,15.481,32.102,33.79,44.305,38.244,38.726,40.568,51.442,51.878,67.288,74.225,98.472,99.526,107.872,108.722,116.846,125.339,149.562,244.006,245.894,240.586
tertiary,106.185,102.879,102.879,315.061,331.897,331.897,331.897,332.237,332.215,333.494,335.989,370.496,788.576,788.347,788.347,720.772,745.539,989.806,1192.438,1531.574,6023.548,7370.781,7279.271,7432.617,7561.951,7533.965,6429.904,7061.051,7155.062,7125.735,7295.415,7943.107,8023.051,7944.048,8671.655,8205.717,7678.887,7736.512
track,13.044,13.044,13.044,183.233,183.233,183.233,188.206,188.206,188.206,186.269,212.736,233.022,261.739,269.277,269.277,293.138,365.61,428.581,523.376,452.962,736.642,13504.596,14432.965,16276.432,16984.921,17860.322,20660.541,21557.722,22158.503,22941.492,25467.017,27083.507,27756.805,28046.284,26781.313,26904.871,26871.53,26829.379
trunk,50.584,50.584,50.584,50.584,50.584,50.584,50.584,50.589,50.532,49.745,49.745,49.745,49.745,49.745,49.745,49.747,49.747,51.46,60.292,60.292,38.753,259.303,259.303,260.656,38.179,38.179,34.341,50.543,684.812,685.724,685.724,685.849,686.039,686.039,703.425,744.92,744.969,756.349
unclassified,15.531,15.531,15.531,20.375,23.177,23.177,23.177,23.177,23.657,25.453,25.453,25.453,126.305,91.459,46.357,299.229,300.057,343.94,405.722,1094.368,1426.243,1336.075,1519.363,1531.815,1610.26,1649.529,2643.024,3420.397,3557.703,3823.136,4844.809,5393.091,5841.904,5977.598,7507.552,7579.808,8420.678,8521.973
motorway_link,,,,,,,,,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418
