,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,8.238,8.238,8.238,8.238,8.238,14.893,18.067,22.001,22.185,23.153,23.153,23.968,28.025,29.598,29.693,29.693,31.942,32.551,32.357,33.571,54.103,54.103,65.709,111.595,202.978,211.642,211.642,214.17,223.204,250.613,269.088,268.56,269.465,153.551,164.245,166.192,197.234,162.983
path,40.576,40.576,40.576,40.576,40.576,43.866,43.866,56.426,56.426,68.573,68.573,68.934,78.548,78.548,80.05,218.192,221.036,231.359,236.693,458.569,516.894,506.296,555.029,561.059,582.149,584.837,593.241,611.288,623.781,637.542,687.78,1066.594,1066.724,1265.13,1322.314,1327.71,1386.069,1757.237
primary,669.734,598.797,640.942,640.941,640.88,647.203,647.245,1063.021,1065.357,1274.986,1324.722,1334.032,1345.403,1300.529,1315.955,1285.015,1305.995,1509.833,1511.132,1544.727,1573.961,1602.144,1394.464,1583.626,1630.441,1666.2,1667.103,1646.977,1671.004,1818.854,1973.001,2045.234,2044.769,1897.615,1930.255,1899.112,1980.515,2070.739
residential,566.683,593.248,627.418,627.418,559.198,808.808,730.249,921.137,921.204,1150.577,1154.288,1160.257,1322.249,1353.942,1354.704,1659.058,1558.717,1905.3,1912.928,2320.005,2346.429,2509.657,2765.591,3594.891,3923.852,3982.786,4006.104,4106.905,4159.445,4616.219,4745.237,4938.766,4966.678,5048.197,5084.144,5164.372,6287.911,25780.888
road,253.009,254.742,254.742,254.742,261.028,274.131,273.596,557.129,556.395,550.452,550.696,550.696,613.898,613.898,618.654,688.931,690.052,735.443,746.799,749.801,496.295,423.76,423.098,651.133,618.417,815.159,799.691,792.857,274.576,283.26,285.13,287.493,287.493,273.026,273.026,285.909,291.601,289.889
secondary,36.813,36.813,38.228,38.228,38.228,53.984,53.984,1638.862,1650.74,1708.112,1749.484,1748.486,1786.824,1839.783,1843.916,1875.373,1862.863,2173.825,2236.186,2360.064,2387.133,2388.524,2385.555,2237.597,2374.178,2350.392,2383.683,2387.968,2375.104,2375.178,2309.935,2233.689,2539.712,3166.812,3201.601,3210.965,3213.515,3518.194
service,7.51,7.51,7.51,7.51,7.51,30.874,32.176,62.641,62.668,64.586,64.589,64.906,93.095,94.26,96.222,92.598,232.068,234.187,234.061,236.859,238.397,240.24,249.002,236.967,294.981,303.718,307.259,314.332,318.465,242.863,251.064,254.101,265.253,245.933,249.537,244.672,262.328,233.327
steps,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.195,0.195,0.208,0.476,0.476,0.489,0.504,0.52,0.52,0.52,0.52,0.52,0.569,0.678,0.678,0.678,0.681,0.783,0.817,0.817,0.817
tertiary,82.015,82.015,82.015,82.015,82.015,87.095,166.739,1811.461,1811.463,1921.593,1989.558,1987.375,2158.31,2163.239,2196.346,2422.044,2442.397,2494.694,2569.254,3024.122,3322.888,3375.33,3439.159,4171.491,4334.173,4503.883,4516.078,4549.051,4592.448,4688.104,4710.527,4850.241,6442.999,6660.555,6742.951,6767.947,6977.549,7745.131
track,64.551,64.551,64.551,64.551,64.551,212.127,212.862,373.022,373.021,384.199,457.181,525.05,705.087,733.438,1009.868,957.027,960.011,919.122,926.316,2343.134,2397.891,1921.516,1992.526,2222.96,2292.753,2291.143,2325.038,2294.481,2299.058,2333.172,2366.175,2419.138,2392.464,1849.047,1901.559,1909.31,1993.893,1930.172
