,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,0.342,0.589,0.589,0.589,0.589,1.333,1.333,1.653,3.796,4.668,10.5,16.849,41.756,51.043,51.917,53.456,57.984,58.731,61.926,170.127,177.088,173.58,204.947,120.946,125.267,137.861,148.232,147.984,152.328,162.601,203.094,208.619,212.7,210.116,232.271,233.854,225.302,228.27
motorway,17.567,22.487,22.487,22.487,22.861,34.787,34.787,34.787,34.787,40.569,43.355,54.754,54.754,54.754,55.775,90.644,90.853,14588.316,14592.192,14600.843,14600.843,14620.985,14620.985,14621.624,14621.804,14620.446,14620.446,14701.797,14701.797,14708.242,14706.406,14720.303,14720.303,14747.554,14747.554,14748.515,15067.573,15079.85
motorway_link,0.537,0.537,0.537,0.537,0.537,8.499,8.499,8.499,8.499,10.893,22.357,21.951,21.951,21.951,22.173,23.463,25.533,25.533,25.525,27.189,27.165,27.579,27.391,29.507,30.486,35.434,35.434,35.285,35.285,36.266,37.629,48.292,48.317,47.832,49.924,50.32,90.111,98.794
path,0.184,0.184,0.184,0.184,0.184,0.184,0.184,22.776,22.776,22.776,49.704,157.756,177.377,220.18,229.549,235.383,224.733,241.101,243.597,567.54,922.328,1069.689,1082.611,1305.355,1338.785,1427.116,1476.934,1500.694,1606.031,1732.617,1933.932,1894.658,1952.923,2122.243,2105.928,2117.722,2163.61,2177.455
pedestrian,1.138,1.138,1.138,1.138,1.138,1.138,1.138,1.138,1.138,8.889,10.285,22.921,21.307,21.795,22.33,22.397,22.928,22.928,29.387,29.827,29.942,30.334,29.075,29.28,27.312,28.005,27.835,28.384,29.203,30.005,30.069,30.121,30.693,30.992,30.992,31.223,30.647,30.637
primary,4740.197,4784.17,4790.206,4790.206,4792.849,4604.263,4745.133,4745.144,4745.664,4973.021,4721.015,6849.537,6425.686,6918.947,7215.591,7028.445,7376.522,7885.451,7947.391,7895.414,7904.975,7536.795,7791.204,7753.258,7736.682,7912.592,7640.203,7792.863,7819.301,7643.179,7661.739,7640.799,7638.426,6731.312,7055.561,7050.585,6187.161,6033.841
residential,300.947,506.465,510.307,508.837,551.464,775.418,1013.735,1014.698,1011.786,1317.911,1809.397,4122.094,4794.661,5495.942,5855.071,7035.104,7909.936,7958.436,8332.199,9119.496,9827.661,10619.701,11332.146,14042.924,16531.896,17259.771,17454.761,17587.146,17954.51,18425.876,19301.72,19689.792,20143.193,20698.616,20760.464,23251.655,27323.061,27404.549
residential;road,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102
road,135.821,132.435,133.006,134.291,137.023,101.155,79.193,79.193,83.231,116.772,155.185,196.179,697.66,789.618,559.796,755.486,788.835,819.423,853.975,1060.372,1007.648,900.241,740.975,616.968,610.506,597.797,629.471,893.863,951.613,983.8,979.317,471.279,479.22,487.804,486.938,486.938,501.446,487.707
secondary,1019.831,1028.408,1029.695,1029.821,1033.194,1119.581,1037.129,1034.441,1034.334,1117.653,1350.332,1848.44,2097.893,2142.344,2278.143,2361.932,2504.418,2573.754,2582.265,2625.111,2614.063,2335.011,2198.003,2003.131,2164.092,2266.126,2439.527,2434.148,2453.755,2512.106,2409.878,2621.704,2692.098,3222.509,3222.711,3253.518,3307.513,3172.709
service,31.389,34.508,34.508,35.125,39.125,47.972,48.05,48.05,48.05,64.438,119.287,152.596,160.683,211.141,217.772,243.698,259.212,281.409,293.385,305.138,336.788,659.378,1286.828,1365.751,855.266,1000.075,997.897,1015.585,1004.992,1031.612,1040.618,1101.208,1114.876,1119.738,1124.266,1097.167,1098.372,1100.896
