,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,4181.565,4470.881,4470.881,4497.609,4504.744,4504.744,4504.743,4505.449,4615.978,4615.992,4626.761,4452.538,4511.706,4515.826,4532.024,4532.901,4573.856,4595.489,4781.722,4902.914,4971.585,4885.461,4888.7,4891.656,4848.269,4903.944,4929.557,4932.468,4935.294,4935.867,4935.888,4937.752,4936.705,4845.977,4845.975,6202.754,4944.824,4967.488
residential,143.405,145.06,145.06,151.518,165.646,170.628,568.873,569.075,585.408,587.459,803.435,899.477,922.897,969.299,1126.305,1226.332,1226.488,1296.31,1674.99,2730.105,2837.436,2903.233,2929.424,2943.674,3072.236,3114.371,3152.034,3166.517,3177.228,3198.985,3199.831,3239.117,3263.532,3284.098,3285.518,3293.472,3367.786,3562.906
road,110.483,102.6,102.6,102.6,108.637,127.608,127.608,141.047,132.569,157.624,157.624,152.912,134.874,134.874,150.086,150.086,150.086,281.668,152.264,213.382,216.447,230.96,228.577,228.577,115.869,155.164,220.346,224.215,160.979,236.38,236.237,170.151,147.818,143.222,143.222,146.836,144.28,140.992
secondary,677.935,896.229,897.548,958.569,954.677,954.783,1016.033,1016.033,1038.276,1038.617,1066.086,951.615,1082.224,1108.086,1489.182,1493.77,1529.282,1561.133,1987.414,2255.233,2218.889,2247.731,2248.187,2311.875,2378.454,2425.027,2426.821,2424.81,2426.033,2435.341,2435.461,2466.529,2464.948,2554.555,2554.747,2621.217,2880.797,2916.314
service,3.619,3.619,3.619,4.189,4.166,4.166,4.24,4.24,5.476,5.864,5.908,6.084,6.084,36.667,36.695,37.924,99.657,138.345,215.787,235.091,247.016,251.684,252.024,252.138,249.084,258.186,263.389,262.313,262.47,264.597,264.39,263.945,266.917,269.757,269.929,270.903,290.305,311.479
tertiary,36.168,42.582,42.582,52.232,58.373,58.373,118.336,118.343,117.514,117.543,132.816,222.74,546.684,618.326,790.337,943.663,944.045,1040.577,2672.971,3794.506,3922.85,4252.817,4266.781,4317.949,4493.633,4622.435,4694.151,4705.628,4680.213,4713.83,4714.044,4729.914,4728.022,4636.119,4636.955,3936.405,4329.075,4372.145
track,29.903,36.829,36.829,45.908,55.688,60.23,62.345,62.345,62.17,62.179,64.49,311.797,330.707,411.954,656.59,701.364,779.715,1514.379,2205.353,5213.724,6105.006,6995.768,7006.598,7035.82,7066.53,7219.683,7252.13,7309.369,7376.065,7555.329,7555.564,7574.123,7457.71,7545.548,7550.356,7590.026,7614.334,7632.526
trunk,17.02,17.02,17.02,17.02,17.029,17.029,17.048,41.46,17.358,17.358,17.359,728.49,688.895,697.492,700.832,701.116,701.1,701.355,776.888,738.463,753.451,937.333,937.378,937.378,939.662,939.84,941.666,941.723,921.331,922.328,922.328,922.328,922.328,943.215,943.894,981.052,961.102,980.045
unclassified,34.815,213.25,213.318,328.454,348.153,347.826,347.825,347.825,338.023,347.26,349.203,1112.432,2818.735,3662.733,4306.045,4799.179,4904.663,5534.892,9272.853,20288.111,20606.267,20775.135,20758.655,20733.811,21413.599,21601.797,21973.149,22253.53,22758.801,22998.854,23024.456,23080.546,23244.347,23272.851,23285.965,22637.979,23339.434,23497.047
footway,,,,,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.609,74.038,64.765,250.756,280.317,368.29,370.216,371.22,371.552,389.566,483.115,491.345,489.325,505.604,503.381,435.872,407.038,407.697,438.731,443.296,443.205,450.948
living_street,,,,,,,,,,,3.99,3.99,3.99,3.99,3.99,1.217,1.217,1.217,1.443,0.932,1.118,1.118,1.118,1.118,1.118,1.118,1.158,1.158,1.158,1.158,1.158,0.747,0.747,0.747,0.747,0.788,0.747,0.886
primary_link,,,,,,,,,,,25.255,25.202,25.202,25.202,25.202,25.202,25.202,25.202,25.327,25.535,25.535,25.329,25.329,25.329,24.946,25.059,25.059,25.059,25.059,25.059,25.059,25.122,25.122,25.206,25.206,25.206,25.24,25.426
construction,,,,,,,,,,,,4.588,4.588,6.972,8.491,8.568,9.502,9.502,18.745,14.256,14.117,14.258,14.258,14.258,6.626,6.626,6.551,8.843,8.843,7.556,7.556,6.618,9.162,8.937,8.937,8.937,8.253,8.253
tertiary_link,,,,,,,,,,,,,0.133,0.508,0.605,0.834,0.834,0.834,0.834,1.188,1.056,1.113,1.113,1.113,1.113,1.198,1.198,1.198,1.198,1.248,1.248,1.248,1.248,0.914,0.914,0.914,0.823,0.823
path,,,,,,,,,,,,,,12.206,27.056,67.46,84.447,515.4,3204.562,11108.333,13260.425,13747.05,13824.159,13837.89,13800.45,13931.56,14378.954,14459.258,14519.145,14729.67,14731.403,14826.485,14892.342,14926.346,15012.586,15071.234,15254.658,15543.579
pedestrian,,,,,,,,,,,,,,0.19,0.19,0.19,0.19,0.19,0.19,4.303,4.303,4.303,4.303,4.303,4.303,6.176,8.14,8.56,8.56,9.91,9.91,9.91,7.22,7.22,7.22,7.381,7.381,8.591
secondary_link,,,,,,,,,,,,,,0.249,0.249,0.281,0.281,0.357,0.385,0.37,0.37,0.358,0.358,0.358,0.358,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.429,0.321,0.321,0.321,0.321,0.569
unsurfaced,,,,,,,,,,,,,,0.172,0.172,0.172,0.172,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066
trunk_link,,,,,,,,,,,,,,,0.214,0.214,0.214,0.242,0.242,0.427,0.427,0.324,0.324,0.324,0.324,0.282,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.468,0.468,0.468,0.468,0.533
tertiary;residential,,,,,,,,,,,,,,,,0.779,0.779,0.779,,,,,,,,,,,,,,,,,,,,
footway;path,,,,,,,,,,,,,,,,,,,0.747,0.747,0.747,0.747,0.747,,,,,,,,,,,,,,,
yes,,,,,,,,,,,,,,,,,,,0.395,,,,,,,,,,21.015,0.245,0.245,0.245,0.245,0.245,0.245,0.53,0.53,0.53
bridleway,,,,,,,,,,,,,,,,,,,,6.42,6.42,7.282,7.282,7.282,7.282,7.282,8.816,8.816,5.038,5.038,5.038,5.038,5.038,5.038,5.038,5.038,5.038,5.038
vgfdg,,,,,,,,,,,,,,,,,,,,8.272,,,,,,,,,,,,,,,,,,
construction;primary,,,,,,,,,,,,,,,,,,,,,1.176,,,,,,,,,,,,,,,,,
