,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,11885.018,11885.008,11885.008,11885.008,11885.008,11885.008,11885.008,11885.207,11885.207,11885.213,11885.213,11888.112,11984.042,11984.042,11984.282,11984.282,11984.904,11984.921,11984.921,11999.078,11999.058,11999.141,11999.141,12014.306,12020.616,12250.603,12250.603,12254.204,11887.138,11892.639,11896.592,11896.592,11896.592,11891.504,11891.719,11893.259,11893.259,11894.301
path,77.125,77.125,77.125,77.125,77.125,77.125,125.798,220.304,220.747,220.747,220.394,194.659,214.632,214.632,214.636,212.238,212.238,212.941,216.305,216.306,200.514,200.499,198.748,274.988,275.11,275.11,289.482,555.05,1046.806,1086.38,1112.835,1143.209,2259.522,2692.436,2664.769,2669.509,3052.738,7383.223
primary,1458.617,1458.617,1797.582,5147.451,5152.404,5152.406,5166.88,17178.786,40044.521,40053.694,40056.629,40060.222,40155.895,40160.723,40176.856,39883.201,39858.421,38954.18,38947.886,38786.551,38859.603,38811.391,38847.834,38744.188,38081.772,38081.412,33038.433,33038.433,33037.057,33658.895,33951.292,33938.23,33938.013,33937.956,33686.623,33689.996,33738.219,33742.583
residential,40571.102,40571.102,40571.102,40537.388,40539.282,40539.282,40555.223,40993.03,40993.499,40993.885,41064.74,41265.07,41534.309,41632.649,41886.396,42204.382,42234.965,42499.735,42602.454,42627.865,42969.925,43189.187,43194.302,43190.004,43477.216,43477.388,43581.693,43584.177,43577.247,43561.649,43559.419,43567.225,43582.109,43613.752,45652.427,45671.112,46247.233,47166.332
road,4186.947,4189.028,4097.744,3478.54,3485.161,3490.186,4030.882,5073.492,5073.905,5073.905,4985.559,4798.972,4796.879,4862.358,4919.133,4835.254,4819.354,4640.802,4597.772,4558.374,4415.932,4146.08,4146.08,4146.08,3139.688,3139.688,3129.326,3143.972,3059.892,3076.706,3076.779,3062.327,3048.674,3048.674,3025.813,3027.312,3026.582,3046.412
secondary,149.904,149.904,151.339,1415.359,1415.359,1474.088,1507.605,4893.791,4893.791,4720.151,4779.854,4844.928,4928.13,4894.851,4895.231,4857.584,4812.461,5439.866,5461.292,5398.436,5391.389,5391.709,5409.386,5560.755,5485.91,5385.19,5115.11,5075.559,5100.434,5407.008,5753.31,5754.296,5825.57,5829.035,5807.16,5783.98,5786.413,5877.906
service,6.894,6.894,6.894,6.894,6.894,7.752,7.752,19.169,19.169,19.169,19.169,19.252,22.61,24.092,24.868,24.868,24.868,28.326,28.326,50.134,49.757,49.828,49.828,68.484,62.439,62.439,63.637,65.745,66.92,66.92,67.477,69.681,73.199,79.721,121.684,121.986,132.211,145.405
tertiary,12829.3,12829.3,12848.131,12641.046,12641.046,12641.107,12679.4,12818.691,12816.309,12816.31,12827.852,12827.874,12839.469,12814.761,12815.088,13119.275,13130.138,13563.47,13567.354,13599.343,13771.396,13787.021,17348.183,17513.348,17661.618,17674.209,18617.848,18647.964,18773.405,19999.949,20291.055,20300.28,20919.16,20961.476,21027.669,21084.166,21363.872,21625.536
toad,2.178,2.178,2.178,2.178,2.178,2.178,2.178,2.178,2.178,2.178,2.18,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,
track,12006.111,17721.713,17723.52,17956.908,18064.264,18064.378,12342.2,168147.244,168150.147,168131.233,168167.492,168298.018,170453.775,170669.82,170720.202,170994.17,171231.739,171671.919,171873.706,171892.835,171873.485,171981.987,172104.601,172076.006,173571.232,173667.39,175216.657,175296.656,176232.039,176228.982,176432.967,176795.325,174335.213,174750.69,174915.381,175199.404,184871.824,202915.308
