,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,1100.244,1082.885,1106.116,1379.993,1286.928,1315.357,1315.357,5342.874,5342.879,5326.096,5326.096,5326.096,5330.599,5346.603,5345.815,4180.08,4180.736,4103.674,4110.194,3883.472,3883.513,3894.561,3895.414,3969.98,3727.18,3740.535,3000.891,3000.901,3000.929,3003.886,3236.197,3236.197,3236.407,3237.037,3707.965,3720.845,3794.818,3804.641
road,1284.455,1284.455,1278.584,1295.811,1297.888,943.687,943.687,1375.484,1375.484,1390.486,1390.484,1390.484,1375.484,1390.674,1390.674,1376.245,1376.245,1376.245,1376.245,1376.245,1376.245,1376.245,1376.245,1376.245,1029.718,1029.718,1029.718,1029.718,1030.626,1030.626,1030.626,1029.718,1029.718,1029.718,1029.718,1029.718,1029.718,1029.718
service,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.068,0.068,1.03,1.03,1.03,4.12,4.12,4.065,5.694,11.534,11.534,16.544,16.633,23.281,23.281,23.281,24.925,24.925,25.349,33.638,34.061,32.36,32.36,32.36,33.093,32.668,32.668,33.054
tertiary,0.173,0.173,0.173,5.309,138.382,318.147,318.146,362.612,362.612,362.612,362.659,362.659,358.038,358.384,358.392,510.691,514.998,561.744,552.522,537.473,538.316,626.937,668.663,653.847,593.166,625.287,1091.588,1091.588,1096.57,1361.878,1584.517,1629.736,1629.783,1762.439,2148.791,2441.522,3190.805,3574.467
track,5.525,5.525,5.525,5.525,5.525,1205.228,1205.228,28694.534,28694.534,28693.854,28693.854,28693.854,28791.174,28804.546,28804.546,30531.182,30626.986,30626.332,30710.082,30723.11,30715.417,31616.842,31669.441,31543.386,31668.528,31722.116,31890.47,31898.226,31879.755,31799.925,31830.452,31800.927,29581.548,29748.101,29514.139,30538.63,32562.614,33168.131
unclassified,8.567,8.567,8.567,8.567,8.567,8.567,8.567,957.78,957.78,957.78,957.78,957.78,996.323,986.803,1018.499,1500.401,1499.286,1507.448,1516.356,1472.617,1464.458,1612.167,1699.182,1714.97,2171.113,2171.758,3601.52,3602.834,3635.301,3983.674,4966.988,5250.955,8011.017,8403.333,8355.575,11973.545,16349.701,20188.656
secondary,,17.36,17.36,17.36,17.36,115.82,115.82,2613.578,2613.578,2613.578,2613.578,2613.578,2622.616,2621.27,2589.171,2651.57,2623.546,2716.536,2922.472,2793.026,2793.075,3084.423,3062.733,3237.862,3413.487,3450.055,2718.169,2718.898,2718.898,2583.447,3478.43,3468.298,3486.92,3450.47,2892.702,2896.004,3061.904,3064.87
footway,,,,,,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,,,,0.248,0.248,0.248,,,,,,,,,,
residential,,,,,,,,367.182,367.182,368.365,368.365,368.365,374.976,380.665,381.651,451.224,466.21,470.259,569.494,620.247,631.852,1475.982,1489.628,1505.418,1762.476,1888.367,1914.516,1914.516,1924.234,2080.971,2081.087,2157.992,2164.422,2175.928,3883.887,3883.825,3946.292,3956.514
secondary_link,,,,,,,,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.517,0.517,0.555,0.555,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.655,0.655,0.655,0.655
