,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608
Airfield,0.248,0.248,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirt Road,1.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,1.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT_unclassified,0.913,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schroder Street,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337,,,,,,,,,,,,,,,,,,,,,,,
access,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651
boardwalk,0.123,0.123,0.123,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridleway,20.8,20.8,20.8,21.499,22.923,22.923,22.923,25.754,29.479,30.097,29.854,29.854,29.854,36.541,36.461,36.461,36.461,35.575,35.575,35.575,36.971,36.968,36.968,37.309,37.309,37.309,42.888,42.888,43.213,39.338,39.32,39.32,39.322,48.095,44.771,44.417,44.417,44.616
construction,61.466,102.881,116.922,132.166,154.124,152.705,156.382,139.019,142.097,139.493,143.932,146.707,164.114,174.867,175.534,181.34,186.064,187.366,173.035,172.06,169.525,156.542,157.171,143.966,150.14,162.45,168.754,176.7,203.005,226.415,239.909,228.985,235.061,231.594,240.439,241.735,242.536,252.32
crossing,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.029,0.029,0.029,0.061,0.061,0.055,0.055,0.042,0.042,0.042,0.042,0.042,0.042,0.181,0.181,0.181,0.181,0.164,0.164,0.188,0.09,0.09
cycleway,86.165,108.767,149.308,161.992,228.902,216.696,218.47,218.564,218.568,212.663,212.663,213.551,216.162,216.163,286.92,294.669,294.674,317.626,324.47,354.012,354.013,363.071,390.232,589.336,606.388,624.037,626.434,634.94,636.027,635.228,650.372,658.949,686.017,683.213,690.588,646.593,650.072,671.968
disused,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,40.342,40.342,40.342,40.342,40.342,3.045,3.045,3.045,3.045,3.045,3.045,3.045,3.045,3.045,3.045,3.045,3.045,3.045,3.045,3.045
footway,678.58,706.283,772.404,756.134,788.87,794.201,772.722,831.075,868.301,882.209,919.418,1061.451,1124.839,1209.649,1328.66,1411.857,1439.216,1714.652,1538.762,1558.43,1586.84,1604.213,1590.118,1613.49,1649.773,1716.672,1846.584,1952.261,2170.579,2287.299,2401.181,2494.957,2618.252,2749.787,2845.641,2972.582,3018.018,3081.885
l,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
living_street,30.198,34.725,35.253,35.253,96.133,125.472,111.461,123.843,147.859,192.45,208.472,210.869,212.01,205.232,229.596,231.498,237.682,242.338,252.522,252.511,305.809,316.332,317.658,353.482,378.167,384.674,386.357,387.874,397.008,398.346,400.442,294.166,327.752,353.449,354.912,410.237,415.894,422.748
mini_roundabout,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.076,1.076,1.076,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041,1.041
motorway,5914.264,6133.521,5975.282,5802.147,5802.427,5829.938,5900.644,5866.563,5877.379,5876.399,6031.711,6021.218,6040.803,6054.747,6077.257,6069.615,6061.165,6089.562,6150.019,6144.255,6144.452,6173.64,6198.018,6268.641,6269.055,6424.277,6278.455,6331.217,6366.062,6373.168,6377.878,6507.903,6540.2,6549.936,6496.387,6602.055,6568.989,6624.51
motorway; primary,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108
motorway; primary; primary,4.389,4.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorway_link,960.863,1009.656,1176.625,1273.864,1284.767,1304.609,1315.943,1327.196,1351.323,1362.062,1378.532,1379.395,1384.715,1387.616,1389.783,1394.837,1396.141,1399.231,1404.849,1435.345,1426.638,1437.544,1444.225,1457.092,1487.018,1491.53,1493.716,1513.274,1531.765,1535.514,1543.263,1574.895,1592.768,1602.686,1572.395,1592.641,1597.323,1608.197
path,185.883,227.037,403.603,853.925,1081.84,1284.879,1333.82,1721.788,1786.287,2801.402,3002.347,3040.396,3181.846,3310.488,3819.25,3913.741,4040.451,3916.383,4340.871,4607.626,4746.725,5236.397,5670.601,5788.949,6158.97,6520.612,6733.723,7223.661,7905.199,8822.555,9278.859,9331.443,9718.39,10107.577,10275.328,10558.279,10844.944,10990.77
paved,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedestrian,29.718,30.031,37.023,64.405,68.59,69.86,69.992,74.174,75.392,77.099,77.875,77.875,77.875,77.925,78.498,79.142,79.794,85.87,90.289,89.849,90.936,91.676,91.993,92.59,94.985,100.529,125.923,129.152,130.063,129.698,128.27,128.595,133.685,131.611,137.249,164.299,166.731,163.826
primary,19618.297,22950.003,22375.5,22790.033,22933.217,23547.786,23858.44,24688.271,24743.979,24488.73,24519.916,24638.512,25042.908,25389.273,25237.411,25386.522,25887.615,26127.165,26193.981,26258.481,26263.325,26436.989,26556.43,26701.835,26742.232,26739.234,26772.217,27015.679,26920.484,26968.125,27038.438,27480.802,27645.041,27810.95,27926.931,28200.657,28279.43,28282.188
primary_link,145.34,153.54,208.649,243.146,247.569,443.482,447.296,448.178,468.746,342.285,357.784,323.629,296.598,308.668,309.961,313.679,316.843,314.821,316.972,318.726,319.266,300.307,300.414,307.263,332.587,338.88,344.381,364.631,358.097,361.564,362.448,375.702,388.931,390.423,403.52,434.73,447.012,442.975
primay,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
racetrack,4.273,4.273,4.273,4.273,4.273,4.273,4.273,4.273,4.273,4.273,4.273,4.273,4.273,4.273,,,1.621,1.621,1.621,1.621,1.621,1.621,1.621,,,,,,,,,,,,,,,
raceway,4.644,5.902,6.265,6.265,9.114,9.114,9.845,12.156,12.156,12.156,181.472,198.713,184.918,188.239,196.802,196.802,196.802,196.802,208.31,208.31,208.31,219.376,51.214,52.835,53.426,53.852,85.297,90.153,92.522,98.375,98.375,101.866,104.446,105.07,107.217,125.309,124.933,134.564
