,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.216,0.378,0.622,1.382,1.382,48.278,40.948,45.002,59.449,81.719,109.591,98.69,91.017,148.887,146.44,148.384,143.061,234.453,244.113,249.877,257.902,265.88,242.363,238.904,237.541,235.739,242.686
primary,8517.221,8525.893,8525.893,8525.893,8555.269,8547.567,8698.856,8698.856,8698.856,8698.856,8931.719,8759.359,8957.457,9953.028,10325.767,10334.569,9841.515,9415.35,9555.896,9675.216,9977.752,9678.648,9651.475,9791.678,9430.352,9562.861,9580.959,9580.502,9601.988,9546.24,9568.678,9574.079,9610.9,9790.899,10063.725,9631.144,9478.058,9390.436
residential,32.174,32.174,32.174,32.453,32.453,32.453,103.127,103.127,103.127,103.127,146.327,167.794,287.303,795.234,810.219,908.277,2292.746,2905.403,3008.489,3289.294,3556.605,3797.643,3974.036,4155.316,4724.877,4838.154,4855.193,4876.594,4992.001,5143.248,5182.859,5484.214,5502.868,8830.444,8823.664,9835.186,9927.575,9962.031
road,382.748,374.488,374.488,374.488,374.488,374.488,465.378,732.146,732.146,732.146,2285.083,2285.083,2567.195,2639.136,2658.938,2672.276,4449.147,4339.423,4334.347,4553.731,4321.074,4313.139,4077.692,4075.741,2944.314,2806.29,2783.145,2808.148,2561.159,2638.947,2643.48,2710.76,2698.34,2177.157,2177.157,2175.162,1887.581,1887.581
secondary,7767.336,7767.982,7767.982,7767.982,7749.27,7749.27,7763.027,7763.026,7763.025,7763.025,8055.021,7968.225,8461.97,8271.847,8656.303,8678.047,8987.946,9416.213,9585.252,9622.567,9583.173,9851.504,9882.908,9912.661,9152.192,9440.862,9638.759,9470.953,9483.092,9533.807,9525.642,9560.291,9703.483,9577.324,9698.887,10475.327,10039.808,10049.875
service,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.881,1.702,21.885,28.365,30.862,31.775,1047.623,1094.838,1098.329,1141.434,1172.155,1178.638,1119.93,1136.092,1142.23,1161.579,1161.578,1163.068,1968.225,1971.833,1966.881,1973.041,1975.328,1975.76,1975.382,1936.396,1936.551,1936.979
tertiary,640.316,640.316,640.553,680.519,669.854,669.854,673.783,673.783,673.783,673.783,931.11,939.898,1380.703,1385.177,1446.734,1547.014,3943.091,4040.608,4109.754,4199.799,4528.404,4717.155,4667.663,4827.101,4999.825,5732.114,5800.94,5800.942,6879.438,6910.737,6883.626,6914.901,7513.094,7596.983,7714.303,7912.528,8912.259,8951.298
trunk,118.361,118.361,118.361,118.361,118.361,118.361,118.361,118.361,118.361,118.361,118.362,118.362,118.727,118.727,118.727,118.727,118.717,118.717,118.717,163.383,163.386,265.771,265.771,296.18,341.446,341.465,341.465,341.465,341.466,341.62,341.62,333.584,333.627,333.473,328.661,598.474,601.097,694.529
unclassified,40.061,40.061,40.061,40.061,40.061,40.061,40.061,40.061,40.061,40.061,1.671,416.573,1060.345,1434.663,1617.674,1654.266,3061.442,4166.651,4396.383,4768.479,5447.669,6320.228,7398.258,7877.828,9828.69,11568.727,11896.382,12124.361,13261.152,13843.87,14180.165,14916.206,15150.583,17544.475,17642.498,21052.211,21372.133,21488.052
track,,,,,140.782,140.782,244.832,244.832,244.832,244.832,606.759,626.202,848.642,892.684,1343.209,1504.642,4070.292,4662.877,4778.157,4879.573,5911.437,6574.897,7168.948,7496.647,8829.751,11260.23,11317.678,11440.094,12142.432,13545.015,13510.051,13577.029,13729.79,12431.166,12469.091,12217.821,12392.257,12465.125
tertiary_link,,,,,,,1.724,1.724,1.724,1.724,1.724,5.252,3.761,2.853,3.214,3.214,5.361,5.361,6.788,6.217,6.217,6.301,6.217,6.148,6.148,6.148,6.148,17.062,17.062,17.062,17.062,17.078,17.078,17.078,17.078,6.307,6.707,6.707
path,,,,,,,,,,,6.436,6.472,298.278,91.025,92.665,162.038,5859.694,8313.051,9462.2,10961.071,11552.763,12084.427,12433.817,12935.492,12949.601,14346.735,14773.205,14851.904,16030.834,18646.562,18972.318,19353.494,19584.358,20028.209,20180.179,20497.551,20662.993,20740.723
pedestrian,,,,,,,,,,,,1.1,1.705,1.705,1.705,1.705,6.819,8.897,8.944,10.047,10.545,10.416,10.416,10.622,6.002,6.002,6.002,6.002,6.896,10.153,10.153,10.153,10.153,7.44,7.44,6.085,6.085,6.085
construction,,,,,,,,,,,,,65.363,63.708,63.708,63.708,76.032,91.28,91.28,91.355,97.289,97.998,104.305,104.855,235.879,200.252,200.252,200.252,229.1,229.1,229.1,229.118,229.163,229.209,229.209,229.325,190.326,190.326
bridleway,,,,,,,,,,,,,,,,,5.88,16.431,16.431,16.431,16.431,15.592,15.592,15.592,15.592,15.592,15.592,15.592,15.592,15.592,15.592,15.592,15.592,15.592,15.592,15.541,15.541,15.541
living_street,,,,,,,,,,,,,,,,,349.64,332.648,332.648,332.207,307.047,304.023,278.636,278.146,260.541,260.89,262.874,262.874,262.874,265.998,264.372,9.214,9.214,9.214,9.214,9.603,9.603,9.603
primary_link,,,,,,,,,,,,,,,,,0.224,0.224,0.224,0.224,0.224,23.216,23.216,23.235,23.159,23.159,23.159,23.159,23.159,23.159,23.159,23.159,23.159,23.159,23.159,23.639,23.647,23.647
residencial,,,,,,,,,,,,,,,,,3.259,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305
Atlabara-Jebel Road,,,,,,,,,,,,,,,,,,0.876,,,,,,,,,,,,,,,,,,,,
Custom-Juba Ubiversity road,,,,,,,,,,,,,,,,,,1.151,,,,,,,,,,,,,,,,,,,,
Juba Bilpam Road,,,,,,,,,,,,,,,,,,1.146,,,,,,,,,,,,,,,,,,,,
Juba University-Custom Road,,,,,,,,,,,,,,,,,,1.111,,,,,,,,,,,,,,,,,,,,
Rock city road,,,,,,,,,,,,,,,,,,2.665,,,,,,,,,,,,,,,,,,,,
motorway,,,,,,,,,,,,,,,,,,139.386,,,,,,,0.441,,,,,83.824,83.824,83.824,83.824,42.812,42.812,42.812,42.812,42.812
cycleway,,,,,,,,,,,,,,,,,,,0.241,0.241,6.539,6.539,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183
compacted,,,,,,,,,,,,,,,,,,,,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253
secondary_link,,,,,,,,,,,,,,,,,,,,,,0.614,,4.202,,,,,,,,,,,,0.224,0.224,0.224
steps,,,,,,,,,,,,,,,,,,,,,,0.143,0.143,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476
trunk_link,,,,,,,,,,,,,,,,,,,,,,,,,0.196,0.25,0.25,0.25,0.25,0.279,0.279,0.279,0.279,0.279,0.279,0.356,0.368,0.368
rest_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369
