,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,3.665,3.665,3.665,3.665,3.665,3.665,4.317,5.524,5.791,5.791,11.321,12.235,16.815,16.9,16.9,18.592,23.402,23.402,25.684,27.972,30.514,39.641,50.344,51.864,62.399,64.577,64.955,66.938,68.283,69.382,71.374,71.613,71.955,71.955,71.955,47.449,48.492,50.402
motorway,1412.81,1412.81,652.862,652.862,652.862,652.862,652.862,652.862,652.862,652.862,12.155,51.687,207.86,328.782,37.883,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485,36.485
primary,9394.708,9423.992,10557.138,10554.937,10954.919,11252.953,11522.864,11814.393,11817.187,11955.252,13081.99,12854.771,12818.671,13024.978,14944.416,15548.326,15206.365,15610.092,15776.428,15426.957,15590.23,15582.914,15737.712,15761.385,15847.751,14120.623,14253.891,14376.733,14420.317,14415.115,14410.595,14224.925,14110.935,14374.227,14338.274,13808.97,13264.278,13511.862
primary_link,3.348,3.348,3.348,3.348,3.393,3.393,3.393,3.393,3.393,3.393,7.583,10.904,14.619,15.318,14.77,11.115,11.115,11.582,10.286,10.325,11.127,11.156,11.156,11.112,10.492,17.815,19.024,19.416,19.197,19.133,20.79,20.985,20.219,20.23,20.123,18.665,12.217,12.369
residential,549.769,567.682,583.484,651.4,768.331,1169.071,1426.552,2110.692,2466.059,2500.537,2593.884,3307.343,3696.248,4033.461,4545.971,10978.078,12257.589,12665.183,15078.572,15605.28,17807.503,20420.39,23210.014,26535.178,29483.951,31898.061,36262.877,38451.227,38854.046,39555.196,40651.189,45890.795,46854.986,51094.925,52178.238,80789.154,81894.453,82205.209
road,2137.459,2067.413,1955.641,1971.396,1980.004,1974.867,1988.202,2645.218,2606.48,2632.402,7980.898,7965.193,8131.809,8989.058,9694.289,9163.939,9100.514,9230.908,8837.933,8816.469,8175.573,8455.231,8367.479,8406.903,5910.339,5798.023,5746.587,5698.418,3348.304,3348.464,3354.008,3348.355,3655.139,3655.641,3430.529,3462.775,3389.363,3389.408
roundabout,0.129,0.129,0.129,0.129,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary,1229.568,1229.654,1229.66,1225.345,1503.057,1512.111,1512.554,1470.353,1493.061,1572.499,1827.818,2482.286,3579.281,3966.123,4183.235,5189.602,5220.646,5228.092,5400.18,5114.296,4773.673,5001.327,5137.393,5142.735,4938.28,5758.136,5916.092,5887.979,5927.056,6052.123,6029.0,6193.249,6115.536,6133.873,6309.734,6648.06,7018.067,7144.106
service,4.706,4.706,4.706,4.706,4.706,4.979,4.979,8.099,8.483,36.0,120.198,145.059,164.781,180.031,218.777,390.57,477.129,467.985,467.132,503.991,863.751,880.869,903.052,958.204,1014.862,1150.26,1196.944,1212.543,1218.162,1215.918,1217.692,1221.008,1221.957,1221.258,1243.459,1626.662,1655.883,1656.869
steps,0.094,0.094,0.094,0.094,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.113,0.113,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101
