,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,3.528,7.525,7.525,7.67,7.67,7.67,7.67,8.419,8.419,8.419,15.033,16.207,17.018,135.34,139.679,140.043,142.064,142.363,142.363,142.365,147.018,147.116,147.792,147.792,168.563,172.307,172.79,173.969,173.969,174.123,160.473,158.303,159.377,158.737,168.191,168.328,167.677,167.794
primary,420.636,700.414,700.933,1125.168,1134.712,1134.712,1134.712,1144.491,1144.5,1144.5,1113.31,1113.889,1113.889,1094.219,1094.524,1094.526,1094.791,1095.422,1095.422,1095.422,1095.422,1095.422,1095.422,1095.422,1122.764,1195.111,1234.032,1247.676,1247.676,1247.755,1270.775,1270.801,1271.225,1271.272,1275.682,1275.705,1271.251,1271.322
road,37.175,66.125,70.06,38.152,52.235,87.724,90.797,3984.621,3984.247,3983.698,3939.53,3931.895,3920.29,3976.748,3925.951,3925.172,3727.762,3726.895,3855.181,3862.556,3848.973,3229.87,3240.077,3236.277,2503.57,1904.201,1698.517,1517.757,1458.292,1454.079,1453.597,1046.543,1046.63,971.352,983.192,978.856,300.587,300.856
secondary,387.541,411.114,421.229,674.961,677.975,677.978,677.978,676.607,773.945,726.242,795.214,817.995,817.995,818.871,854.536,854.642,896.15,896.103,896.151,896.309,896.309,883.91,885.105,885.105,965.893,1007.459,996.294,1004.559,1004.7,1004.783,1062.991,1061.508,1074.397,1080.217,1073.931,1075.454,1264.426,1264.651
steps,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.425,0.425,0.425,0.425,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.53,0.53,0.53,0.543,0.543,0.543,0.543,0.543,0.543,0.565,0.565,0.565,0.565,0.565
tertiary,2.713,27.194,29.149,584.63,586.578,595.988,596.693,869.252,869.332,868.418,940.169,954.361,962.319,962.276,1005.227,1005.228,1102.399,1104.484,1104.484,1104.55,1124.069,1123.46,1123.46,1123.46,1613.959,2211.267,2352.814,2470.81,2485.102,2485.127,2443.157,2457.029,2495.935,2510.291,2526.143,2652.962,2497.285,2498.81
track,92.875,95.29,95.29,79.228,80.156,99.548,99.548,402.268,405.832,405.832,409.298,419.634,426.135,485.142,500.888,503.088,597.731,622.144,622.503,622.504,688.148,802.995,821.848,831.204,1569.547,2912.324,3820.899,3963.428,3972.318,3976.306,4009.552,3988.8,4023.408,3820.164,4014.689,4064.427,4591.71,4855.089
trunk,196.724,186.503,187.156,441.41,441.474,435.701,403.185,381.556,381.677,381.683,382.146,383.11,383.158,382.947,382.946,382.946,384.238,384.617,384.617,384.617,384.617,384.794,384.334,384.364,385.308,385.589,385.717,385.956,385.959,385.851,379.216,379.216,389.906,391.813,391.813,394.262,374.36,374.36
trunk_link,0.231,0.231,0.231,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,1.328,1.328,1.328,1.45,1.45,2.431,2.547,2.547,2.548,3.574,3.574
unclassified,10.524,15.801,15.801,108.497,108.915,130.606,130.474,457.488,455.79,456.178,454.947,471.529,474.703,474.829,483.989,483.989,713.978,788.709,793.366,806.401,822.013,1479.447,1510.825,1514.038,3387.321,4896.092,6002.56,6221.837,6288.787,6298.901,6326.101,6794.865,6878.43,7636.729,7675.239,7676.848,7115.476,7143.888
service,,0.332,0.332,6.864,7.732,13.949,13.586,35.728,35.728,35.728,48.068,51.332,58.649,76.039,87.774,89.643,110.498,111.158,111.158,112.011,117.334,120.911,121.287,121.382,192.223,213.048,254.258,276.886,276.859,276.872,277.453,278.097,302.95,317.361,318.829,318.889,301.325,303.078
motorway,,,,127.309,127.928,127.928,127.928,127.928,127.928,127.928,127.963,127.963,127.964,127.956,127.956,127.956,127.956,127.956,127.956,127.956,127.956,127.956,127.956,127.956,127.988,127.988,128.125,130.707,130.707,130.707,130.887,130.887,158.657,177.032,178.749,178.749,153.553,153.553
motorway_link,,,,28.895,29.272,29.272,29.272,30.202,30.202,30.202,30.233,30.429,29.927,30.001,30.001,30.001,30.001,30.001,30.001,30.001,30.001,30.001,30.001,30.001,30.56,30.56,30.673,31.329,31.329,31.329,31.295,31.295,40.435,40.435,39.27,39.272,31.651,31.651
path,,,,0.301,0.301,0.301,0.301,20.269,20.269,20.369,20.936,49.444,50.035,50.239,49.746,49.607,49.7,49.945,50.602,77.905,110.58,110.643,110.812,120.379,306.494,583.324,667.126,708.483,708.483,708.485,706.111,712.748,714.281,759.853,771.65,776.092,762.54,776.213
primary_link,,,,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.581,0.581,0.615,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,1.344,1.344
residential,,,,30.732,30.732,34.118,34.703,297.17,334.778,336.579,381.497,393.278,466.731,473.311,483.975,488.839,618.765,658.442,660.1,661.305,669.613,683.653,690.587,694.46,840.883,933.089,1195.33,1314.4,1331.407,1332.142,1332.613,1350.429,1385.311,1405.47,1417.901,1428.687,2519.062,2535.697
secondary_link,,,,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.441,1.163,1.163,1.163,1.24,1.24,1.24,1.583,1.583,1.583,7.697,10.894
living_street,,,,,,0.159,0.159,0.159,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,0.902,0.902,0.902,0.902,,,,,,,
raceway,,,,,,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433
tertiary_link,,,,,,0.963,0.963,0.963,0.963,0.963,0.963,0.963,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,5.053,5.053,5.169,5.053,13.555,1.626,1.626,1.395,1.494,1.494,1.494,1.494,1.494,1.494,1.046,1.046
unknown,,,,,,2.359,2.359,7.165,7.165,7.165,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
