,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
path,3.394,3.394,3.394,7.979,7.979,10.863,19.565,19.565,19.565,19.565,19.599,19.745,25.885,81.924,264.839,512.759,595.0,694.727,843.302,1088.411,1239.313,1401.072,1736.031,2583.721,2965.952,5537.554,5870.322,6536.616,6739.13,6865.898,7146.461,7614.073,7749.192,7858.284,7881.812,8006.483,8364.393,8507.97
primary,1435.712,2101.149,2112.85,2355.631,2359.752,2362.916,2388.535,2460.068,2459.472,2481.119,2987.636,3476.623,3505.244,3586.443,3624.264,3645.811,3766.986,3800.805,3836.759,3803.838,3758.203,3685.397,3573.458,3621.48,3596.558,3629.645,3615.873,2457.905,2505.526,2529.894,2590.542,2904.79,3076.011,2923.845,2681.721,2741.84,2744.894,2762.909
residential,35.457,57.291,57.53,63.125,65.375,71.286,186.788,274.345,287.528,243.097,414.319,469.285,620.48,684.42,1117.227,1556.1,1863.824,2088.763,2324.949,3344.276,3580.686,3722.225,4012.466,5464.484,5990.609,6543.353,6672.363,6784.634,6924.397,7287.031,7416.458,7725.025,8198.115,8378.053,8395.537,8437.795,9760.077,9888.896
road,237.481,255.798,283.78,847.601,847.601,838.205,838.372,979.197,979.217,957.655,970.879,3466.561,4381.398,4364.974,4280.655,4164.414,4485.487,4407.58,4199.59,4161.301,4196.748,4179.459,4082.693,2071.848,1874.37,2082.921,1797.614,1784.806,1391.064,1401.414,1402.132,765.089,694.984,747.192,703.896,677.251,640.358,640.358
secondary,271.323,626.66,562.952,609.157,632.592,674.687,729.631,731.026,732.954,750.811,947.065,1132.333,1352.011,1404.756,1418.696,1502.607,1577.48,1595.759,1609.311,1660.782,1660.706,1701.587,1841.563,2261.477,2259.012,2354.369,2368.011,2316.501,2343.084,2384.837,2166.53,2354.699,2414.967,1965.113,2018.83,2035.753,2025.573,1939.6
tertiary,317.048,502.177,591.153,812.355,823.923,828.722,879.025,881.877,881.878,907.928,1008.83,1530.121,1788.472,1882.358,1980.911,1998.304,2390.776,2379.304,2441.669,2483.622,2564.035,2533.405,2767.335,3309.389,3437.266,3949.624,4410.506,4691.08,4712.729,4500.748,4522.534,4573.453,4602.158,4811.294,4861.745,4972.315,4923.724,4716.632
unclassified,185.619,227.893,318.065,428.922,456.266,539.956,632.427,632.138,633.745,606.072,657.243,618.732,700.699,882.731,955.526,1019.844,1218.768,1495.131,1752.069,1852.254,2145.102,2284.804,2445.96,6521.301,7189.701,12265.373,12680.981,13732.664,14347.979,14731.113,15429.169,16903.673,17003.712,17977.343,18053.41,17972.832,19020.938,19392.603
track,,,2.361,11.893,11.893,11.893,15.121,15.121,15.121,19.33,26.444,32.294,48.44,94.604,178.54,326.51,602.381,709.906,1037.68,1357.506,1752.05,1945.139,2214.376,3401.24,4078.155,5993.789,6369.713,6780.6,6803.932,7203.455,7160.342,6970.088,7052.832,6617.918,6641.627,6703.205,6513.244,6453.562
service,,,,,,0.441,4.155,4.155,4.155,12.465,19.714,20.387,30.562,32.261,41.911,59.513,66.741,64.229,72.254,87.549,102.092,104.94,117.74,187.786,216.123,265.489,276.832,302.956,308.463,368.267,377.035,402.645,410.209,429.415,430.381,432.891,433.659,438.539
construction,,,,,,,1.615,1.637,1.637,0.381,0.381,4.693,4.693,4.693,23.933,32.963,31.31,8.833,8.833,8.833,9.171,9.171,8.789,4.477,5.004,7.546,10.284,21.179,21.179,20.95,20.95,20.863,20.863,18.539,10.729,10.729,4.672,4.672
