,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
cycleway,0.107,0.107,0.107,0.107,0.107,0.107,0.107,1.709,1.709,1.709,1.709,1.731,1.731,1.731,1.731,1.731,1.731,1.731,1.731,1.821,1.821,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973,1.973
footway,22.014,22.059,22.058,22.058,45.372,681.939,668.108,689.116,704.503,728.369,743.796,706.415,695.196,708.961,712.783,730.132,749.711,723.446,741.485,712.273,708.913,692.871,701.873,704.557,717.736,727.881,733.969,737.407,739.363,741.291,744.366,750.013,753.113,743.523,744.492,745.822,751.189,755.626
living_street,106.302,108.367,156.889,159.326,168.302,163.093,160.377,159.933,157.668,156.626,165.807,170.192,172.53,176.711,177.296,178.295,312.136,325.331,500.61,500.61,549.378,549.378,549.378,549.519,549.629,546.407,547.148,543.32,543.647,543.647,427.69,429.399,415.945,415.94,416.085,417.276,419.665,419.668
living_street ,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorway,1231.731,1231.731,1231.731,1231.731,1526.743,1560.641,1605.732,1605.737,1605.737,1607.125,1623.07,1735.762,1743.91,1744.098,1744.098,1744.102,1744.1,1744.202,1744.202,1744.202,1744.202,1744.209,1744.209,1744.21,1744.254,1744.254,1744.254,1744.254,1898.448,1889.042,2226.626,2248.1,2263.622,2390.454,2389.583,2520.171,2520.398,2519.437
motorway_link,47.502,47.639,47.639,47.639,53.275,61.982,71.89,73.358,73.359,75.404,95.014,101.962,110.326,110.367,110.367,112.405,112.405,112.31,112.31,110.443,110.443,110.443,110.443,110.443,110.443,110.611,110.611,113.111,119.507,119.553,199.523,206.86,220.527,224.757,226.444,224.801,219.937,222.715
path,19.923,19.923,19.923,19.923,33.922,47.36,54.93,62.069,66.047,86.724,87.3,92.993,104.207,142.732,143.881,150.665,157.974,213.722,303.488,325.676,372.207,385.744,402.772,418.217,454.608,459.484,506.178,530.812,551.885,563.593,562.872,606.842,612.804,618.004,632.243,633.269,641.036,643.192
pedestrian,1.766,1.766,1.766,3.12,37.775,136.105,144.023,151.651,152.161,156.403,164.684,175.792,185.458,187.747,189.313,190.267,200.449,201.194,203.724,204.367,206.324,208.798,209.637,212.498,215.6,218.498,219.278,220.454,222.726,223.313,225.038,228.322,230.089,229.917,237.482,238.246,237.28,240.521
primary,6015.755,6537.272,6481.654,6482.049,6768.831,6790.773,6696.35,6954.122,7197.94,7569.548,7654.956,8515.64,8707.765,8492.793,8504.369,8485.162,8563.681,8573.381,8954.237,8976.722,8978.757,8909.904,8894.545,8919.155,9038.77,9213.134,9242.028,9209.746,9220.253,9284.607,9311.834,9339.46,9429.379,9446.997,9565.284,9498.091,9546.909,9612.787
primary_link,10.849,10.294,9.862,9.862,10.317,9.711,10.003,11.017,11.143,14.083,17.618,22.722,23.522,25.686,25.686,25.73,26.418,26.734,28.474,28.477,28.577,29.195,29.087,29.093,29.374,30.44,31.556,30.796,30.796,30.77,30.086,31.76,32.455,34.106,35.867,34.567,34.567,34.322
residential,1828.376,2079.099,2104.056,2132.018,3582.367,4783.881,44347.236,45453.056,45722.438,46316.165,47522.507,48593.268,49435.51,50779.959,50841.006,51155.597,52033.665,52296.554,53360.589,53624.316,54175.208,54288.148,54679.254,54746.2,55101.227,55169.654,55414.859,55493.555,55657.749,55665.446,55981.289,56218.061,56728.43,56789.329,57123.986,57340.211,57498.71,57718.168
road,395.036,472.76,486.511,543.741,829.923,490.441,490.441,565.01,550.243,545.919,348.083,269.71,312.473,355.626,356.546,356.546,259.315,220.715,222.658,221.865,225.762,219.745,245.843,248.931,239.857,242.172,240.663,282.807,284.769,284.769,288.879,303.802,276.991,276.926,252.397,251.716,249.418,249.418
secondary,3265.697,3746.494,3796.347,3853.905,4602.079,5067.655,5300.462,7260.611,7624.14,7949.91,8395.882,9095.539,9318.61,9413.778,9435.393,9484.808,9757.847,9778.845,9885.083,9944.196,9954.806,10036.531,10043.29,10068.532,10097.087,9988.096,10031.685,9933.86,9950.184,9865.536,9923.838,9993.877,9838.89,9919.053,10031.79,10032.597,9962.921,10011.844
service,72.041,72.837,77.182,80.2,284.696,486.674,519.347,611.414,632.55,727.488,810.22,904.34,963.574,1123.549,1133.92,1166.125,1227.341,1225.738,1290.78,1316.979,1385.145,1390.969,1411.857,1439.004,1485.659,1518.094,1543.114,1558.879,1582.198,1584.902,1586.676,1615.864,1829.662,1862.321,2064.176,2153.165,2159.422,2160.666
tertiary,2130.263,3566.997,3608.387,3601.353,3985.722,5864.339,5966.878,4949.02,5149.293,5215.979,5942.113,6631.891,8431.332,8982.058,9005.77,9089.985,9181.917,9377.651,9949.879,10065.052,10472.83,10552.537,10550.867,10693.552,10732.389,10704.032,10696.251,11007.619,11151.208,11255.327,11328.46,11478.792,12446.495,12865.43,13051.508,13183.251,13225.602,13250.394
track,292.798,717.205,717.775,720.951,1356.432,2820.194,3264.886,3923.491,4363.28,4798.952,5680.458,8971.545,11126.816,12882.963,13990.0,14800.0,15431.156,15799.755,16857.415,18059.96,19328.569,19620.515,19672.809,20824.165,23127.584,23548.088,24111.886,24652.973,25314.536,25518.766,26469.305,27452.867,27977.15,28684.936,29163.97,29344.299,29611.984,30511.653
trunk,221.494,226.058,227.006,227.006,328.018,449.066,491.129,589.277,627.261,677.492,684.429,986.678,1028.252,1027.785,1027.783,1031.112,1030.826,1053.614,1053.638,1065.37,1125.294,1130.338,1132.76,1126.929,1129.008,1149.449,1123.899,1332.075,1332.716,1397.348,1239.145,1318.731,1412.202,1413.996,1423.297,1510.106,1514.138,1514.18
trunk_link,20.646,20.722,21.358,21.358,35.957,50.378,52.399,55.406,55.814,71.486,80.744,91.398,92.637,92.656,92.41,92.422,93.651,93.645,94.362,94.911,95.971,96.827,97.633,97.637,98.933,99.253,96.124,99.13,99.18,100.637,42.077,46.229,66.822,66.684,61.114,61.595,61.605,61.693
