,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
footway,10.14,10.543,10.543,10.543,17.72,22.389,24.49,26.463,34.374,48.364,52.956,405.718,434.121,453.36,481.255,482.772,503.114,510.298,516.835,519.555,521.656,530.393,548.645,599.298,968.318,974.617,1022.309,1045.509,529.395,595.624,674.416,754.642,789.105,843.068,871.641,901.912,1114.022,1115.22
path,0.626,1.063,51.842,51.842,52.071,120.187,124.001,191.553,208.071,209.579,426.556,1092.358,1222.808,1282.137,1286.284,1357.359,1510.801,1543.899,1629.049,1644.931,1665.962,1750.153,1831.03,1864.982,2179.55,2452.677,2475.729,2960.836,3845.583,4294.073,5286.421,11086.118,12467.497,13464.033,16030.968,20398.875,22894.503,26587.782
pedestrian,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.459,0.459,0.459,0.459,0.459,0.504,0.504,0.504,0.664,0.999,2.013,2.013,2.241,1.678,1.678,2.299,4.245,13.24,9.033,9.259,10.836,3.773,44.314,38.747,33.834,45.446,46.913,46.699,39.896,40.924,40.101
primary,3019.5,3077.938,3295.454,3287.805,3384.196,3951.445,3951.935,4364.566,4401.098,4518.478,5714.971,5565.482,6234.68,5837.673,5872.138,6043.323,6112.221,6085.001,6311.857,6327.225,6485.123,6596.534,7942.007,7635.405,7998.767,8006.746,8006.424,8296.202,8247.664,8184.364,8218.773,8316.558,8313.433,8349.681,8438.099,8521.404,8540.535,8691.048
primary_link,0.104,0.104,0.104,0.104,0.104,0.104,2.852,2.931,2.931,26.864,27.781,27.781,41.107,29.799,29.753,29.753,29.738,29.835,29.835,29.831,31.709,31.839,28.725,27.434,27.731,27.82,27.763,27.763,27.763,27.863,29.338,29.556,29.556,30.023,30.3,30.3,31.958,40.284
residential,435.343,446.139,449.856,458.108,495.152,513.953,566.9,600.604,603.756,654.34,1228.186,1892.199,2291.677,2550.21,2583.528,2641.572,2846.338,3183.819,3320.914,3426.653,3588.817,3692.794,3856.458,4200.363,6407.365,6909.717,6935.52,7774.17,11825.777,12532.121,14805.269,15518.188,16331.642,16759.835,17535.782,18161.735,27220.26,38703.087
road,734.027,731.524,739.617,758.238,758.866,927.198,1008.308,1031.866,1034.087,1023.303,1136.458,1292.191,1541.556,1487.146,1567.171,2230.488,2665.465,2782.671,2352.727,2521.344,2390.729,2137.935,2073.165,2058.426,1637.398,1541.691,1586.926,1622.047,779.506,829.792,784.158,1596.829,1343.947,1663.142,1539.949,1685.11,1645.25,1948.316
secondary,9786.647,9809.665,9647.908,9834.638,9879.119,9967.859,10212.131,10323.713,10335.5,10382.344,10442.701,10798.022,11199.697,12517.418,13011.626,12587.086,13055.95,13296.625,13402.952,13479.53,13622.302,13819.391,13887.406,13197.296,13595.333,13505.404,13497.909,13970.373,14132.202,14120.95,14543.871,15374.163,15914.787,16066.656,16144.481,16409.518,16501.71,17048.18
service,13.152,14.744,24.44,24.44,25.183,26.92,29.167,42.13,42.762,52.462,87.958,148.246,215.923,232.553,240.766,231.5,244.016,252.971,258.68,265.247,280.483,293.216,357.335,541.419,730.434,868.18,872.566,888.675,1762.375,1828.163,1920.003,2092.498,2163.274,2303.753,2371.181,2423.392,2421.073,2360.113
steps,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.148,0.158,0.201,0.201,0.201,0.254,0.265,0.24,0.24,0.24,0.492,0.547,0.547,0.547,0.685,0.838,1.096,1.95,2.229,2.621,2.629,2.747,2.747,3.13,3.136,3.148,3.317,3.867,4.189,3.907,3.915
