,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
cycleway,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,1.278,60.21,54.778,194.249,194.73,194.97,202.531,208.015,209.181,205.256,193.531,191.631,192.649
footway,159.909,162.858,152.207,132.776,133.299,158.701,300.744,226.856,240.429,235.474,245.533,227.817,235.499,238.511,238.727,259.584,268.235,280.498,287.695,297.224,436.186,511.615,730.591,1171.059,1301.623,1338.0,1617.875,1776.004,1953.588,2071.953,2423.182,4456.31,4783.075,9666.292,9616.585,9315.785,9279.936,9389.589
ford,0.026,0.026,0.026,,,,,,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path,15.318,19.416,31.605,66.122,158.677,158.677,158.948,303.752,282.26,292.71,315.022,361.999,373.71,426.94,444.072,431.889,489.765,544.011,599.715,649.941,699.851,2120.837,3196.841,3813.892,3948.001,4018.212,4977.524,5876.708,10721.186,17382.575,25724.593,42317.873,49923.888,64883.337,70413.868,77859.623,82334.625,83593.857
pedestrian,7.501,7.501,7.501,10.939,10.939,10.939,10.772,10.671,11.985,11.993,11.993,11.981,12.08,12.08,12.079,12.722,12.722,12.727,14.586,15.525,15.525,16.156,40.872,21.115,23.497,24.39,110.907,184.215,131.159,120.332,128.963,149.022,149.46,155.687,155.697,163.08,162.295,164.428
primary,10017.11,10056.145,10287.992,10990.453,10906.043,10911.858,11147.019,11754.438,12139.543,12237.864,13588.951,14118.611,14237.741,15022.407,15607.705,15720.995,16154.727,16141.449,15849.913,16016.593,16633.702,16709.136,17982.651,18000.806,18271.896,18433.77,18349.41,19947.863,20413.454,20156.864,20036.195,20148.578,20087.693,20355.25,20568.46,20750.786,20018.88,20075.466
primary_link,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.128,0.128,0.128,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.719,0.719,1.003,1.213,1.529,2.032,2.032,2.032,2.05,3.711,3.745,3.931,4.248,4.244,4.36,7.365,4.244,4.244,5.007,5.101
residential,434.924,479.951,527.914,617.404,661.462,662.989,726.86,756.79,951.526,977.34,2803.242,4441.877,4674.784,5446.125,5674.389,6587.43,7054.663,7682.21,8007.181,8306.495,9386.966,9919.68,11423.012,14018.04,15286.527,15866.572,18404.058,26791.042,33339.615,37175.999,40643.773,48576.23,50497.209,57919.96,58155.92,58522.2,65717.079,68442.437
road,1697.271,3117.636,3071.075,3562.406,3562.623,3563.143,3561.402,25026.512,24919.694,24956.825,24277.193,22738.25,22726.742,22412.003,22205.068,21877.861,21231.296,21225.479,20679.543,20506.242,20133.442,19429.428,18395.873,18554.426,18160.765,17976.139,19795.431,19117.15,20106.995,19840.007,19792.328,19433.422,19250.235,19252.755,20475.191,21609.662,17334.836,17393.721
secondary,4940.422,5336.574,5367.755,5789.722,5986.299,6015.884,6026.761,6027.092,6036.001,6040.825,6011.76,9163.382,9452.754,12763.324,12891.998,14297.102,15384.718,16010.792,17589.41,18407.282,19133.692,20057.607,22745.856,25447.592,25574.335,26619.591,27858.292,34304.911,35256.738,29571.705,29790.468,30121.858,30274.962,30177.008,30163.95,30187.108,31664.983,31600.08
service,38.113,40.516,42.806,45.4,45.813,45.813,50.577,55.346,96.025,97.679,110.407,174.139,184.076,215.972,221.943,256.412,294.344,323.131,353.092,405.014,484.611,509.659,576.102,873.931,932.245,985.378,1122.857,1370.741,1546.934,1705.753,2528.241,2802.436,2890.333,3116.745,3115.578,3236.71,3402.911,3568.789
steps,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.107,0.119,0.119,0.139,0.139,0.148,0.148,0.148,0.16,0.226,0.302,0.302,0.302,0.355,0.355,0.355,0.371,0.506,0.647,0.981,0.721,0.719,0.737,0.78,8.388,8.823,9.064,13.002,14.25,13.904,14.169
tertiary,3089.177,3084.894,3436.337,3410.822,3588.571,3623.114,3888.636,3998.181,4222.698,4264.721,4703.649,7050.828,7619.408,10377.545,10689.335,12857.985,13787.883,14420.378,14955.302,15644.139,17274.788,18202.438,22714.345,30627.086,31501.777,32429.677,35365.989,41691.883,43047.04,44020.375,44984.36,45517.108,45730.958,46918.183,47261.546,48212.602,48042.638,48543.054
track,237.648,242.632,290.381,367.701,457.202,457.202,447.531,623.911,1607.679,1693.254,1784.11,2318.634,2579.02,3072.899,3265.227,5660.72,6991.92,7225.259,7491.087,7730.0,9229.404,12167.438,15838.522,19417.246,19705.659,19255.624,20284.322,21098.505,25928.479,31540.843,35116.857,42432.405,46221.804,50920.56,52404.548,55845.282,60589.574,62148.9
trunk,4536.57,5798.692,5805.649,6197.758,6288.275,6425.367,6436.961,6311.099,6219.02,6219.036,8130.124,8732.935,8768.293,8873.544,8372.212,9490.613,9797.867,10007.521,10373.157,11014.455,10777.004,10668.697,11862.504,12179.096,12134.688,12137.692,12895.183,11043.467,11179.543,11246.903,11264.391,11279.955,11268.702,12641.978,12985.384,12776.651,19603.187,19448.706
trunk_link,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,1.18,1.18,1.18,1.18,1.297,1.297,1.297,1.297,1.297,1.297,1.297,0.433,0.433,0.985,0.985,1.993,3.767,4.042,4.843,5.237,5.276,5.636,5.521,5.715,6.151,11.927,11.918
unclassified,2760.457,2772.488,2877.349,3105.585,3135.176,3135.943,3229.582,3350.637,3619.376,3618.744,3995.763,5860.248,7552.796,8953.04,9839.52,10765.086,12843.619,13545.491,14361.392,15938.74,17413.024,19943.823,24610.729,33397.482,40323.832,44313.216,56279.002,91700.784,110869.55,136523.599,147277.435,168398.98,180767.7,198043.222,202252.245,210176.03,224536.911,231277.281
unknown,90.849,90.849,90.849,90.849,90.849,90.849,90.849,90.849,90.849,90.849,90.849,72.088,71.611,71.611,71.611,71.611,71.611,71.611,71.611,71.611,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223,67.223
yes,1.289,1.289,1.289,,,,,,,,,,,,,,,,,,,0.514,0.514,0.514,0.514,0.514,1.747,1.871,6.905,2.036,20.69,11.263,33.956,31.08,31.969,29.793,20.268,20.344
dirtroad,,,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767,2.767
living_street,,,,0.444,0.444,0.444,0.444,0.523,22.42,22.511,13.663,12.672,13.31,89.581,91.647,51.416,50.031,50.673,58.118,59.265,59.297,59.233,59.005,54.536,114.533,114.284,103.92,101.893,101.897,142.538,141.202,70.835,76.463,71.371,78.429,91.026,87.342,85.59
unsurfaced,,,,,2.144,2.144,2.144,2.144,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,,,,,,,,,,,,,,,
construction,,,,,,,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.663,0.663,0.663,18.741,18.741,19.092,19.092,26.879,26.879,29.492,30.954,30.954,31.101,31.101,33.101,33.101,46.31,46.31,46.31,44.284,51.862,51.862,49.701,16.778,16.778
proposed,,,,,,,,,10.383,10.347,10.347,10.347,10.347,10.347,10.347,10.347,10.347,10.933,10.933,10.933,2.974,2.974,2.974,2.974,2.984,3.058,3.058,3.058,3.058,3.058,3.058,3.058,3.058,3.058,3.058,3.058,3.058,3.058
secondary_link,,,,,,,,,0.278,0.278,0.278,81.409,91.41,81.409,89.66,90.769,90.769,90.494,88.503,88.546,95.878,95.699,10.582,10.971,11.0,11.049,11.554,4.002,9.619,14.578,13.572,13.572,13.851,13.919,14.951,14.148,15.361,15.367
tertiary_link,,,,,,,,,0.569,0.569,4.658,985.056,1258.486,1251.071,1253.611,1253.659,1253.662,1357.609,1921.117,1720.149,1579.626,1514.068,1361.917,1248.818,1205.121,1179.546,1098.338,1072.975,1063.919,759.877,625.051,627.888,549.113,576.156,569.777,492.511,481.172,481.269
motorway,,,,,,,,,,2.664,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1.334,0.589,0.589,76.137,75.246,75.246,252.518,271.157,271.157,271.641,272.972,279.232,339.76,358.949,345.115,347.626,351.903
motorway_link,,,,,,,,,,13.126,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.165,1.165,23.004,23.004,23.004,148.157,148.157,148.208,148.157,148.167,148.177,148.177,148.695,148.193,148.193,148.193
bridleway,,,,,,,,,,,11.273,,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,2.791,2.791,2.791,2.791,2.791,3.928,2.796,2.796,2.796,2.796,3.878,3.878,4.605,4.777,4.735,4.721,8.269
p,,,,,,,,,,,,,,,,,0.021,0.021,0.021,,,,,,,,,,,,,,,,,,,
road;primary,,,,,,,,,,,,,,,,,,,,5.497,,,,,,,,,,,,,,,,,,
Residential,,,,,,,,,,,,,,,,,,,,,,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.441,0.057,0.426,0.426,0.426,0.426,0.426,0.426
crossing,,,,,,,,,,,,,,,,,,,,,,0.182,0.182,,,,,,,,,,,,,0.054,0.054,0.054
track;path,,,,,,,,,,,,,,,,,,,,,,0.586,,,,,,,,,,,,,,,,
tracks,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,,,,,,
unpaved,,,,,,,,,,,,,,,,,,,,,,0.256,0.256,0.256,,,,,,,,,,,,,,
Access road,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,
Foot Way,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,
Footpath,,,,,,,,,,,,,,,,,,,,,,,0.235,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Footway,,,,,,,,,,,,,,,,,,,,,,,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162
footpath,,,,,,,,,,,,,,,,,,,,,,,0.159,,,,,0.075,0.075,0.075,0.075,1.566,1.566,97.584,97.531,9.087,9.087,9.087
justbondary,,,,,,,,,,,,,,,,,,,,,,,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293
ROADS CROSSING,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
