,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
primary,98.601,98.601,98.601,98.601,98.601,98.601,103.574,103.574,260.989,260.989,381.697,447.617,447.657,447.657,447.657,377.901,378.41,378.41,378.41,378.41,327.525,103.703,103.703,318.311,318.331,354.366,372.612,373.719,370.456,373.723,373.836,374.544,358.545,358.545,358.545,579.888,610.789,611.843
residential,,,,,,,2.013,2.013,2.013,2.013,2.013,2.013,2.013,2.013,2.013,2.448,2.448,2.448,2.448,2.448,3.389,14.984,14.984,14.984,14.984,14.985,14.55,14.55,15.393,15.393,16.162,3.32,3.206,3.206,3.206,2.785,2.785,2.785
secondary,,,,,,,3.684,3.684,3.684,3.684,3.684,3.684,222.982,222.982,222.982,571.68,571.68,571.68,571.68,571.68,571.68,571.68,571.68,636.273,636.273,636.273,636.273,549.678,333.935,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29
trunk,,,,,,,,,,,,274.345,323.954,323.927,326.915,52.596,52.596,52.596,52.596,52.596,52.596,276.52,276.52,9.316,9.316,1.287,1.287,,,,,,,,,,,
unclassified,,,,,,,,,,,,123.872,218.706,222.966,222.966,218.359,218.605,254.651,254.651,254.651,161.342,259.376,259.376,1485.822,1940.747,1964.212,1945.968,2032.483,1767.449,1828.126,1828.143,918.269,801.133,748.415,822.876,1922.856,1906.772,1857.745
tertiary,,,,,,,,,,,,,314.634,314.634,314.634,314.634,314.634,314.621,314.621,314.621,95.199,95.199,95.199,164.03,164.03,169.938,148.584,250.938,251.071,573.465,578.533,420.849,382.332,411.271,411.349,411.349,968.308,968.308
track,,,,,,,,,,,,,45.78,53.304,53.304,67.963,539.569,544.681,544.681,544.705,925.407,823.021,823.021,803.216,787.995,1024.646,1054.748,1239.552,1788.116,1818.629,1819.623,5074.789,7713.697,8489.462,8612.206,9190.972,9324.421,9383.941
road,,,,,,,,,,,,,,,,0.082,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,0.563,0.563,0.563
path,,,,,,,,,,,,,,,,,4.814,4.814,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,50.975,50.975,50.975,50.975,50.975,50.975,53.886,53.886,71.017,71.017,70.711,70.711
service,,,,,,,,,,,,,,,,,0.171,0.171,0.171,0.171,0.171,1.353,1.353,1.353,1.453,1.492,1.492,1.492,1.501,1.501,1.501,1.112,1.206,1.206,1.206,1.206,2.441,2.441
proposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.881,73.881,73.881,73.881,73.881,73.881,73.881,73.881,700.793,731.092,731.092
