,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
bridge,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239
cycleway,1.034,1.034,1.034,1.034,1.039,1.039,1.039,1.039,1.039,1.039,1.039,1.039,1.039,1.039,1.039,1.039,,,,,,1.935,4.701,4.701,4.701,4.701,23.902,25.031,25.031,25.031,25.031,25.031,6.716,6.716,6.716,6.716,3.951,3.951
footway,4.848,6.547,6.547,12.632,12.632,12.632,12.919,12.919,13.383,13.367,14.584,14.584,15.259,16.434,17.667,18.887,31.119,31.119,31.189,31.2,32.047,36.502,40.224,40.669,79.436,172.179,175.694,173.6,174.536,73.141,87.491,144.574,161.381,188.303,193.543,189.02,192.754,170.561
motorway,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,366.104,367.995,471.34,366.429,366.104,366.468,366.104,366.104,409.501,407.616,407.616,407.616,406.998,418.49,418.999,423.289,426.549
path,59.233,96.708,115.414,115.414,143.649,121.06,125.725,126.163,133.116,135.404,142.456,142.855,142.855,142.855,142.873,150.624,144.313,163.628,162.811,174.653,280.924,301.044,376.966,404.764,529.701,1108.724,1344.115,1455.627,1661.095,4665.95,6090.431,6803.199,7482.058,7846.55,8442.715,8941.065,9518.431,10515.2
pedestrian,1.19,1.19,1.19,1.218,1.218,1.218,1.218,,,,,,,,,,,,,,,,,,,0.082,0.082,0.082,0.082,1.475,7.11,1.299,0.846,0.846,0.846,0.846,0.846,0.846
primary,2002.131,2455.049,2457.725,3636.963,3157.394,3810.314,3820.282,3805.763,3805.763,3805.764,3691.662,3742.756,3742.79,3800.57,3818.879,3819.122,4390.644,5031.059,5034.983,5113.776,5090.514,5132.394,5186.062,5106.109,5153.943,5186.315,5132.438,5218.874,5239.371,5476.955,5448.584,5454.497,5484.04,5559.775,5992.171,6220.803,6250.203,5562.998
primary_link,3.115,3.115,3.115,3.115,3.115,1.558,1.558,1.558,1.558,1.558,1.558,1.558,1.558,1.558,2.719,2.719,2.741,2.741,2.841,2.914,2.914,2.914,2.914,1.73,1.73,1.73,1.631,1.883,1.935,1.935,1.935,1.983,1.983,1.983,1.91,1.91,2.06,3.446
residential,392.814,394.21,396.739,400.197,552.026,668.095,654.501,654.501,661.819,665.794,666.35,669.764,694.558,713.582,824.281,1938.59,3718.531,5033.501,5569.466,6179.813,6967.386,7285.026,7520.94,7718.218,8199.491,8662.302,8920.875,9162.68,9297.207,10001.734,10340.496,10727.715,10975.442,11124.634,11563.182,11768.906,15509.698,21473.231
road,482.434,749.656,749.656,720.167,824.982,834.025,829.03,944.985,966.2,967.127,967.127,999.931,1048.766,1103.428,1115.942,1434.813,1403.202,1342.059,1369.582,1286.476,1378.28,1211.494,2046.205,2073.846,2024.033,2579.247,2572.235,2608.106,1421.402,1572.81,1659.462,1656.745,1651.482,2238.444,2099.655,2114.337,1723.453,1641.374
secondary,3941.691,4110.474,4110.473,3954.353,4013.304,4712.563,4732.04,4732.04,4901.044,4941.849,4982.45,4982.527,5025.25,5316.607,5394.644,5727.098,5920.467,6911.808,6941.569,7301.803,7643.548,7817.388,7737.579,7976.863,8158.107,8327.12,8298.446,8335.54,8239.484,8634.687,8599.801,8576.72,8805.28,9508.201,9786.132,9970.653,9556.511,9330.205
service,41.3,43.319,43.319,278.269,146.093,180.545,173.427,173.427,173.427,177.618,181.554,182.435,193.271,202.522,204.15,209.541,345.68,373.458,378.09,462.826,518.191,530.872,522.102,530.981,552.498,585.345,603.644,646.257,705.927,766.847,819.858,831.697,911.156,1603.864,1420.44,1226.855,1392.627,1537.62
