,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
aeroway,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635
footway,4.32,8.584,8.584,18.112,18.112,18.112,18.112,18.178,18.8,18.8,19.025,19.164,33.259,41.649,41.545,41.678,46.543,60.829,64.994,66.697,76.382,100.546,93.873,92.452,88.39,100.446,206.263,148.942,165.685,150.185,171.937,172.789,215.33,211.153,211.24,213.742,297.39,400.053
living_street,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.883,0.883,0.883,0.883,0.883,0.899,0.899,0.899,0.899,1.201,4.988,1.201,1.201,0.899,0.899,0.899,0.899,1.301,1.301,2.731,2.805,5.144,5.144,5.144,5.785,5.785,12.455
motorway,476.475,476.453,476.453,476.453,476.453,476.453,476.391,476.391,476.391,413.238,413.238,413.238,413.238,413.238,413.238,413.238,413.238,413.238,413.238,413.238,413.238,413.844,413.844,413.844,413.844,415.006,415.006,415.006,415.006,415.796,416.819,416.819,419.059,419.059,419.059,419.059,419.059,426.596
motorway_link,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,,,,,,,,,,,,,,,,,,,,,,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292
pedestrian,3.719,3.719,3.719,3.826,3.826,3.826,3.826,2.608,2.61,2.61,2.61,2.871,2.871,1.748,1.748,1.748,2.071,1.888,1.888,1.888,1.888,2.048,2.044,2.505,2.505,3.125,14.106,2.389,2.389,4.533,17.288,17.288,23.56,18.822,18.236,18.236,18.236,18.236
primary,1184.746,1184.746,1184.746,1570.383,1573.448,1569.034,1725.674,1725.674,1726.451,2217.318,1908.862,1930.357,1937.447,3416.049,3385.827,3431.294,3456.074,3517.725,3810.071,3859.395,3862.66,3870.944,3858.34,3886.377,3915.222,3933.507,3939.091,3938.793,3975.343,3926.844,3935.635,3605.727,3980.229,3980.757,3989.335,3989.383,3985.569,4338.316
primary_link,24.811,24.811,24.811,23.774,23.774,24.005,24.005,24.005,24.011,24.223,23.188,23.188,23.188,23.07,23.125,26.509,26.509,26.309,22.926,23.463,23.463,23.463,7.471,7.74,7.949,8.565,8.687,8.798,8.798,8.798,8.884,6.516,6.589,6.589,6.589,6.589,7.567,9.362
residential,1868.192,1868.217,1868.217,1969.334,1981.183,3183.676,3504.253,3624.206,3639.885,3930.812,4116.832,4175.24,4193.919,5014.363,5133.978,5232.078,5745.114,7533.376,7845.484,8647.296,9070.858,9545.438,9717.891,10292.232,10770.443,11468.193,11927.799,12260.056,12674.969,13091.993,13392.805,13689.116,14159.304,14208.648,14333.835,14370.542,15408.965,15973.083
road,37.038,53.767,53.767,54.708,74.811,76.387,111.065,115.508,145.604,339.445,335.456,335.456,3934.007,2550.573,2519.544,2568.728,2394.18,2294.557,2065.554,1821.675,1841.021,1660.272,1692.015,1499.848,1315.147,1344.873,1462.113,1121.55,1404.431,1306.505,1484.162,1746.084,1815.057,1758.555,1727.333,1751.088,1732.421,1993.04
